#{"t_start": 1747316484.6252506, "env_id": "None"}
r,l,t
-221.545727,500,34.900145
-211.055762,500,42.369094
-195.498557,500,49.993517
-33.123282,80,51.280999
-202.719796,500,72.78002
-221.450508,500,80.657353
-206.3309,500,88.217671
-219.659366,500,95.848992
-194.414712,500,103.516942
-200.181901,500,124.254369
-194.803081,500,132.214121
-205.735454,500,140.067321
-230.105335,500,147.681556
-216.730356,500,168.492635
-179.686599,500,176.256358
-202.838751,500,184.025588
-218.307703,500,191.880851
-197.803254,500,212.968694
-198.915232,500,220.825529
-192.273453,500,228.59016
-216.83556,500,249.996182
-199.456401,500,263.28252
-199.718542,500,271.166016
-174.603091,500,279.193011
-186.572938,500,287.12078
-189.764301,500,308.832897
-188.663424,500,316.497855
-169.650119,500,324.321966
-178.235761,500,332.250626
-182.616163,500,353.401712
-179.409067,500,361.535761
-169.789766,500,369.565052
-198.163376,500,377.694551
-167.949257,500,400.939608
-164.430356,500,409.078754
-174.417963,500,417.044863
-166.646958,500,425.046782
-179.011573,500,447.708697
-165.832058,500,455.696061
-158.879414,500,463.502162
-184.098863,500,484.789249
-175.144449,500,505.651828
-181.968493,500,513.816577
-179.222441,500,521.715189
-160.720879,500,529.447357
-160.191145,500,551.30065
-176.963217,500,559.326975
-150.72133,500,567.166285
-150.394208,500,575.017608
-154.509645,500,596.780778
-155.330848,500,604.79739
-159.981413,500,612.479793
-151.822284,500,620.212031
-158.797113,500,628.147216
-176.94006,500,649.888267
-154.322406,500,657.7028
-156.480917,500,665.421719
-145.262665,500,673.064245
-154.208359,500,695.092342
-155.221077,500,702.905859
-146.614428,500,723.896135
-162.421816,500,731.928237
-155.057748,500,752.900876
-163.913588,500,760.652501
-139.450657,500,768.547793
-163.11226,500,776.414826
-151.747779,500,798.356018
-180.774062,500,806.293238
-157.570413,500,813.999985
-145.970517,500,821.874942
-142.577153,500,843.902499
-138.858974,500,851.767781
-137.057005,500,859.627666
-150.067471,500,867.547487
-156.007645,500,889.321294
-137.21348,500,897.162485
-138.766884,500,904.983676
-138.328761,500,912.965676
-140.080926,500,935.174474
-140.802079,500,943.083158
-141.101191,500,963.133026
-132.98188,500,970.908166
-144.195043,500,991.945019
-133.742282,500,999.672062
-141.294035,500,1007.542986
-129.205309,500,1015.313965
-140.113562,500,1037.179571
-127.442123,500,1045.05395
-128.450541,500,1052.953428
-128.863513,500,1060.946516
-136.406818,500,1082.670562
-142.895247,500,1090.785413
-141.472026,500,1098.774647
-137.131552,500,1106.317287
-124.910117,500,1114.051419
-144.035803,500,1135.982187
-150.580771,500,1143.795003
-121.734118,500,1151.635523
-128.792613,500,1159.360434
-126.684144,500,1181.397629
-121.521938,500,1202.56301
-123.094128,500,1210.400731
-121.788057,500,1218.274356
-133.169926,500,1239.02782
-126.437979,500,1246.806432
-115.234982,500,1254.709489
-122.800878,500,1262.590536
-118.451854,500,1284.559577
-118.078302,500,1292.12514
-115.208127,500,1299.820089
-118.436551,500,1307.72822
-115.680804,500,1329.890619
-111.732115,500,1337.931869
-114.285772,500,1346.16667
-112.740803,500,1354.234752
-112.966909,500,1369.807088
-108.997721,500,1377.978285
-107.987968,500,1385.827646
-113.863823,500,1393.58021
-119.534022,500,1416.134714
-115.624603,500,1437.018578
-113.967819,500,1444.972517
-112.434819,500,1452.719947
-113.846624,500,1473.762399
-110.505664,500,1481.658799
-104.738793,500,1489.579663
-103.721572,500,1497.361007
-110.559355,500,1519.388812
-104.19996,500,1527.078433
-102.561158,500,1534.853193
-99.115223,500,1542.773005
-105.01101,500,1564.848123
-104.801344,500,1572.639792
-107.329703,500,1580.849133
-109.975236,500,1588.653539
-98.87891,500,1596.463583
-105.608241,500,1609.334931
-102.624064,500,1617.200888
-98.541378,500,1624.979018
-104.694523,500,1632.890748
-95.773116,500,1668.33502
-99.529887,500,1676.115666
-102.971618,500,1683.965426
-90.093858,500,1691.682448
-100.715616,500,1712.683166
-100.885139,500,1720.609923
-92.658846,500,1728.548635
-92.133627,500,1736.507643
-96.811906,500,1758.603275
-96.109423,500,1766.338788
-97.491836,500,1774.17207
-87.353957,500,1782.038827
-95.697249,500,1804.339941
-90.846966,500,1812.117146
-88.319563,500,1820.023998
-95.118171,500,1827.644087
-83.86024,500,1840.870766
-96.517427,500,1848.655185
-88.936234,500,1856.516269
-90.9851,500,1864.465156
-92.135544,500,1900.257301
-86.935386,500,1908.051614
-84.446305,500,1915.941971
-86.357265,500,1923.819968
-86.725777,500,1944.821494
-86.387298,500,1952.89972
-82.14547,500,1960.579664
-85.741552,500,1968.431008
-81.38659,500,1990.431228
-90.649178,500,1998.318691
-75.475604,500,2006.276587
-84.399051,500,2014.12334
-76.205204,500,2036.354911
-84.672657,500,2044.379961
-90.452751,500,2052.07435
-74.398692,500,2059.723994
-83.157773,500,2081.768642
-79.646942,500,2089.930224
-76.501633,500,2097.649634
-73.902639,500,2105.30677
-72.408152,500,2126.987805
-84.040067,500,2148.004042
-70.053744,500,2155.912149
-85.223103,500,2163.831002
-69.260005,500,2171.695881
-71.709264,500,2194.134425
-82.956889,500,2202.392263
-69.960275,500,2210.658942
-73.628982,500,2218.559482
-75.090353,500,2240.631762
-67.182937,500,2248.483485
-67.914485,500,2256.310824
-67.607577,500,2264.123904
-69.637706,500,2286.173249
