#{"t_start": 1747653368.1573277, "env_id": "None"}
r,l,t
594.792684,500,18.421473
579.811176,500,26.209056
587.308256,500,33.885305
648.040318,500,41.368276
648.879111,500,61.870277
650.493585,500,69.638816
649.654619,500,77.304331
512.434519,500,84.940363
629.857303,500,105.911151
617.122351,500,113.803732
608.187964,500,121.710145
569.826111,500,129.706048
644.536804,500,151.039862
648.678409,500,159.118874
627.159241,500,167.297275
653.283204,500,175.543348
670.434743,500,197.236408
596.374358,500,205.353379
499.94756,390,211.690322
550.17925,500,220.278785
665.626698,500,255.393641
602.404298,500,264.04686
653.764758,500,272.446249
591.790335,500,280.96262
529.585476,500,305.451335
642.446093,500,313.841841
200.76211,162,316.586442
652.361272,500,325.065644
628.008523,500,333.159017
432.996231,378,353.374676
643.119643,500,361.800186
600.391496,500,370.151507
626.349575,500,378.622599
619.706286,500,400.660541
581.810322,500,409.031119
657.18932,500,417.321986
624.548615,500,425.69907
643.856111,500,434.208089
603.063078,500,456.41923
646.506039,500,464.773317
618.867085,500,473.223444
597.666592,500,495.234106
638.708697,500,516.4116
617.284709,500,524.602087
583.870652,500,533.052454
666.999663,500,541.464481
647.953689,500,563.541309
651.354854,500,571.932643
630.123133,500,580.400715
573.601913,500,588.81882
650.580775,500,611.065002
650.958035,500,619.580001
612.146675,500,627.874672
664.262729,500,636.172835
602.207355,500,657.976647
591.133692,500,666.357504
664.347198,500,674.481707
567.960756,500,682.873581
610.749123,500,704.504747
642.838665,500,712.924702
189.993735,157,715.530166
609.551607,500,737.630626
623.468736,500,746.184846
395.482316,309,764.440699
666.111294,500,772.910402
529.110613,500,781.208013
595.034478,500,789.68215
611.357704,500,811.646834
637.586973,500,820.111984
626.708093,500,828.541969
268.935986,220,832.257277
618.198243,500,840.676356
673.2786,500,854.194546
633.822945,500,862.704289
593.352726,500,870.984486
606.22959,500,879.18932
619.654669,500,901.046255
573.444869,500,909.507316
655.381159,500,917.829049
612.933784,500,926.20881
547.188576,500,948.398673
658.888094,500,956.833891
622.817356,500,979.15381
642.962145,500,987.790314
659.058052,500,1009.143314
654.193927,500,1017.261202
643.443218,500,1025.669785
594.698232,500,1034.082598
561.702199,500,1047.926248
601.247724,500,1056.279579
633.85403,500,1064.480733
572.332118,500,1072.905654
645.124679,500,1094.568734
644.310891,500,1102.800374
640.608021,500,1111.199137
614.008862,500,1119.649171
625.132858,500,1141.760522
619.74298,500,1150.288897
653.42514,500,1158.615304
675.614957,500,1166.857354
61.738549,58,1167.908696
598.002498,470,1175.862568
592.993923,500,1198.109662
668.191429,500,1220.311915
591.893789,500,1228.490829
636.901135,500,1236.904803
623.143867,500,1260.354628
649.464272,500,1268.838039
628.589008,500,1277.348498
628.331387,500,1285.696042
592.825492,500,1307.901332
