#{"t_start": 1747316484.6252072, "env_id": "None"}
r,l,t
-195.069856,500,34.900337
-220.607852,500,42.369036
-212.586279,500,49.991684
-193.180111,500,57.823447
-198.645149,500,79.347769
-251.837221,500,86.932521
-212.096614,500,94.625559
-240.172924,500,102.312539
-189.576229,500,122.988834
-199.98277,500,130.916324
-182.401397,500,138.798888
-214.514053,500,146.4403
-189.844026,500,167.207525
-203.382947,500,175.032343
-201.48124,500,182.782045
-189.291647,500,190.610595
-190.105669,500,211.687131
-166.257436,468,219.105528
-199.559258,500,226.800424
-198.624945,500,234.546964
-201.841807,500,261.47685
-199.18133,500,269.412641
-180.160086,500,277.332613
-176.841274,500,285.244465
-171.905226,500,306.963863
-174.512633,500,314.701114
-193.645154,500,322.53971
-186.636571,500,330.439916
-174.388029,500,351.60004
-166.141963,500,359.686396
-177.257622,500,367.759751
-201.666912,500,375.841372
-178.68718,500,399.097936
-179.176754,500,407.298839
-159.967602,500,415.282743
-168.542237,500,423.238539
-179.364567,500,445.869829
-188.974112,500,453.877861
-158.29408,500,461.696633
-179.386287,500,469.609763
-176.322984,500,490.786154
-162.738642,500,511.920149
-176.660375,500,519.887166
-169.170402,500,527.687092
-179.532751,500,535.532817
-171.019607,500,557.467084
-173.720021,500,565.278809
-190.066948,500,573.252088
-165.085884,500,580.963005
-149.229621,500,602.978945
-160.004529,500,610.770919
-170.191446,500,618.459566
-174.154261,500,626.334816
-173.292058,500,648.089526
-151.7069,500,655.88174
-192.959406,500,663.645528
-160.975537,500,671.343634
-149.972202,500,693.258272
-146.106742,500,701.143699
-152.623423,500,708.880206
-155.324059,500,730.040217
-156.470395,500,751.066928
-141.967535,500,758.936062
-158.148554,500,766.813193
-162.146119,500,774.493595
-177.005661,500,796.507197
-152.62685,500,804.417588
-143.85336,500,812.227582
-147.595079,500,820.050189
-142.631365,500,842.081333
-135.971956,500,849.919263
-160.056083,500,857.798775
-139.474694,500,865.733584
-145.531873,500,887.593533
-131.937672,500,895.369383
-126.384421,500,903.166059
-137.790297,500,911.217332
-144.403725,500,933.216498
-140.607571,500,941.342101
-138.6502,500,949.131801
-143.108563,500,969.149502
-135.390232,500,990.118426
-135.065258,500,997.960749
-128.89294,500,1005.771713
-142.628807,500,1013.553624
-134.884971,500,1021.376787
-140.41182,500,1043.311929
-129.584839,500,1051.146198
-141.688591,500,1059.199266
-127.247736,500,1066.960328
-142.352459,500,1088.992859
-132.577747,500,1096.989893
-127.536868,500,1104.55079
-135.43924,500,1112.293954
-124.494587,500,1134.162609
-129.518056,500,1141.998252
-135.488283,500,1149.825526
-129.797347,500,1157.615381
-134.976415,500,1179.610683
-123.449843,500,1187.534109
-121.345443,500,1208.570916
-127.520871,500,1216.44626
-124.516058,500,1237.287316
-122.028657,500,1245.039199
-119.010177,500,1252.865226
-116.347813,500,1260.730808
-118.295044,500,1282.789145
-119.82951,500,1290.379672
-121.47966,500,1298.040779
-112.652957,500,1305.922461
-120.485882,500,1328.022813
-115.959649,500,1336.12475
-118.613162,500,1344.271495
-113.583561,500,1352.33137
-120.028396,500,1368.024109
-111.897153,500,1376.107802
-119.634262,500,1384.049831
-116.645893,500,1391.77651
-112.221017,500,1414.25422
-105.414131,500,1422.07622
-114.653216,500,1443.1473
-117.54951,500,1450.908213
-107.841025,500,1471.922344
-107.715496,500,1479.911662
-106.818152,500,1487.768638
-106.338935,500,1495.586257
-108.314487,500,1503.467037
-100.432405,500,1525.305352
-105.896273,500,1533.125915
-110.300732,500,1540.996647
-103.506869,500,1548.791594
-100.530195,500,1570.817407
-108.299088,500,1578.916771
-109.135578,500,1586.901093
-106.862982,500,1594.674901
-98.316463,500,1607.550687
-102.452586,500,1615.409131
-95.687576,500,1623.194515
-97.4569,500,1631.086224
-93.585607,500,1653.160354
-97.598,500,1674.388602
-98.557097,500,1682.104542
-96.029041,500,1689.930027
-98.175111,500,1710.87868
-92.57481,500,1718.763921
-91.787441,500,1726.726414
-92.271844,500,1734.673583
-94.478963,500,1756.777231
-92.012089,500,1764.589574
-83.096352,500,1772.313274
-86.932302,500,1780.293486
-90.478647,500,1802.508829
-95.735191,500,1810.361341
-88.607266,500,1818.209705
-92.703647,500,1825.88972
-85.455969,500,1839.078749
-91.066001,500,1846.872826
-85.338542,500,1854.712283
-90.662287,500,1862.670743
-93.004565,500,1884.634128
-90.049686,500,1906.257641
-94.449693,500,1914.129011
-88.008921,500,1922.059425
-86.951652,500,1943.068378
-90.652297,500,1951.067871
-84.958588,500,1958.77309
-85.590248,500,1966.61622
-87.611553,500,1974.496589
-85.763199,500,1996.500173
-80.413488,500,2004.441819
