#{"t_start": 1747692527.3118482, "env_id": "None"}
r,l,t
-94.317204,500,18.408972
-56.99649,500,26.383967
-75.515212,500,34.363522
-77.926486,500,42.296095
-59.692713,354,61.148706
-75.265228,500,69.491641
-78.838264,500,77.395794
-128.639418,500,85.706839
-99.200491,500,107.077601
-39.27244,213,110.605248
-60.893609,500,119.087279
-158.423435,500,127.647237
-45.106624,246,131.76947
-81.810767,500,153.063425
-135.718553,500,161.368055
-155.646396,500,169.760031
-60.186429,373,175.979375
-97.280437,500,184.266827
-61.55516,500,205.728373
-94.118411,500,213.957442
-67.399781,500,222.19598
-102.636062,478,244.895338
-90.894102,500,266.310814
-42.228974,500,274.742366
-36.315025,500,282.988027
-73.840227,500,291.466125
-83.774538,500,313.081552
-106.758932,500,321.433205
-148.277741,500,329.731326
-66.066197,500,337.96795
-29.509245,500,359.801622
-65.077951,500,368.132097
-52.223096,500,376.246165
-53.819705,500,384.504928
-52.017432,500,406.546879
-79.562205,500,414.707633
-72.209395,500,422.985482
-55.764924,500,431.537064
-53.456222,500,453.226074
-92.031082,500,461.788291
-74.498384,500,470.165136
-57.090791,500,492.599948
-62.931722,500,513.87611
-52.366409,500,522.09175
-63.09846,500,530.212337
-65.744909,500,538.537377
-51.089816,500,560.258884
-64.122561,500,568.866534
-51.478379,500,577.254082
-69.828793,500,585.524374
-15.346355,500,608.016195
-67.449424,500,616.52196
-47.385272,500,625.021265
-93.498487,500,633.07607
-49.478034,500,656.408183
-39.477508,500,664.709772
-15.117391,500,672.858385
-64.810178,500,681.000162
-30.384724,500,689.199584
-58.465962,500,711.248308
-35.794277,500,719.443506
-4.117675,500,741.434616
-27.297673,500,749.572728
-51.256815,500,771.258466
-1.737028,500,779.635795
-34.08747,500,787.839588
-43.033727,500,796.167957
-22.845796,500,817.482476
-26.407429,500,825.632736
-36.57672,500,833.860325
-6.12995,500,842.186543
-31.539018,500,864.131944
7.216749,500,872.226812
-80.624362,500,880.632027
-10.25636,500,888.88786
-18.609087,500,910.692944
-1.072719,500,918.769964
-7.896382,500,927.098231
-45.918842,500,935.562308
28.072632,500,957.458458
-7.853409,500,965.752282
-67.87199,500,987.614651
-44.335565,500,995.816576
1.232824,500,1009.371712
15.386971,500,1017.664458
-39.639,500,1025.764666
6.992213,500,1033.994794
