#{"t_start": 1747657226.3252587, "env_id": "None"}
r,l,t
-333.094153,500,19.456841
-351.610854,500,28.979248
-393.125377,500,38.161535
-364.64315,500,46.908826
-329.99455,500,72.732581
-325.735654,500,82.538673
-52.526925,63,83.803196
-357.051419,500,93.699504
-394.166306,500,103.399467
-359.859685,500,543.073481
-353.659192,500,552.952331
-386.856242,500,562.682298
-452.912677,500,572.594692
-336.075188,500,1029.072307
-358.560679,500,1038.86375
-317.376818,500,1048.892434
-239.184763,316,1054.841007
-443.841631,500,1549.977736
-350.027187,500,1559.898913
-388.540327,500,1569.749598
-340.674826,500,1579.691889
-374.256298,500,1684.477009
-372.421758,500,1694.068048
-313.380787,500,1704.06089
-357.715791,500,1713.695772
-313.192642,500,1741.751303
-478.697784,500,1751.484651
-320.695173,500,1761.262036
-458.435375,500,1771.091942
-339.770928,500,2149.226664
-325.347648,500,2158.684214
-347.790472,500,2168.091974
-443.070924,500,2177.621852
-425.478656,500,2187.207421
-337.237565,500,2548.252405
-374.291722,500,2558.020662
-347.24768,500,2567.924973
-338.008072,500,2577.554906
-364.849649,500,2874.849331
-459.951522,500,2884.493906
-396.301132,500,2894.561689
-410.164846,500,2917.176247
-317.780752,500,2938.966784
-342.795244,500,2948.546938
-396.322987,500,2957.60376
-321.239368,500,2965.854661
-360.220254,500,3386.779534
-309.039468,500,3396.701745
-350.57165,500,3406.701122
-331.897306,500,3416.512929
-341.594983,500,3708.80787
-405.072853,500,3718.153095
-322.111716,500,3728.056413
-368.047418,500,3737.892632
-486.655817,500,3970.296544
-363.915108,500,3980.311582
-189.458936,287,3986.030533
-316.868707,500,3995.76746
-354.508194,500,4005.43785
-376.516973,500,4338.439095
-373.438367,500,4348.207455
-322.913803,500,4371.536304
-350.083892,500,4380.317434
-330.047682,500,4636.703538
-319.77831,500,4646.562078
-316.590742,500,4655.220913
-343.615439,500,4663.557874
-364.271492,500,4857.399382
-358.499939,500,4866.942585
-325.14989,500,4876.623025
-373.712183,500,4886.172768
-337.528689,500,5028.708205
-298.240101,500,5038.139483
-340.52286,500,5047.786461
-320.917582,500,5057.432878
-339.760073,500,5290.601615
-368.285311,500,5299.889079
-357.214751,500,5309.661342
-322.242289,500,5319.486906
-354.855503,500,5339.303439
-322.058794,500,5348.755476
-320.963621,500,5372.211462
-304.409414,500,5381.970757
