#{"t_start": 1747656329.7139213, "env_id": "None"}
r,l,t
-14.543732,13,28.195081
-120.706284,500,35.158239
-155.78503,480,42.223059
-292.99989,500,49.572894
-97.422298,290,53.716006
-128.942321,500,68.16949
-277.61911,500,75.71688
-137.244722,500,83.669523
-108.890961,500,92.042333
-143.12321,500,113.51888
-99.963224,500,121.255721
-36.509285,109,123.092557
-99.156912,500,130.45752
-187.617438,500,138.007051
-139.73038,500,152.094473
-148.379154,453,158.959467
-128.703567,500,166.324118
-169.67606,500,173.961703
-107.081899,500,188.139774
-97.234532,500,195.610852
-91.275764,500,203.178505
-84.035064,291,207.422965
-82.392314,500,229.609255
-68.409944,500,251.098508
-182.851458,500,258.62996
-165.823045,500,266.387286
-74.787142,500,274.665802
-294.016068,500,295.898822
-106.046506,500,303.550721
-125.193382,500,311.337648
-121.588595,500,318.821319
-51.136453,500,331.850637
-245.86415,500,340.121126
-152.923227,500,348.517776
-118.902896,500,356.668918
-108.355884,500,371.863033
-56.137501,500,379.631556
-211.747853,500,387.272491
-133.202473,500,395.048801
-114.151878,500,409.302129
-71.659246,500,416.875024
-109.048132,500,424.098663
-126.416476,500,443.256408
-128.042431,500,457.187771
-56.170992,500,464.691617
-164.753382,500,472.898975
-108.754954,500,480.567212
-136.594111,500,502.254009
-163.431757,500,509.959302
-109.085688,500,517.825586
-161.45674,500,525.574411
-81.664433,500,546.684771
-136.411628,500,554.333055
-96.426075,500,561.619905
-78.743639,500,568.847888
-54.461717,500,582.795066
-130.376478,500,590.549905
-70.306284,500,597.952492
-62.062481,500,605.018093
-330.539254,500,612.51909
-118.189617,500,633.442842
-158.396007,500,640.90196
-152.776386,500,668.267071
-136.396053,500,676.045089
-85.967947,500,697.385824
-136.006522,500,704.970383
-172.389822,500,712.927426
-108.118247,500,720.64614
-182.534957,500,741.8582
-219.570686,500,749.353313
-98.412251,500,756.812071
-126.076139,500,764.201111
-77.538187,500,778.017155
-83.155345,500,785.505995
-120.09411,500,792.946287
-102.007565,500,800.268869
-54.335796,500,813.0209
-136.878689,500,820.604428
-53.983916,500,828.775903
-157.084519,500,836.453005
-97.547145,500,849.159742
-90.483826,500,856.311891
-205.82251,500,877.356542
-130.470998,500,884.675763
-78.088662,500,905.973258
-107.05391,500,913.821806
-147.280058,500,921.222394
-114.660832,500,928.698116
-98.318282,500,942.900122
-66.021966,500,950.532176
-109.895477,500,958.082412
-86.256428,500,965.190698
-101.607327,500,979.310187
-81.532451,500,986.494658
-89.848578,500,994.240469
-97.967491,500,1002.024817
-79.21379,500,1023.287748
-131.014356,500,1031.515936
-61.901968,500,1039.558791
-384.885112,500,1047.103456
-117.794226,500,1054.203771
-65.6602,500,1066.61439
-149.473984,500,1089.264145
-100.140794,500,1097.355516
-102.465888,500,1105.409553
-219.349584,500,1126.481242
-113.604005,500,1133.955252
-44.478134,500,1141.387344
-94.425381,500,1148.9417
-139.682708,500,1162.018994
-170.158287,500,1169.667666
-94.863375,500,1177.10944
-47.974983,500,1184.832916
-100.805409,500,1197.369976
-128.508801,500,1204.516814
-153.565921,500,1211.647017
-27.115182,500,1218.764333
-69.920031,500,1239.600156
-36.521295,500,1247.420537
-169.24783,500,1254.850218
-125.18983,500,1262.305058
-77.906852,500,1283.684392
-109.931959,500,1308.053982
-162.692411,500,1315.8966
-66.757132,500,1323.506814
-107.191835,500,1344.502072
-93.363223,500,1352.273796
-53.163649,500,1359.760256
-78.785786,500,1367.228594
-172.669361,500,1381.70521
-174.567711,500,1388.787177
-45.0683,500,1395.868771
-202.69278,500,1403.109802
-68.998735,500,1417.029094
-303.838033,500,1425.056223
-46.324474,500,1432.976978
-179.435984,500,1440.531759
-83.159506,500,1454.514621
-50.783356,500,1462.147058
-105.220941,500,1469.604206
-74.075227,500,1477.459801
-40.770125,500,1491.842202
-174.551102,500,1515.498949
-208.639731,500,1523.447464
-92.198265,500,1530.871283
-90.731657,500,1538.42204
-35.096009,500,1559.615997
-24.933989,500,1567.463955
-38.201088,500,1574.772641
-32.872921,500,1581.984663
-90.461798,500,1602.937072
-115.080826,500,1610.559218
-153.145522,500,1618.244827
-89.001252,500,1626.011791
-192.364385,500,1638.629535
-82.512217,500,1646.087202
-140.278874,500,1653.362695
-55.294187,500,1660.720117
-53.223344,500,1682.02245
-144.187033,500,1689.939574
-63.178704,500,1697.454618
-64.215799,500,1705.24525
-67.672064,500,1744.040988
-64.494825,500,1751.669809
-156.702308,500,1759.521327
-53.167179,500,1767.398651
-69.42819,500,1788.373567
-216.341728,500,1796.175096
-26.572709,500,1803.901461
-150.329754,500,1811.473983
-23.42951,500,1825.709439
-44.747022,500,1833.431754
-16.836865,500,1840.80038
-187.357611,500,1848.174
-121.514489,500,1862.282164
-106.584161,500,1869.757162
-65.154073,500,1877.101298
-74.112239,500,1884.711949
-220.994206,500,1905.678563
-130.817438,500,1913.375087
-6.292369,500,1920.704022
-100.878829,500,1928.192338
-77.108596,500,1962.33941
8.126265,500,1970.352942
-97.980853,500,1978.471041
-45.102005,500,1986.557128
-32.746072,500,1994.491691
-15.278012,500,2008.972002
-50.077396,500,2016.256819
-80.117609,500,2023.374901
-264.332609,500,2031.026609
-25.268672,500,2052.107731
-75.772068,500,2059.380803
-81.268259,500,2066.702528
-56.772472,500,2074.294536
-15.339273,500,2095.577875
-127.837685,500,2102.819354
-34.865192,500,2110.138302
-235.642933,500,2117.375115
-279.118134,500,2129.941165
-213.765606,500,2137.315294
-69.216473,500,2144.870549
-84.804295,500,2165.966077
-190.052912,500,2178.78588
-61.680059,500,2186.256363
-60.171693,500,2193.740284
-30.43996,500,2201.166023
-100.672658,500,2213.849401
-48.970435,500,2221.979325
5.82161,500,2229.609285
-199.731762,500,2237.316203
-0.145396,500,2252.07804
-60.781187,500,2259.56448
-17.537189,500,2267.129011
-74.480625,500,2274.501119
-52.957214,500,2287.25026
-84.567473,500,2294.110949
-162.732317,500,2301.439454
-7.944855,500,2309.344005
-83.439344,500,2330.400606
-14.386879,500,2338.102059
-53.77384,500,2345.735026
-43.077731,500,2369.303777
-91.763353,500,2383.602245
-78.293721,500,2391.225709
-98.20058,500,2398.736544
-71.211474,500,2406.516892
-17.579673,500,2414.821941
-56.990317,500,2428.551758
-98.860932,500,2436.870425
8.550864,500,2444.242699
-103.545479,500,2451.617743
-94.526329,500,2465.894258
-104.672024,500,2473.538748
12.081318,500,2481.491241
-187.894575,500,2488.48536
-52.303402,500,2503.030641
-119.363291,500,2510.284923
-163.954196,500,2517.592046
40.154185,500,2524.995861
-110.065382,500,2539.069775
-168.473693,500,2546.407109
-15.332341,500,2565.580624
-80.551666,500,2573.308225
-65.230878,500,2594.110013
-26.77962,500,2601.503573
52.567116,500,2609.016509
53.280914,500,2616.534201
-29.799928,500,2637.136704
-155.587144,500,2644.404819
-284.776206,500,2652.050127
-52.856876,500,2659.781011
-33.262445,500,2681.047752
7.278437,500,2688.427095
8.553003,500,2695.756144
-7.079663,500,2703.291637
-12.424627,500,2724.29573
-23.364631,500,2731.90426
-114.736816,500,2739.744248
-61.940704,500,2747.232661
3.274446,500,2761.439952
-9.190782,500,2768.519814
-20.071072,500,2791.47605
-27.143768,500,2798.858218
44.608112,500,2812.991892
19.765068,500,2820.371577
-204.262008,500,2828.091172
2.180385,500,2835.504291
-108.552175,500,2848.128073
-15.194491,500,2856.001822
-45.746394,500,2863.794036
-77.686755,500,2871.003993
38.478368,500,2879.009055
-71.537301,416,2898.673371
1.677904,500,2906.29131
14.925354,500,2913.345521
-47.563223,500,2920.650308
36.546635,500,2941.369321
-38.335255,500,2949.142795
-71.922255,500,2957.39688
-36.356531,334,2962.633906
-10.585857,500,2977.277181
-20.647132,500,2984.999954
-3.603913,500,3013.244161
-130.273369,500,3020.90948
0.669149,500,3041.890276
38.059884,500,3049.351669
36.609581,500,3056.85171
-17.978574,500,3064.471596
31.648253,500,3077.406922
20.659153,500,3085.320402
17.047038,500,3092.912499
-13.52538,500,3100.865631
-0.811311,500,3109.076104
-89.305788,500,3129.791877
-49.459643,500,3137.287444
-19.454131,500,3144.979053
-17.554441,284,3149.233684
-58.703986,500,3170.261101
-74.348882,500,3178.080335
13.707118,500,3186.554163
-3.179264,84,3188.067372
42.018999,500,3196.345973
-6.819909,500,3219.61613
50.738499,500,3243.221752
3.083061,500,3250.926017
-2.782109,500,3258.666048
-10.454086,500,3279.269039
9.732508,500,3286.680098
30.962228,500,3294.263823
36.063498,500,3301.860356
21.160484,500,3314.492565
-35.767192,500,3321.889991
-8.54183,500,3329.308161
65.826348,395,3335.024254
73.241002,500,3355.702919
-62.064669,500,3363.299822
72.656287,500,3371.151463
32.695541,500,3378.951326
34.232621,500,3386.576844
25.184006,500,3400.486096
29.074295,273,3404.626488
-151.189975,500,3412.320035
-98.05986,500,3420.393594
-16.170351,500,3441.568791
69.985627,500,3469.488683
39.442815,266,3473.865303
-75.76676,500,3481.446231
-40.216028,500,3488.897107
35.280229,500,3503.239979
25.586978,500,3510.999183
75.401351,500,3519.159756
92.398993,500,3527.123153
-2.259809,500,3547.676065
66.345884,500,3554.877063
41.931687,500,3563.419801
-30.262917,500,3571.428351
-3.407423,500,3585.173361
-116.707642,500,3592.911594
58.363208,500,3600.836504
34.988979,500,3608.445406
19.648378,138,3610.701599
117.257275,500,3623.707466
49.88162,500,3632.065336
-26.750896,500,3639.92771
-105.013817,500,3647.755058
31.572009,500,3689.500999
57.423796,500,3697.690541
-20.703572,500,3705.205437
22.611256,500,3713.427076
44.251172,500,3727.536454
59.38157,500,3735.265274
