#{"t_start": 1747672934.131657, "env_id": "None"}
r,l,t
-646.91202,500,10.998955
-860.036094,500,14.47729
-817.638004,500,18.091022
-109.022617,84,18.732395
-708.318653,500,27.628948
-653.015679,500,31.223425
-328.559587,253,33.236784
-499.149344,397,36.537991
-880.024854,500,40.670412
-819.628886,497,50.945296
-935.14344,500,55.012318
-709.625963,500,59.104922
-770.38583,454,62.748577
-853.442819,500,72.782384
-669.672727,500,77.057165
-712.576958,500,81.685952
-670.274987,500,86.331177
-674.665995,500,91.040929
-851.272884,500,102.273393
-261.516697,221,104.340617
-604.83102,500,108.958651
-602.910374,500,113.584925
-533.291751,429,140.864946
-204.897718,135,142.09733
-637.593182,500,146.675879
-688.714575,500,151.31135
-625.362063,500,155.861816
-587.392503,500,167.149842
-472.633008,375,170.622204
-535.984168,500,175.226918
-692.609032,500,179.851631
-688.031688,500,191.069542
-684.504993,500,195.631467
-677.848428,500,200.259449
-654.197773,500,204.867857
-574.94997,500,209.450431
-701.524565,500,220.68508
-465.313675,394,224.363546
-692.106285,500,229.000102
-656.418113,500,233.589486
-649.86079,420,244.243785
-754.895989,500,248.846039
-759.116527,500,253.442651
-682.302341,500,266.598135
-737.254264,500,278.065393
-889.864393,500,282.691812
-612.216346,500,287.257276
-776.387658,500,291.873745
-736.018391,500,303.230908
-587.218569,500,307.846347
-539.133641,500,312.441242
-792.498849,500,316.992181
-948.466274,500,334.157483
-523.141952,500,338.795662
-666.3338,500,343.362558
-626.951934,500,347.960912
-560.49759,500,360.19048
-650.231209,500,364.782375
-677.154553,500,369.353001
-313.120938,256,371.722029
-739.209547,500,376.288101
-604.21255,500,387.570488
-510.548478,500,392.168394
-729.962366,500,396.769111
-705.458064,500,410.012269
-718.784594,500,425.323124
-575.29824,500,429.951147
-656.525952,500,434.557196
-608.327353,500,439.168049
-612.869079,500,450.418777
-528.950988,500,455.035154
-615.541411,500,459.651113
-512.363405,500,464.253814
-688.266966,500,484.44402
-554.458503,500,489.062436
-501.096847,500,493.622237
-489.708319,500,498.236537
-561.672796,500,511.999907
-614.255892,500,516.576086
-192.792269,189,518.306048
-703.141103,500,522.885711
-666.059005,500,527.497921
-431.219707,500,539.086371
-571.139366,500,543.666977
-517.980546,500,556.735508
-599.836623,500,561.363657
-509.438428,500,572.750412
-493.09245,500,577.322032
-444.03735,500,581.888893
-663.66327,500,586.473872
-542.465224,500,597.827993
-690.375955,500,602.414304
-571.308609,500,607.037729
-632.021237,500,611.631132
-537.861182,500,623.114419
-674.953562,500,627.756629
-552.954191,500,632.375502
-745.810089,500,636.94997
-579.490204,500,641.543923
-687.771298,500,652.777742
-606.804186,500,657.344056
-441.06686,500,661.935007
-648.332823,500,666.534137
-482.995089,500,677.794274
-580.954192,500,690.85754
-484.751883,500,695.443426
-555.364846,500,700.03021
-697.705189,500,711.559435
-499.874572,500,716.366392
-543.866531,500,721.139205
-498.180518,500,725.918017
-542.281581,500,738.792017
-747.291179,500,743.601331
-553.833149,500,748.342665
-660.918985,500,753.04907
-728.676477,500,764.446741
-527.863365,500,769.065007
-830.728807,500,773.658646
-660.907953,500,778.273775
-732.365139,500,789.531039
-497.837653,500,794.146084
-534.677042,500,798.766037
-546.670595,500,803.368479
-578.619853,500,814.8481
-649.87784,500,827.880033
-787.840637,500,832.478184
-603.28381,500,837.074271
-553.825122,500,848.36658
-469.246885,500,852.996814
-521.995662,500,857.595199
-507.628561,500,862.237786
-485.201305,500,873.566965
-458.84952,500,878.165001
-611.769952,500,882.793364
-662.8901,500,887.400598
-503.903113,500,900.912319
-472.503491,500,905.50388
-595.733452,500,910.179114
-530.193749,500,914.816929
-577.573652,500,926.195976
-535.447553,500,930.776027
-646.566708,500,935.367298
-600.689633,500,939.962095
-798.417739,500,944.541572
-494.13324,500,964.133791
-501.847617,500,968.708416
-494.547587,500,973.300701
-491.794281,500,977.872661
-480.332163,500,989.175937
-409.72823,500,993.792517
-426.648617,500,998.3781
-645.048679,500,1002.935796
-430.000778,500,1014.244474
-612.50615,500,1018.810268
-528.876469,500,1023.421398
-437.075392,500,1027.996385
-449.518958,500,1039.542222
-420.869386,500,1044.138751
-539.723088,500,1048.707715
-501.972496,500,1053.257157
-619.484765,500,1064.66096
-503.295407,500,1069.24614
-473.074272,500,1073.834897
-531.274717,500,1078.408612
-503.798486,500,1098.294765
-587.024532,500,1102.918207
-448.26051,500,1107.526673
-597.763383,500,1112.148953
-455.113879,500,1123.424402
-512.722344,500,1128.045078
-606.092585,500,1132.608446
-518.729027,500,1137.158696
-506.728817,500,1148.448056
-485.915029,500,1153.044839
-393.122917,500,1157.625964
-589.242021,500,1162.216799
-554.452771,500,1173.611023
-363.042637,500,1178.220108
-508.107539,500,1182.834828
-494.988407,500,1187.418593
-646.497984,500,1198.748034
-540.686184,500,1203.40216
-620.221048,500,1208.033554
-595.310664,500,1212.645261
-433.405506,500,1225.692142
-364.170716,500,1237.128153
-413.32749,500,1241.72655
-434.555822,500,1246.363352
-480.856531,500,1250.949754
-616.976191,500,1262.563191
-579.085684,500,1267.161031
-583.931978,500,1271.755137
-464.752247,500,1276.370515
-468.749817,500,1287.673782
-595.939954,500,1292.299467
-539.710186,500,1296.95008
-487.452709,500,1301.55835
-510.866762,500,1312.983555
-368.405611,500,1317.600609
-649.053533,500,1322.191715
-388.074942,500,1326.793418
-490.127396,500,1338.183145
-426.180302,500,1342.763163
-505.950787,500,1347.376633
-520.217579,500,1360.466014
-500.485989,500,1371.891103
-496.607569,500,1376.502835
-665.270775,500,1381.080825
-574.012484,500,1385.697138
-401.203061,500,1397.27122
-418.268072,500,1401.902153
-637.224572,500,1406.488972
-518.255633,500,1411.090445
-529.829546,500,1422.353732
-537.238814,500,1426.975447
-395.210622,500,1431.591586
-469.411581,500,1436.182715
-444.489151,500,1447.493469
-376.207683,500,1452.1157
-424.607975,500,1456.737463
-399.595253,500,1461.330401
-454.592639,500,1472.769423
-569.461801,500,1477.368509
-332.794355,500,1481.98491
-347.819674,500,1495.126023
-435.122751,500,1506.415607
-557.686484,500,1510.983367
-407.809274,500,1515.557809
-374.447898,500,1520.172741
-687.649011,500,1524.773514
-491.769518,500,1536.341518
-452.156654,500,1540.949964
-395.988523,500,1545.536277
-455.912594,500,1550.14428
-384.692721,500,1561.484462
-629.133807,500,1566.076606
-509.87913,500,1570.675048
-483.819832,500,1575.268028
-329.399317,500,1586.746082
-451.397746,500,1591.35146
-508.141745,500,1595.968954
-495.614723,500,1600.554483
-512.716999,500,1611.921944
-474.807309,500,1616.549487
-616.285989,500,1629.690963
-495.981832,500,1634.250777
-341.95811,500,1645.705988
-446.235377,500,1650.309909
-504.992235,500,1654.901362
-540.095027,500,1659.6489
-399.428124,500,1671.645195
-409.589506,500,1676.434389
-489.966366,500,1681.192952
-906.497224,500,1686.00546
-388.271673,500,1700.363663
-530.135264,500,1704.956966
-408.392128,500,1709.566297
-426.475324,500,1714.174279
-463.386558,500,1725.486444
-498.620527,500,1730.089606
-377.541054,500,1734.722179
-537.821751,500,1739.355414
-311.226051,500,1750.633806
-393.706924,500,1755.238555
-403.819034,500,1768.443744
-538.902323,500,1773.052557
-336.113958,500,1784.515245
-596.335177,500,1789.136307
-451.146813,500,1793.766879
-361.827806,500,1798.333471
-492.32369,500,1802.884996
-525.286844,500,1814.283903
-445.157632,500,1818.887558
-457.15328,500,1823.515659
-557.03898,500,1828.126305
-324.453444,500,1839.529598
-595.215365,500,1844.136056
-324.684277,500,1848.734789
-504.674287,500,1853.317106
-310.490548,500,1873.210528
-425.944845,500,1877.768323
-403.877387,500,1882.369313
-558.346601,500,1886.97355
-702.664001,500,1898.351925
-496.354414,500,1911.448898
-516.073509,500,1916.045635
-326.787235,500,1920.644754
-309.142762,500,1932.14873
-417.752191,500,1936.741974
-266.735661,500,1941.337367
-339.339478,500,1945.92587
-337.812102,500,1957.256469
-323.727803,500,1961.858504
-600.28937,500,1966.443909
-446.079191,500,1971.052697
-458.561575,500,1982.334497
-561.983116,500,1986.901234
-476.20675,500,1991.473746
-327.835459,500,1996.078648
-447.917216,500,2007.36635
-292.965326,500,2011.976733
-338.646772,500,2016.605441
-409.604235,500,2021.209335
-451.215458,500,2032.650239
-390.855614,500,2045.836588
-435.000378,500,2050.436405
-493.627725,500,2055.053
-401.712817,500,2075.152301
-301.886554,500,2079.719982
-391.6354,500,2084.322405
-398.285315,500,2088.894537
-369.317893,500,2100.220245
-376.916463,500,2104.785381
-367.352443,500,2109.405643
-413.402849,500,2113.969841
-683.307134,500,2118.605836
-301.480436,500,2129.963746
-412.610481,500,2134.549282
-384.374841,500,2139.164107
-308.49769,500,2143.740851
-301.782285,500,2155.244285
-387.064264,500,2159.815054
-364.852388,500,2164.46642
-296.530873,500,2169.055909
-340.401282,500,2188.719519
-447.232612,500,2193.297618
-381.947567,500,2197.885738
-619.524222,500,2202.504043
-246.80478,500,2213.718143
-487.083547,500,2218.297408
-327.904044,500,2222.875609
-431.231024,500,2227.492696
-531.223954,500,2238.912614
-339.287063,500,2243.49785
-466.40174,500,2248.104446
-438.243038,500,2252.695262
