#{"t_start": 1747692507.9234166, "env_id": "None"}
r,l,t
-56.463653,500,15.366485
-17.742907,72,16.528176
-62.253302,500,24.197668
-112.900403,500,31.933743
-83.109288,500,54.729392
-9.596842,13,54.981265
-51.289545,268,59.100475
-120.347574,500,66.865713
-138.991691,500,74.926771
-74.093607,315,79.972642
-153.484324,500,94.985409
-111.348674,500,102.725723
-85.081205,500,110.582748
-86.097454,500,118.338348
-126.573244,500,141.654778
-175.582833,500,149.2226
-107.351488,500,156.776738
-79.852524,500,164.497454
-97.286898,500,172.332274
-67.621296,500,195.532448
-80.667715,500,203.19278
-78.600875,500,210.906903
-65.812686,500,232.625166
-53.859021,500,248.349225
-64.925641,500,256.4697
-54.590039,500,264.362872
-179.35493,500,271.96159
-90.391509,500,295.54306
-53.526776,500,303.277104
-64.899194,500,311.074572
-55.970822,500,318.81674
-52.672296,500,342.085661
-31.984328,500,349.990126
-52.523409,500,357.666502
-59.51558,500,365.454629
-39.280551,500,388.622782
-57.816087,500,396.580573
-89.245969,500,404.246985
-86.016599,500,411.768592
-43.736138,500,435.289546
-26.584428,193,438.403494
-29.71368,500,446.234839
-66.510833,500,454.20149
-26.81117,500,475.973802
-51.429611,500,490.509663
-143.769425,500,498.493394
-20.457112,500,506.212981
-25.879919,500,513.771867
-10.551936,500,532.093503
-28.965737,500,539.997328
-50.470596,500,547.776656
-0.536,500,555.604444
-85.158199,500,578.759463
-35.170743,500,586.680022
-64.777904,500,594.588797
-11.734338,500,602.571542
-44.420536,500,625.831435
-64.37486,500,633.515322
-26.540865,500,641.20866
-14.639406,500,649.005957
-37.80451,500,672.387089
-53.667125,500,679.988725
-30.174817,500,687.658456
-45.475846,500,708.515779
-39.468172,500,732.435495
-30.960406,500,740.135714
-32.658905,500,748.107544
-74.557144,500,755.739034
-12.044148,500,779.16816
-63.172636,500,786.785423
-91.187075,500,794.537675
-47.426622,500,802.175764
4.947852,500,816.606684
11.850964,500,824.518663
-34.773841,500,832.321767
-13.384824,500,840.059034
-88.580725,500,847.875831
-17.964619,500,861.945419
1.322142,500,869.736531
-8.432439,500,877.613317
-0.276133,500,885.641598
27.637997,500,909.152031
-5.290895,500,917.007736
22.502018,500,937.930288
40.791854,500,945.772729
-14.82173,500,969.20825
9.083815,500,977.112158
-12.062819,500,984.912447
0.863408,500,992.666394
6.954531,500,1016.449709
13.862558,500,1024.193364
36.338653,500,1031.843163
10.439231,500,1039.654907
-15.101499,500,1062.815867
