#{"t_start": 1747666848.7431653, "env_id": "None"}
r,l,t
-75.348451,103,11.23367
-457.632285,500,19.137584
-55.288327,70,20.321013
-128.10156,176,23.214988
-458.48164,500,31.325989
-158.671494,216,34.652046
-529.639611,500,55.813907
-202.961931,235,59.721205
-677.815498,500,68.246665
-326.785579,500,76.433733
-635.350075,500,84.946353
-62.471436,76,86.273433
-450.281068,500,107.756839
-43.153147,61,108.819172
-454.408483,500,117.311082
-533.917983,500,125.839893
-370.316987,500,134.512479
-519.76757,500,156.038843
-411.142205,500,164.432168
-563.04244,500,172.77903
-176.150553,217,176.449241
-554.072679,500,184.867907
-557.988019,500,198.539137
-491.729439,500,206.827913
-475.647791,500,215.47441
-362.610129,500,237.501927
-440.202358,500,251.171349
-464.858788,500,259.365512
-423.168727,500,267.80132
-434.849982,500,276.087792
-444.928774,500,298.064987
-397.758899,500,306.566948
-369.833195,500,314.78951
-412.595991,500,322.977891
-346.180692,500,336.617653
-843.761206,500,345.055377
-480.387343,500,353.536428
-386.806016,500,361.906505
-583.473091,500,383.465341
-573.583916,500,391.515671
-545.754269,500,399.734318
-390.262999,500,408.070511
-374.692844,500,421.667111
-455.094069,500,429.903116
-657.69893,500,438.254141
-510.714755,500,460.545393
-403.56803,500,481.838347
-569.583942,500,490.317575
-507.980066,500,498.656934
-458.888947,500,506.913995
-614.684597,500,528.820094
-114.618245,144,531.390161
-419.026552,500,539.954245
-462.901187,500,548.430353
-430.187676,500,556.821187
-690.286867,500,570.038027
-516.041168,500,578.18267
-283.294596,334,583.631246
-546.608402,500,591.90831
-545.857343,500,613.430229
-402.098762,500,621.477422
-433.832202,500,629.563318
-369.731764,500,637.832288
-473.774952,500,646.094849
-321.517708,500,668.227272
-403.487506,500,676.089025
-492.162015,500,697.847888
-519.507357,500,705.628801
-498.146486,500,726.695967
-562.105215,500,734.789384
-477.928558,500,743.180978
-335.836715,500,751.361755
-428.049467,500,764.728664
-382.926997,500,772.902743
-657.24827,500,781.048473
-362.703706,500,789.278608
-342.035727,500,802.595265
-419.137095,500,810.630674
-431.278734,500,818.835087
-357.26061,500,827.112652
-375.312401,500,848.596844
-433.29118,500,856.637433
-327.01893,500,864.686876
-495.507406,500,872.583817
-387.076036,500,894.927307
-390.317646,500,902.881023
-328.620698,500,924.887151
-410.327321,500,932.688821
-387.663372,500,953.720784
-585.526981,500,961.807609
-567.139476,500,969.973444
-493.079563,500,978.1408
-347.217282,500,1000.223918
-379.60332,500,1008.065927
-302.364833,500,1016.2681
-317.163131,500,1024.369236
-503.852499,500,1046.784046
-507.345966,500,1054.773234
-325.172041,500,1062.782718
-327.330801,500,1070.916784
-325.735491,500,1093.07116
-463.322734,500,1101.175113
-592.11695,500,1108.934982
-610.82771,500,1117.074433
-310.321964,500,1125.07499
-361.062934,500,1147.641046
-398.850773,500,1169.341318
-549.543573,500,1177.371806
-416.287718,500,1185.540483
-328.935143,500,1208.957414
-502.884173,500,1217.018679
-290.596573,500,1224.967944
-579.426977,500,1232.923141
-448.264443,500,1255.269568
-463.512421,500,1263.462267
-348.853752,500,1271.770891
-377.443917,500,1279.914201
-482.546121,500,1302.620099
-394.410767,500,1310.605686
-443.729422,500,1318.489953
-451.579198,500,1326.361899
-368.590355,500,1348.587557
-415.449326,500,1356.409729
-376.847603,500,1364.40885
-373.919561,500,1372.423622
-569.871088,500,1385.852306
-403.597938,500,1407.990095
-393.62064,500,1415.888441
-463.09352,500,1423.877527
-403.733733,500,1445.03868
-444.556349,500,1452.964984
-87.906324,141,1455.416428
-305.912727,500,1463.684918
-479.249423,500,1471.805076
-315.074899,500,1494.076415
-445.714482,500,1502.114948
-284.530129,500,1510.097677
-394.307928,500,1518.197843
-545.504173,500,1540.389684
-511.664752,500,1548.292839
-435.214015,500,1556.578292
-546.109907,500,1564.473936
-376.69064,500,1586.573675
-437.87067,500,1594.513998
-459.640036,500,1602.4217
-311.090045,500,1610.649079
-461.207399,500,1632.869073
-339.44432,500,1654.701916
-443.314032,500,1662.665666
-433.564323,500,1670.911227
-571.925273,500,1692.252578
-460.736648,500,1700.185648
-343.276115,500,1708.214928
-381.345872,500,1716.042499
-401.261871,500,1738.043723
-349.984179,500,1745.971303
-625.001977,500,1753.955292
-688.986328,500,1761.739896
-533.672757,500,1769.63668
-437.275022,500,1792.036042
-465.351895,500,1799.91933
-645.585625,500,1807.851872
-352.350351,500,1815.898082
-604.217194,500,1838.478781
-684.789576,500,1846.401265
-643.464708,500,1854.502568
-379.225383,500,1862.736172
-332.75467,500,1898.567384
-447.876639,500,1906.829744
-437.652463,500,1914.643487
-516.141343,500,1922.548519
-456.254825,500,1943.975113
-542.403524,500,1952.036257
-288.420415,500,1960.070772
-338.65073,500,1968.257185
-469.575575,500,1990.729527
-386.241776,500,1998.786767
-502.674515,500,2006.850817
-334.476698,500,2015.113281
-407.655618,500,2037.556989
-532.326521,500,2045.575227
-379.319356,500,2053.629155
-332.899577,500,2061.808707
-399.135902,500,2084.129177
-289.689768,500,2092.21843
-464.683826,500,2100.117958
-479.399048,500,2108.067575
-568.849595,500,2143.840723
-329.512494,500,2151.947823
-340.236659,500,2160.310569
-360.445383,500,2168.569932
-625.052157,500,2191.230318
-669.706413,500,2199.2808
-404.208401,500,2206.941278
-364.704973,500,2215.222247
-452.642788,500,2237.512641
-309.39065,500,2245.458088
-387.431964,500,2253.378952
-424.224073,500,2261.305826
-309.548113,500,2283.737938
-474.062926,500,2291.854268
-405.955765,500,2299.759339
-348.419664,500,2307.981978
-261.5309,500,2316.13003
-441.983109,500,2338.395529
-479.155378,500,2346.590299
-450.002265,500,2354.588722
-347.147007,500,2376.278727
-378.025708,500,2397.479037
-469.498975,500,2405.436315
-462.79828,500,2413.357674
-317.526665,500,2421.10078
-347.625676,500,2443.501135
-332.261167,500,2451.422038
-361.247933,500,2459.523974
-602.625659,500,2467.481843
-248.710262,500,2480.836463
-399.389592,500,2488.900825
-351.811836,500,2496.931875
-397.134737,500,2504.990203
-305.092982,500,2518.223089
-470.843356,500,2526.278213
-405.210678,500,2534.371637
-333.918404,500,2542.225435
-484.395503,500,2564.04429
-398.755396,500,2572.133566
-425.925327,500,2580.197895
-414.928576,500,2601.824443
-366.498541,500,2623.081017
-443.287575,500,2631.095469
-267.091966,500,2639.138911
-296.655224,500,2647.297934
-500.953866,500,2669.225106
-246.390958,500,2677.104187
-284.224199,500,2685.193543
-325.314469,500,2693.251792
-444.114361,500,2715.414686
-604.751929,500,2723.087602
-416.394958,500,2731.260083
-672.866449,500,2739.18417
-342.440714,500,2761.388242
-387.786856,500,2769.395798
-402.990874,500,2777.297348
-292.913094,500,2785.424107
-489.012768,500,2793.292423
-288.391957,500,2815.353285
-498.03307,500,2823.434771
-382.391985,500,2845.257352
-602.616953,500,2853.202905
-287.553088,500,2874.325168
-267.888349,500,2882.436411
-325.414089,500,2890.506895
-247.500232,500,2898.411888
-270.948746,500,2920.839477
-459.00004,500,2928.917534
-478.063179,500,2936.766386
-342.711358,500,2944.866996
-311.277879,500,2967.006813
-359.497305,500,2975.03328
-246.296342,500,2982.797821
-264.485775,500,2990.867259
-278.493184,500,3013.204096
-482.986132,500,3021.192857
-270.310829,500,3029.046625
-280.557852,500,3037.204629
-401.873669,500,3059.417175
-406.697502,500,3067.362568
-309.550054,500,3089.097035
-360.850869,500,3097.557478
-423.973481,500,3112.035569
-513.934623,500,3120.139659
-282.21752,500,3128.057932
-268.152781,500,3136.035454
-338.370326,500,3158.943196
-271.268854,500,3166.713881
-387.135464,500,3175.1108
-390.949901,500,3183.294739
-349.498658,500,3205.47561
-446.639423,500,3213.624148
-237.603868,500,3221.408408
-477.916698,500,3229.471462
-291.12625,500,3251.623721
-261.856121,500,3259.732976
-361.828326,500,3267.795679
-368.931055,500,3276.025121
-214.720997,500,3298.038425
-415.766454,500,3305.907859
-274.667692,500,3327.291019
-346.584574,500,3335.138345
-498.619349,500,3343.190336
-244.106217,500,3364.450614
-262.524371,500,3372.408775
-387.836149,500,3380.203835
-308.8163,500,3388.379148
-348.097797,500,3410.629237
-311.039264,500,3418.620889
-606.953639,500,3426.625037
-325.850884,500,3434.661877
-460.55253,500,3456.816528
-366.203808,500,3464.736418
-323.945998,500,3472.909736
-276.205326,500,3480.669307
-290.958127,500,3502.951496
-399.842162,500,3510.72884
-437.136131,500,3518.588948
-448.631679,500,3526.499493
-333.631608,500,3548.791113
-376.066437,500,3570.294797
-360.276666,500,3578.297422
-267.133135,500,3586.202339
-342.906984,500,3607.269083
-580.50924,500,3615.15695
-270.267341,500,3623.265352
-219.299574,500,3631.238076
-300.282396,500,3653.388993
-356.225556,500,3661.419315
-357.26868,500,3669.260336
-383.839123,500,3677.212806
-489.439616,500,3699.299621
-328.814836,500,3707.008353
-344.214178,500,3715.023574
-343.852775,500,3723.216874
-217.125932,500,3745.31293
-316.696504,500,3753.242717
-340.884401,500,3761.293174
-414.730719,500,3769.555376
-336.129297,500,3791.877037
-293.38039,500,3813.38782
-423.388964,500,3821.496193
-470.405702,500,3829.508039
-252.717065,500,3837.318625
-305.700002,500,3858.72959
-294.725534,500,3866.77522
-569.41846,500,3874.762746
-225.770627,500,3882.81852
-303.019129,500,3905.231544
-261.08748,500,3913.491597
-185.69311,500,3921.515628
-263.454204,500,3929.584211
-230.815062,500,3951.76547
-454.659325,500,3959.671607
-382.098302,500,3967.682742
-350.14249,500,3975.651384
-330.061534,500,3997.520472
-575.56298,500,4005.556642
-327.886992,500,4013.428
-338.37218,500,4021.306729
-263.482648,500,4057.40969
-330.846611,500,4065.446195
-413.63101,500,4073.603647
-345.890898,500,4081.611349
-236.822019,500,4095.215726
-418.976376,500,4103.26853
-501.01998,500,4111.42346
-414.363235,500,4119.322981
-276.367486,500,4141.480184
-385.739773,500,4149.65486
-293.638584,500,4157.876124
-364.906491,500,4165.789869
-280.583781,500,4187.945539
-440.284829,500,4195.882957
-224.506863,500,4203.866166
-455.547215,500,4212.026725
-304.237633,500,4234.219893
-309.047749,500,4242.303583
-288.826622,500,4250.342866
-342.32478,500,4258.392106
-366.0831,500,4293.082674
-318.780368,500,4301.188303
-317.352579,500,4309.131726
-240.403412,500,4317.032773
-329.298524,500,4339.336558
-465.621635,500,4347.239069
-494.502729,500,4355.273932
-377.074512,500,4363.304708
-324.094687,500,4371.298927
-295.969929,500,4393.746083
-414.309436,500,4401.715139
-341.593057,500,4409.78982
-376.612157,500,4417.858582
-254.924763,500,4440.348874
-239.253428,500,4448.665616
-351.67725,500,4456.921235
-382.266313,500,4465.208594
-231.968044,500,4487.813597
-269.358282,500,4495.780221
-221.889244,500,4503.889997
-255.484812,500,4525.360141
-292.036622,500,4546.376988
-270.175198,500,4554.504965
-290.021391,500,4562.821065
-343.865271,500,4570.789412
-287.716644,500,4593.399357
-344.579891,500,4601.359805
-262.373534,500,4609.592524
-353.412372,500,4617.629332
-347.707557,500,4639.848258
-264.249675,500,4647.522083
-351.449076,500,4655.627621
-279.662876,500,4663.563227
-419.936558,500,4686.116773
-351.676564,500,4694.155226
-477.645486,500,4702.2659
-219.25243,500,4710.29098
-331.564955,500,4732.306678
-240.241964,500,4740.481339
-245.744902,500,4748.601791
-317.085707,500,4770.334129
-261.959927,500,4791.516542
-340.479866,500,4799.746827
-215.441587,500,4807.938016
-298.317163,500,4815.886922
-314.240228,500,4838.257749
-386.781408,500,4846.149821
-179.852401,500,4854.418623
-288.434836,500,4862.428619
-344.159647,500,4870.442584
-281.044027,500,4892.654816
-467.324069,500,4900.752079
-256.816395,500,4908.845742
-382.949157,500,4916.989702
-426.406004,500,4930.677941
-240.974306,500,4938.930805
-346.453829,500,4947.237299
-290.785966,500,4955.340506
-381.696795,500,4968.855786
-566.728798,500,4976.970895
-268.280497,500,4998.556921
-202.876721,500,5006.602709
-294.78714,500,5029.553189
-222.05075,500,5037.776144
-327.306881,500,5045.902012
-203.786589,500,5053.871229
-434.940253,500,5076.253667
-235.455206,500,5084.236054
-429.008075,500,5092.291512
-464.049375,500,5100.395351
-183.549057,500,5122.882105
-292.191059,500,5130.99684
-386.584585,500,5139.05745
-406.709702,500,5147.273244
-325.432394,500,5169.438688
-170.74601,500,5177.529574
-338.643733,500,5185.50564
-336.997813,500,5193.247502
-196.51777,500,5215.478338
-265.225032,500,5223.331532
-276.392919,500,5244.959472
-197.156987,500,5253.036954
-278.273485,500,5274.468427
-259.448276,500,5282.687122
-242.97286,500,5290.796265
-200.479935,500,5298.975956
-202.041219,500,5321.574038
-430.848776,500,5329.86108
-309.668718,500,5337.993697
-265.813354,500,5346.039115
-365.74253,500,5354.401811
-206.584526,500,5377.080434
-203.949829,500,5385.102594
-196.918602,500,5393.210082
-238.631031,500,5401.249174
-452.728363,500,5423.574903
-168.759602,500,5431.94575
-289.845784,500,5439.814436
-252.116146,500,5447.725357
-294.388401,500,5470.106047
-273.870875,500,5491.811936
-312.569117,500,5499.713814
-300.727254,500,5507.588963
-293.842119,500,5520.919444
-291.417104,500,5529.167176
-311.029779,500,5537.050485
-227.154965,500,5545.217601
-280.234338,500,5566.881841
-314.9841,500,5574.813514
-253.229159,500,5582.978022
-306.06652,500,5591.255242
-353.781399,500,5613.518126
-287.039513,500,5621.65428
-298.720125,500,5629.946122
-333.321121,500,5638.373469
-389.955492,500,5651.580159
-274.319222,500,5659.613732
-259.59009,500,5667.988255
-464.267029,500,5676.09132
-241.568629,500,5698.113919
-377.655928,500,5719.683976
-447.012323,500,5727.815814
-253.731671,500,5735.672609
-322.163579,500,5756.908342
-424.122021,500,5765.069813
-209.83065,500,5773.162279
-287.715205,500,5781.1611
-175.988219,500,5802.947491
-268.987923,500,5811.131141
-342.222672,500,5819.20294
-197.810106,500,5827.16171
-385.029246,500,5840.429949
-369.138399,500,5848.283922
-338.83147,500,5856.284331
-265.734034,500,5864.458708
-260.305387,500,5872.502685
-501.203502,500,5894.899568
-268.03067,500,5903.00591
-250.052395,500,5911.198914
-388.306696,500,5919.503188
-238.151154,500,5955.417729
-234.537495,500,5963.823883
-366.048036,500,5972.013783
-225.172689,500,5980.128807
-246.838311,500,6002.282085
-221.262269,500,6010.585634
-164.266735,500,6018.905041
-240.118447,500,6027.266715
-257.7111,500,6051.643141
-259.244695,500,6060.089794
-368.123802,500,6068.339057
-332.184812,500,6076.475574
-175.055701,500,6100.890768
-204.744716,500,6109.212499
-204.513246,500,6117.453051
-213.530114,500,6125.742054
-319.209315,500,6150.004014
-142.183944,500,6158.449882
-245.470829,500,6166.969252
-195.430915,500,6175.363255
-315.328251,500,6212.196989
-219.26104,500,6220.537661
-184.441188,500,6228.505081
-315.391084,500,6236.83426
-285.710882,500,6258.936396
-284.423696,500,6267.076469
-259.732025,500,6275.30008
-264.836436,500,6283.589755
-162.061594,500,6305.706116
-269.503967,500,6313.969732
-292.487025,500,6322.134211
-339.699604,500,6330.153892
-225.724667,500,6352.392819
-255.796654,500,6360.458116
-297.62175,500,6368.560591
-238.552517,500,6376.768842
-242.821226,500,6385.003993
-288.624413,500,6406.93616
-161.484983,500,6415.158151
-174.756254,500,6423.154629
-251.048603,500,6444.742566
-226.9683,500,6465.96431
-313.988715,500,6474.187068
-183.435816,500,6482.091218
-147.258645,500,6490.058971
-166.812124,500,6512.317657
-169.571866,500,6520.254449
-185.300252,500,6528.306957
-348.742647,500,6536.356142
-181.182025,500,6558.645987
-203.422403,500,6566.639224
-265.4659,500,6574.426227
-352.275904,500,6582.456042
-152.378509,500,6595.906797
-173.566166,500,6604.056494
-235.626103,500,6612.10942
-167.779352,500,6620.133306
-195.417256,500,6642.19868
-165.787758,500,6650.179515
-225.986236,500,6658.455678
-320.338777,500,6680.013954
-202.40625,500,6701.037063
-227.810245,500,6709.102772
-188.631267,500,6717.165306
-340.541634,500,6725.423096
-178.589571,500,6747.571091
-214.46916,500,6755.560466
-208.058304,500,6763.834202
-443.852795,500,6771.741201
-162.180648,500,6785.257822
-338.785276,500,6793.347563
-162.021056,500,6801.322919
-206.759861,500,6809.600898
-396.707632,500,6831.649882
-313.34569,500,6839.54393
-294.100545,500,6847.370317
-249.29771,500,6855.564646
-240.349896,500,6877.586288
-254.677152,500,6885.801124
-261.808482,500,6893.801433
-230.525173,500,6915.274875
-295.376014,500,6923.30845
-197.938938,500,6944.585499
-120.718526,500,6952.665206
-272.097434,500,6960.665525
-207.623013,500,6968.737183
-242.308409,500,6990.866824
-358.003254,500,6998.93755
-183.534436,500,7006.947776
-139.757999,500,7014.996296
-407.734091,500,7028.153472
-233.286034,500,7036.225505
-268.002544,500,7044.16724
-402.697205,500,7052.160797
-364.786401,500,7073.996435
-168.271163,500,7082.271193
-357.602855,500,7090.470232
-162.252425,500,7098.730771
-367.795395,500,7120.891387
-449.097728,500,7128.755479
-356.211623,500,7150.16307
-268.275878,500,7158.340064
-351.047202,500,7174.445407
-434.617649,500,7182.5365
-201.013353,500,7190.386963
-274.690292,500,7198.437221
-400.796396,500,7220.987524
-258.464469,500,7229.135805
-151.898255,500,7237.111546
-198.330679,500,7245.163418
-238.698041,500,7267.315069
-312.274088,500,7275.323606
-142.822214,500,7283.366533
-430.666655,500,7291.364088
-174.680109,500,7313.813994
-262.690933,500,7321.784765
-197.761023,500,7330.021251
-215.460169,500,7338.153598
-288.394497,500,7360.293787
-291.086796,500,7368.464575
-344.74672,500,7389.950191
-143.679818,500,7398.150274
-192.687229,500,7406.184971
-130.708402,500,7427.707963
-191.783047,500,7435.641553
-331.663741,500,7443.863005
-210.657241,500,7452.072282
-237.969003,500,7474.275295
-167.814343,500,7482.417965
-164.229854,500,7490.372807
-287.457284,500,7498.672587
-312.251749,500,7520.802133
-359.704986,500,7528.600366
-188.80152,500,7536.67752
-396.727387,500,7544.660148
-177.36307,500,7567.006917
-124.406047,500,7575.097841
-310.576611,500,7583.24404
-164.955284,500,7591.217183
-197.599762,500,7613.461241
-268.487181,500,7634.931978
-215.30954,500,7643.168514
-210.095467,500,7651.310164
-152.22758,500,7672.497158
-256.413501,500,7680.387101
-238.896121,500,7688.316017
-236.94066,500,7696.292655
-178.547966,500,7718.510137
-354.44201,500,7726.319583
-244.388677,500,7734.303606
-234.441876,500,7742.165012
-279.937089,500,7764.438326
-309.629325,500,7772.629934
-413.53126,500,7780.782905
-173.69819,500,7788.991876
-205.527102,500,7811.026651
-197.803932,500,7819.256849
-198.8555,500,7827.236333
-111.082722,500,7835.266988
-247.388329,500,7857.511905
-133.298513,500,7878.943165
-200.292229,500,7886.981574
-243.317375,500,7895.098035
-111.447043,500,7903.160523
-163.112482,500,7924.276695
-333.419918,500,7932.468197
-166.938971,500,7940.36324
-275.027178,500,7948.583699
-351.274225,500,7971.420155
-218.142354,500,7979.589639
-253.040534,500,7987.894271
-324.665429,500,7995.997447
-328.474325,500,8017.942135
-226.674442,500,8026.111382
-180.711254,500,8034.176318
-241.776793,500,8042.210246
-196.274421,500,8064.494231
-166.368466,500,8072.633442
-278.700308,500,8080.803631
-198.674611,500,8089.031391
-209.870003,500,8125.348972
-143.867898,500,8133.729528
-262.605616,500,8141.946035
-145.483502,500,8150.082842
-297.739614,500,8163.208333
-178.592096,500,8171.305069
-191.79486,500,8179.603803
-254.57781,500,8187.510458
-191.73002,500,8209.268026
-176.067874,500,8217.130062
-303.451255,500,8225.319895
-158.188571,500,8233.587856
-226.997243,500,8255.780599
-469.723124,500,8263.80881
-256.084027,500,8271.938311
-315.497506,500,8280.003594
-305.040702,500,8293.207506
-159.888324,500,8301.200345
-164.280801,500,8309.078739
-152.471781,500,8317.09673
-198.023717,500,8351.474346
-276.169669,500,8359.27119
-218.406468,500,8367.556566
-294.917921,500,8375.541564
-129.833869,500,8397.456942
-164.566502,500,8405.556997
-158.257225,500,8413.691851
-269.530148,500,8421.768301
-157.246135,500,8430.052864
-205.342887,500,8452.230313
-305.412399,500,8460.393062
-217.599966,500,8468.454388
-206.489072,500,8476.465296
-375.926254,500,8498.438422
-211.332417,500,8506.494102
-472.105694,500,8514.639072
-202.321414,500,8522.818091
-385.790826,500,8544.889684
-121.613899,500,8553.009955
-120.815444,500,8561.213565
-198.853468,500,8582.82331
-412.317442,500,8603.868963
-209.952669,500,8611.99903
-131.096037,500,8620.240348
-116.088798,500,8628.352917
-162.544065,500,8651.595439
-276.762838,500,8659.59253
-199.022808,500,8667.929901
-212.1757,500,8676.145767
-343.477509,500,8698.241355
-134.000569,500,8706.413513
-225.47123,500,8714.696953
-268.245812,500,8722.776275
-202.868199,500,8744.566839
