#{"t_start": 1747672900.6222467, "env_id": "None"}
r,l,t
-631.130318,500,14.2186
-695.213922,500,21.459939
-753.628606,500,28.983015
-890.44407,500,36.349128
-570.501564,370,55.79841
-627.090162,500,63.573234
-375.384347,289,67.69602
-93.124462,74,68.821782
-803.360505,500,76.619322
-693.513491,500,89.447385
-625.327542,500,96.971939
-25.22913,16,97.262393
-559.707411,500,104.919127
-287.662955,236,108.527889
-838.445845,500,116.291863
-612.562315,500,137.157009
-993.508539,500,144.866863
-595.910669,500,152.389354
-795.985497,500,159.579323
-624.721595,455,179.910557
-859.146719,500,187.246772
-737.778027,500,195.238894
-292.766344,248,199.008854
-653.110172,500,222.910602
-89.136273,86,230.691449
-774.096457,500,237.741619
-638.74831,500,245.63562
-609.460012,500,254.070877
-539.646303,500,261.570498
-365.852498,253,278.938413
-669.166829,500,287.15896
-477.899725,425,293.414538
-1026.954986,500,300.749944
-795.267623,500,314.5306
-37.781698,26,314.900412
-544.219138,500,322.132448
-211.489444,196,324.989544
-610.033231,500,332.398043
-691.384785,500,339.857734
-587.513228,500,354.053064
-736.433762,500,361.562361
-576.953711,500,369.085421
-669.439999,500,376.059162
-595.28127,500,388.817774
-725.637331,500,396.399357
-672.013027,500,404.251562
-736.967252,500,425.976449
-558.895744,500,447.062379
-635.053866,500,454.670186
-805.610542,500,462.114446
-628.087997,500,470.322343
-652.663383,500,491.421715
-746.187677,500,498.824101
-509.805051,500,506.366317
-551.106613,500,513.84848
-592.90756,500,528.097243
-569.6669,500,535.308531
-790.883107,500,542.855566
-566.820449,500,550.281698
-621.90429,500,562.886024
-638.770444,500,570.348722
-670.992854,500,577.313629
-538.0446,500,584.91634
-837.362216,500,605.868172
-658.093857,500,613.264987
-716.424035,500,620.612465
-744.384741,500,636.59994
-676.263745,500,644.015177
-516.322761,500,657.740082
-624.48697,500,665.069161
-637.010685,500,672.235697
-661.195581,500,679.572302
-1066.830901,500,700.744559
-643.462022,500,707.971776
-738.612284,500,715.175807
-534.701566,500,722.682525
-695.761183,500,736.314684
-632.743676,500,743.724361
-630.576043,500,750.808205
-579.687089,500,758.075403
-512.862389,500,771.97498
-553.427307,500,779.551291
-587.092476,500,786.690844
-552.312704,500,794.016526
-627.927597,500,807.618489
-564.365093,500,815.078501
-488.852961,500,832.751011
-666.124349,500,840.801459
-556.805939,500,855.976564
-432.746701,500,863.868968
-691.796795,500,870.926146
-519.956057,500,878.138723
-589.610647,500,890.270038
-640.373655,500,897.467006
-494.650884,500,904.869009
-760.50138,500,912.396017
-769.974291,500,934.319862
-629.842004,500,942.047876
-598.503968,500,949.407437
-535.637492,500,957.198444
-571.222896,500,971.122403
-483.999087,500,978.629387
-555.49575,500,985.93181
-474.573021,500,993.147688
-937.690019,500,1005.861417
-828.181583,500,1013.028297
-696.715413,500,1032.013328
-463.720426,500,1039.110866
-434.825162,500,1046.407234
-753.936811,500,1059.122622
-524.21586,500,1066.606041
-770.73166,500,1074.266636
-552.751591,500,1081.253102
-557.614071,500,1095.106407
-477.262256,500,1102.126334
-527.851447,500,1109.397581
-400.808824,500,1116.689577
-626.125254,500,1137.747678
-585.606484,500,1145.33808
-576.070911,500,1153.059861
-421.03428,500,1160.507196
-509.881741,500,1173.514168
-732.612434,500,1181.292479
-717.009323,500,1188.59917
-676.382464,500,1196.167689
-562.556088,500,1217.084783
-612.351838,500,1235.985983
-450.633254,500,1243.297059
-546.072288,500,1250.353865
-620.710813,500,1271.207362
-575.227592,500,1278.439075
-512.158049,500,1286.043874
-720.642598,500,1293.720781
-578.645389,500,1314.890688
-537.941425,500,1321.957146
-700.637294,500,1329.373549
-554.298604,500,1336.966289
-589.13946,500,1351.923243
-504.043228,500,1359.234038
-498.152484,500,1366.615442
-752.87972,500,1374.279043
-781.362242,500,1388.316149
-615.193247,500,1395.842883
-493.786739,500,1403.066735
-515.755214,500,1410.689476
-515.6572,500,1423.283033
-720.918781,500,1440.381976
-582.001525,500,1448.180905
-858.410679,465,1455.451878
-585.239865,500,1463.206143
-531.047656,500,1484.153907
-668.440902,500,1492.010173
-521.297698,500,1499.322859
-479.170806,500,1506.7769
-472.103157,500,1520.549295
-535.770234,500,1527.805028
-526.437368,500,1535.028867
-431.863899,500,1542.250261
-472.988684,500,1556.378746
-418.94721,500,1563.840005
-507.033066,500,1571.488916
-454.087824,500,1579.04879
-641.323805,500,1600.434913
-545.882632,500,1608.107049
-453.114604,500,1615.578893
-569.894281,500,1623.438346
-669.954982,500,1658.27925
-539.397334,500,1666.035338
-689.446277,500,1673.506017
-501.186081,500,1681.42552
-512.121914,500,1702.338
-476.49458,500,1709.963019
-520.619272,500,1717.84102
-478.846354,500,1725.493402
-587.629296,500,1746.472403
-547.948449,500,1753.843934
-649.641825,500,1761.136601
-534.925857,500,1768.739106
-655.09659,500,1792.46526
-529.748726,500,1800.779785
-607.996958,500,1809.093346
-430.938171,500,1817.672572
-461.167485,500,1839.657436
-455.371393,500,1848.111359
-385.331875,500,1855.672422
-385.896977,500,1863.122329
-622.126625,500,1895.622654
-370.324153,500,1902.688516
-456.911491,500,1909.7691
-683.025054,500,1917.070562
-549.602159,500,1925.11649
-433.283147,500,1946.792467
-516.975234,500,1954.340412
-415.805192,500,1961.801224
-572.198098,500,1969.360819
-686.548983,500,1983.112504
-606.205814,500,1990.425896
-554.124206,500,1997.687338
-475.649913,500,2005.029993
-542.773915,500,2018.807436
-488.168277,500,2026.201797
-471.487718,500,2033.666246
-459.155837,500,2041.058023
-486.36969,500,2055.257169
-514.318243,500,2062.713604
-468.562989,500,2070.261722
-376.079634,500,2093.535339
-662.438438,500,2107.593768
-396.596907,500,2114.937959
-434.047571,500,2122.103569
