#{"t_start": 1744641421.2859144, "env_id": "None"}
r,l,t
37.899091,500,7.073589
151.595127,500,11.414636
154.090608,500,15.814138
110.158579,500,20.197531
125.446748,500,33.707533
75.462526,500,38.121002
81.953177,500,42.532699
58.886432,500,46.960606
114.220438,500,59.805717
185.945234,500,64.264144
88.389293,500,78.209102
75.343567,500,82.622876
64.717458,500,93.521655
151.408287,500,97.971752
87.691618,500,102.445302
78.192202,500,106.8996
107.86018,500,117.826491
90.339976,500,122.317243
135.562508,403,125.924423
87.731446,500,130.406139
166.713571,500,150.327514
102.436662,500,154.80845
82.963006,500,159.27689
162.991316,500,163.78468
64.9087,500,174.907288
154.985728,500,179.459946
198.172977,500,184.001276
78.985463,500,188.519648
190.170153,500,199.608651
132.135303,480,203.901306
68.54802,500,216.818203
108.0999,500,221.355436
99.627938,500,225.890622
90.084465,500,237.228672
164.759911,500,241.741287
148.038602,500,246.261794
83.409409,500,250.775055
184.266447,500,261.953485
171.73732,487,266.404197
171.047749,500,270.945791
172.08858,500,283.89958
288.109358,500,294.914445
182.711951,500,299.440392
121.434733,500,303.975314
200.402163,500,308.497893
268.134336,500,327.237914
308.484445,500,331.879901
218.372313,500,336.582773
221.696779,500,341.31097
200.284564,500,356.04238
261.684167,500,370.034639
296.638041,500,374.744315
234.525984,500,379.371765
282.117339,500,390.321078
248.882501,500,394.847794
5.401909,87,395.650281
1.76148,42,396.046149
360.132733,500,400.591806
295.308415,500,405.161568
217.658053,500,416.321794
353.545939,500,420.855954
38.078583,136,422.095711
318.109758,500,435.053196
314.439246,500,439.550525
349.509807,500,450.634375
277.755506,500,455.14676
363.373473,500,459.670029
368.595514,500,464.198005
349.28253,500,477.136603
463.4123,500,481.669503
468.82123,500,486.202333
13.408572,91,487.052443
474.076439,500,491.590797
282.929049,500,511.200001
258.417756,500,515.748806
285.334259,500,520.280197
485.808705,500,524.805413
357.591463,500,539.824895
479.159432,500,544.35445
479.347097,500,548.900249
379.186453,500,553.43668
441.708952,500,564.545228
527.079942,500,569.098397
63.408209,158,570.558386
504.057594,500,583.672409
459.811362,500,588.231933
206.187576,370,598.141883
8.966714,76,598.848786
494.566495,500,603.373983
434.016127,500,607.92468
522.086414,500,612.471081
470.782751,500,623.643127
403.105125,500,628.202683
458.974897,500,632.728579
433.456818,500,637.26249
459.75483,500,656.929299
439.868812,500,661.489082
524.621527,500,666.034242
619.485657,500,670.542075
526.657393,500,682.998273
326.128463,304,685.767487
729.140266,500,690.318226
477.98,500,694.858299
546.362163,500,699.381463
590.408023,500,710.504614
588.694542,500,723.61812
656.190491,500,728.157136
545.027632,500,732.709267
494.456049,500,743.780632
594.338081,500,748.346901
601.332461,500,752.942473
640.251802,500,757.485368
23.408767,84,758.2567
714.046069,500,769.423286
553.905098,500,773.972273
595.042493,500,778.509154
19.195334,75,779.194643
781.582015,500,792.307533
699.942536,500,803.573855
676.104958,500,808.150646
673.813886,500,812.728302
713.681242,500,817.241105
44.960471,122,824.887744
75.512793,178,826.548704
617.041831,500,831.144921
26.94487,76,831.843809
721.524319,500,836.386401
736.222807,500,840.911599
753.42382,500,852.314253
747.379041,500,865.343704
758.597692,500,869.908648
743.097497,500,874.443486
652.285426,500,885.616699
93.836175,176,887.230761
766.585627,500,891.748868
741.969613,500,896.326582
792.201628,500,900.889675
800.276007,500,912.050115
663.402416,500,916.595198
926.052251,500,921.107671
721.529556,500,934.137162
44.127389,120,935.221191
9.492233,54,935.740622
773.452264,500,946.984647
414.148939,336,950.030695
777.440306,500,954.583679
923.896092,500,959.132277
766.3571,500,970.476918
937.846338,500,975.068587
937.719789,500,979.602042
841.965805,500,984.161395
867.314839,500,995.235991
970.292135,500,1008.27885
839.957048,500,1012.847146
948.401462,500,1017.393667
878.313773,500,1028.753693
908.746159,500,1033.279097
1006.005555,500,1037.811347
13.96897,53,1038.307749
925.160372,500,1042.843416
101.803231,149,1044.209716
88.728963,137,1045.457521
928.531043,500,1056.936601
868.990019,500,1061.496903
1038.508609,500,1074.548315
991.253207,500,1079.106307
1036.58305,500,1090.286439
1105.455107,500,1094.865407
23.830737,70,1095.531991
1039.381511,500,1100.096249
1006.870607,500,1104.66362
1052.030467,500,1115.848554
1032.774438,500,1120.424153
950.153708,500,1125.074081
1086.825207,500,1129.599986
1140.860344,500,1150.556748
1068.588059,500,1155.135622
1076.335484,500,1159.721349
810.388088,500,1164.277387
1186.820438,500,1176.747261
1018.21505,500,1181.350488
999.668041,500,1185.901112
1225.495668,500,1190.479952
1133.403415,500,1201.60165
