#{"t_start": 1744656696.4645402, "env_id": "None"}
r,l,t
-1.595485,500,6.721315
-1.802886,249,8.906625
2.3413,388,12.352069
1.134184,500,16.788368
-0.52749,500,27.719591
2.939934,500,32.116186
2.257655,500,36.491536
4.918981,500,40.907168
0.970132,500,51.872039
2.351457,500,56.29957
4.696302,500,69.133087
0.856436,500,73.589144
1.931441,500,78.027899
2.543391,500,88.981106
5.495438,500,93.468109
4.400148,500,97.942868
2.47202,495,102.370019
5.543022,500,113.458986
4.482757,500,117.937446
5.186333,500,122.416614
3.153492,500,135.317691
0.525233,170,143.39349
6.260213,500,147.887221
6.095798,500,152.387305
6.622027,500,156.853424
6.695938,500,167.917447
2.613025,23,168.129469
-0.767379,173,169.735
9.692416,500,174.227321
8.116094,500,178.74673
8.041661,500,183.231357
6.714801,500,194.228895
-0.382327,80,194.942437
7.549373,500,207.919846
10.564937,500,212.431253
13.30273,500,216.945311
14.193322,500,230.200526
13.351941,500,234.747737
14.126421,500,239.262268
12.541344,500,243.817354
15.165074,500,254.8448
15.577501,492,259.309609
18.056103,500,263.80318
18.195565,500,277.07996
12.834546,500,290.417147
14.285041,500,295.32481
3.602588,209,297.38815
18.428578,500,302.226617
17.257329,500,306.97325
19.001818,500,320.075838
18.484711,500,324.657886
18.407922,500,329.23139
16.581577,400,332.90827
23.766608,500,343.847648
19.393953,500,356.685325
22.263073,500,361.223658
21.20972,500,365.780967
19.999112,500,376.929344
28.836897,500,381.48675
25.294808,500,386.049549
11.93158,282,388.604545
1.994202,76,389.312788
25.939073,500,393.863463
33.448006,500,405.001535
29.33948,500,409.548878
29.436929,500,422.359426
29.662672,500,426.940595
29.526544,500,437.960159
33.127747,500,442.510684
32.106304,500,447.040803
30.48683,500,451.571817
32.393415,500,462.655641
34.26224,500,467.225054
17.869595,301,469.950672
2.787678,82,470.715014
34.840176,500,475.272639
35.592548,500,488.326468
31.76948,500,501.128609
36.984378,500,505.662814
34.371426,500,510.231159
35.425033,476,521.128846
41.231611,500,525.682761
38.497832,500,530.279932
37.462719,500,534.850805
6.524675,73,535.519417
37.290353,500,546.612626
42.659562,500,551.170945
43.455019,500,555.774502
43.19185,500,568.642123
39.135734,500,579.726124
45.577766,500,584.258574
40.039904,500,588.797195
46.680489,500,593.368948
43.878572,500,597.930042
50.202563,500,608.997077
45.077278,500,613.566596
48.744244,500,618.144595
43.542887,500,622.734742
47.975377,500,642.147255
46.735821,500,646.723209
50.491381,500,651.33793
49.804254,500,655.89536
53.428632,500,666.975185
48.369944,500,671.578066
51.131882,500,676.152025
50.818238,500,680.68595
54.647542,500,691.844145
50.98353,500,696.417864
58.346958,500,709.347415
57.780594,500,713.931235
53.424379,500,725.088711
53.531045,500,729.679525
57.520402,500,734.270689
59.108413,500,738.853043
59.248619,500,749.998169
61.613485,500,754.589841
61.216854,500,759.168886
62.07296,500,763.765797
61.126346,500,783.431263
60.416187,500,788.008085
60.222642,500,792.580649
59.477035,500,797.187382
58.710972,500,808.314868
66.059562,500,812.903117
64.583274,500,817.493115
66.522685,500,822.042796
64.384134,500,833.12398
67.222399,500,837.720979
71.465495,500,850.732201
70.869068,500,855.323408
68.62975,500,866.389906
72.345093,500,870.930558
71.014684,500,875.50819
68.404416,500,880.10516
71.606599,500,884.690134
71.890692,500,895.991901
68.735412,500,900.591565
68.061481,500,905.164565
77.164214,500,918.236295
69.437537,500,929.480108
72.056348,500,934.091621
73.412546,500,938.671645
70.416659,500,943.244499
8.425597,77,943.956514
75.599527,500,955.020407
79.419822,500,959.612032
77.819607,500,964.240161
78.040719,500,968.853938
77.780338,500,988.450841
75.554419,500,993.049611
78.20952,500,997.620739
76.926284,500,1002.230833
78.930143,500,1013.618563
81.089378,500,1018.209456
81.024896,500,1022.788667
82.837537,500,1027.377567
78.243072,500,1038.73539
84.110406,500,1043.33369
78.700673,486,1056.333977
85.286894,500,1060.93557
85.015029,500,1073.538665
84.481391,500,1078.135383
83.514542,500,1082.683637
85.478873,500,1087.259367
33.031214,207,1089.149568
86.06073,500,1100.342291
90.165233,500,1104.942386
88.066502,500,1109.525904
85.431164,500,1114.123971
88.766591,500,1134.115282
90.655716,500,1138.723243
86.386306,500,1143.316819
87.639634,500,1147.900121
90.899858,500,1159.071413
91.179477,500,1163.690314
94.156599,500,1168.275076
91.064094,500,1172.901431
91.151363,500,1186.065324
92.310261,500,1190.655958
91.559794,500,1203.774234
91.939486,500,1208.377142
92.941978,500,1219.641996
93.016227,500,1224.36334
91.559455,500,1229.178771
91.327354,500,1234.006632
96.039658,500,1246.90009
95.250401,500,1251.702432
97.681336,500,1256.525171
96.942218,500,1261.336107
95.4205,500,1281.547701
99.659807,500,1286.170331
97.324863,500,1290.797687
97.760171,500,1295.413406
98.018494,500,1306.501323
100.550496,500,1311.105445
98.973184,500,1315.701555
98.15985,500,1320.338107
98.211925,500,1331.462663
100.214966,500,1336.087583
102.33741,500,1349.309397
97.932456,500,1353.907914
100.295649,500,1358.505456
100.923528,500,1369.766398
102.52147,500,1374.349392
101.426741,500,1378.992205
101.896178,500,1383.589143
102.294344,500,1394.71439
101.531259,500,1399.311574
105.194524,500,1403.927202
104.831647,500,1417.167593
103.576104,500,1428.329556
103.778458,500,1432.981035
104.42878,500,1437.60251
104.389385,500,1442.202306
103.585933,500,1453.511426
102.707264,500,1458.154935
103.88831,500,1462.731907
104.042141,500,1467.337008
107.686224,500,1478.571126
106.244997,500,1491.775282
109.036643,500,1496.41336
106.353554,500,1501.073387
106.704026,500,1512.346129
108.868397,500,1516.987431
108.627341,500,1521.606173
106.129019,500,1526.229475
109.479935,500,1539.40537
106.591899,500,1544.028633
109.309145,500,1548.640408
110.528051,500,1561.884076
110.131869,500,1573.340487
108.987487,500,1577.962935
106.438256,500,1582.590698
110.311961,500,1587.237627
109.751555,500,1598.396866
107.817181,500,1603.002195
109.854058,500,1607.627198
109.942327,500,1612.259245
109.349312,500,1623.446515
109.691589,500,1636.691951
108.042442,500,1641.321558
111.112018,500,1645.952274
110.37176,500,1658.895218
111.480132,500,1663.561856
111.96491,500,1668.200713
111.45709,500,1672.822716
112.558279,500,1677.42274
112.075468,500,1688.528469
113.09145,500,1693.168611
111.237401,500,1706.388081
112.364577,500,1711.030081
112.924291,500,1722.162659
112.6369,500,1726.797322
113.230758,500,1731.45212
112.323603,500,1736.08138
114.876645,500,1747.249666
115.477838,500,1751.883422
114.265168,500,1756.540458
112.43253,500,1761.142349
113.736782,500,1780.838696
114.219752,500,1785.516702
114.258214,500,1790.167913
112.512673,500,1794.806144
112.541393,500,1805.879821
115.375712,500,1810.516018
116.781365,500,1815.125615
115.939025,500,1819.772185
117.414371,500,1830.88117
116.748778,500,1835.536467
116.155298,500,1848.79686
116.570695,500,1853.446795
116.723175,500,1864.513557
115.628782,500,1869.149904
116.913433,500,1873.768304
117.622463,500,1878.402263
116.932726,500,1889.47882
117.347995,500,1894.128172
116.399046,500,1898.754451
116.564519,500,1903.38631
117.55336,500,1923.168206
115.804811,500,1927.812829
117.988093,500,1932.484508
117.721893,500,1937.120807
118.549899,500,1948.301157
118.035415,500,1952.936527
119.205923,500,1957.571346
118.458226,500,1962.182994
119.077209,500,1966.797126
117.749499,500,1985.123324
118.020605,500,1998.373048
118.184883,500,2002.974229
116.815703,500,2007.595628
117.796706,500,2018.941272
119.288586,500,2023.580573
119.389792,500,2028.187368
119.434561,500,2032.82549
120.232399,500,2044.075979
119.792118,500,2048.721355
120.083561,500,2053.376993
120.775722,500,2066.640561
