#{"t_start": 1744753209.1390247, "env_id": "None"}
r,l,t
-187.344803,500,6.832229
-197.489467,500,11.439113
-188.991885,500,16.028888
-191.14806,500,20.613468
-198.10326,500,32.902213
-98.84522,240,35.132958
-203.724915,500,39.769004
-201.001893,500,44.425568
-56.54584,131,45.643824
-227.704631,500,56.94706
-206.570935,500,61.465854
-206.454751,500,74.60329
-183.740803,500,79.099411
-193.288369,500,96.620919
-204.407697,500,101.133026
-207.197226,500,105.612729
-174.54131,500,110.11225
-179.482031,500,121.24761
-176.713807,500,125.76963
-174.783062,500,130.280206
-194.137134,500,134.753396
-171.475347,500,154.333407
-171.362408,500,158.828854
-173.633864,500,163.336157
-189.992781,500,167.81932
-176.884018,500,179.001903
-177.525455,500,183.514797
-168.210803,500,187.986666
-178.106383,500,192.474782
-157.791968,500,203.770256
-165.191075,500,208.295876
-188.153967,500,221.359815
-191.528832,500,225.893913
-175.926972,500,230.466354
-182.288479,500,241.523079
-173.350708,500,246.06249
-160.789912,500,250.560933
-168.937628,500,255.060675
-167.547612,500,266.086608
-172.09569,500,270.57725
-173.577557,500,275.062379
-161.406443,500,288.284882
-170.660323,500,299.45027
-158.450844,500,303.955915
-155.391882,500,308.479124
-168.38913,500,313.005278
-149.042233,500,326.298013
-158.175339,500,330.803621
-207.02614,500,335.335784
-148.932529,500,339.85066
-172.763331,500,350.908504
-149.351814,500,364.021841
-143.948157,500,368.54987
-148.231543,500,373.053112
-181.037611,500,384.169894
-166.097447,500,388.68662
-152.773197,500,393.17881
-154.402284,500,397.69649
-136.86497,500,410.895037
-146.416609,500,415.405171
-147.198131,500,419.94486
-144.604958,500,432.781624
-159.478923,500,443.832633
-156.512453,500,448.347562
-139.121256,500,452.849804
-167.534491,500,457.362892
-149.861352,500,468.449038
-181.181033,500,472.978807
-144.357512,500,477.474633
-136.837584,500,481.973572
-141.931832,500,493.102395
-141.173062,500,505.866729
-141.284095,500,510.397523
-145.270973,500,514.947855
-138.848765,500,526.444043
-144.53688,500,530.949643
-153.891787,500,535.452734
-144.821983,500,539.979518
-136.779289,500,544.482316
-136.123322,500,557.758481
-131.815824,500,562.281276
-136.647579,500,575.146311
-145.235284,500,579.69241
-129.602005,500,590.89055
-137.759757,500,595.415466
-128.015665,500,599.965033
-131.828988,500,604.485102
-126.553061,500,617.12972
-127.715274,500,621.665742
-131.804079,500,626.200673
-127.150656,500,630.726755
-126.803489,500,655.951996
-135.365937,500,660.492404
-120.458167,500,664.969887
-120.517374,500,669.499088
-123.296052,500,680.703492
-127.303243,500,685.226897
-123.471094,500,689.738741
-121.104962,500,694.272529
-118.03109,500,705.732381
-121.736063,500,710.267806
-118.524101,500,723.144456
-118.232583,500,727.67098
-134.599165,500,738.913105
-119.830868,500,743.441548
-111.963041,500,747.960093
-123.747341,500,752.493788
-114.386072,500,763.682934
-113.471765,500,768.259189
-113.884859,500,772.808932
-106.877984,500,777.308188
-111.468023,500,796.859322
-105.932853,500,801.382189
-106.836483,500,805.873534
-108.053409,500,810.404045
-109.585954,500,821.676277
-107.662422,500,826.244614
-106.224512,500,830.767163
-108.15576,500,835.316511
-104.754975,500,839.880949
-103.796611,500,851.053541
-104.919399,500,864.165592
-111.437828,500,868.690223
-108.450742,500,873.233707
-98.905333,500,884.795794
-100.764336,500,889.319176
-104.858441,500,893.836114
-102.61317,500,898.39736
-97.133082,500,909.588235
-100.16721,500,914.121835
-106.861001,500,918.670546
-99.438539,500,931.78709
-98.892245,500,944.063915
-97.993929,500,948.634015
-95.493854,500,953.190264
-90.237433,500,957.885419
-94.270625,500,970.199918
-102.651755,500,974.854743
-91.143304,500,979.475267
-95.826108,500,984.176293
-93.297456,500,995.674701
-86.481596,500,1009.622924
-87.064302,500,1014.374997
-94.371976,500,1019.190239
-109.188892,500,1034.750599
-88.586839,500,1039.537258
-90.859007,500,1044.324765
-88.569289,500,1049.081062
-87.876987,500,1060.532003
-85.714928,500,1065.091314
-83.544093,500,1069.681155
-81.82718,500,1083.000431
-87.364493,500,1096.356684
-85.80068,500,1100.951466
-80.369769,500,1105.518757
-80.90811,500,1110.095665
-89.250856,500,1123.395777
-76.369626,500,1127.965023
-77.649107,500,1132.517931
-80.5361,500,1137.095963
-81.419866,500,1141.726836
-75.995469,500,1162.363262
-78.447065,500,1166.975147
-76.760523,500,1171.564086
-74.794547,500,1176.160454
-72.00148,500,1187.397336
-74.546314,500,1191.99073
-74.166512,500,1196.564242
-73.415665,500,1201.172916
-66.574501,500,1214.445929
-71.213933,500,1219.057272
-74.28734,500,1232.558907
-72.909262,500,1237.161946
-72.156617,500,1248.567828
-68.153209,500,1253.190985
-68.205753,500,1257.823694
-73.971222,500,1262.435376
-67.522961,500,1273.709363
-68.776256,500,1278.337018
-66.33844,500,1282.948774
-66.850203,500,1287.588603
-64.87944,500,1307.879276
-66.85385,500,1312.500048
-65.385406,500,1317.129316
-64.492254,500,1321.793118
-65.208349,500,1334.282912
-62.58579,500,1338.911133
-61.139837,500,1343.570393
-61.083498,500,1348.238546
-62.310094,500,1359.535424
-61.771609,500,1364.185365
-61.668682,500,1377.868944
-65.156398,500,1382.499223
-58.66167,500,1393.884117
-57.692588,500,1398.562672
-60.81876,500,1403.241411
-59.016805,500,1407.903502
-57.537594,500,1419.222569
-53.16567,500,1423.877728
-56.754976,500,1428.546576
-52.741897,500,1433.2431
-55.668434,500,1453.67685
-55.177481,500,1458.371731
-52.212535,500,1463.054375
-50.925655,500,1467.718576
-55.898683,500,1472.391248
-50.919365,500,1483.831947
-52.5575,500,1488.494573
-50.271661,500,1493.202624
-53.236692,500,1497.90053
-50.084022,500,1509.280507
-51.271208,500,1523.097621
-49.480371,500,1527.805019
-45.996881,500,1532.518382
-46.941821,500,1543.810909
-45.567124,500,1548.498714
-46.730111,500,1553.214094
-46.394546,500,1557.896363
-43.299967,500,1569.209089
-44.932466,500,1573.90804
-44.027496,500,1578.614236
-42.061059,500,1592.50408
-41.027575,500,1605.150605
-42.638733,500,1609.876875
-41.758973,500,1614.606867
-40.396859,500,1619.340757
-44.649192,500,1630.846749
-39.08881,500,1635.570163
-41.330228,500,1640.296074
-39.728552,500,1644.987927
-36.221796,500,1656.378971
-39.24854,500,1670.268047
-35.668015,500,1674.977937
-35.270447,500,1679.714655
-39.444259,500,1694.981613
-32.153268,500,1699.701821
-38.187102,500,1704.408546
-36.110704,500,1709.11578
-39.976342,500,1720.444794
-31.28259,500,1725.185935
-35.299507,500,1729.912893
-34.62233,500,1743.90279
-35.33905,500,1755.208872
-33.544769,500,1759.923211
-30.137094,500,1764.673812
-28.913269,500,1769.400212
-31.806307,500,1774.153893
-34.055951,500,1785.534877
-30.121441,500,1790.277148
-33.751626,500,1795.040947
-32.363481,500,1799.769637
-26.995973,500,1820.517044
-30.980506,500,1825.254879
-29.275753,500,1829.964689
-30.09018,500,1834.736618
-33.39425,500,1846.258728
-27.269768,500,1850.994919
-25.165355,500,1855.775048
-27.209316,500,1860.541228
-24.771082,500,1872.164187
-29.146734,500,1876.939522
-26.033034,500,1890.981305
-26.041504,500,1895.723715
-26.470558,500,1907.248722
-26.604928,500,1911.998723
-22.580156,500,1916.74866
-21.758996,500,1921.516909
-20.08817,500,1932.909688
-22.001681,500,1937.651954
-21.304638,500,1942.424291
-24.419644,500,1947.177573
-22.559791,500,1970.172422
-21.748399,500,1975.161192
-18.378624,500,1980.207321
-22.521996,500,1985.205925
-20.296244,500,1998.395824
-19.18239,500,2003.386801
-19.235882,500,2008.373934
-21.559114,500,2013.380576
-22.949929,500,2025.040202
-20.124595,500,2029.831507
-16.943797,500,2043.844059
-19.405875,500,2048.642396
-17.798055,500,2060.382415
-18.81261,500,2065.181007
-15.690766,500,2069.942179
-14.915137,500,2074.681134
-17.33023,500,2086.340773
-14.994212,500,2091.147675
-15.498412,500,2095.939194
-15.299342,500,2100.734375
-18.277572,500,2114.808832
-13.745729,500,2126.268187
-13.692371,500,2131.094342
-14.950809,500,2135.907412
-15.059453,500,2140.680482
-11.683525,500,2152.165204
-13.926703,500,2157.000074
-15.10856,500,2161.807989
-11.000014,500,2166.574255
-13.898489,500,2178.273185
-11.348819,500,2192.389503
-9.008961,500,2197.191515
-13.266296,500,2201.992172
-14.208272,500,2213.430375
-7.507601,500,2218.227429
-13.173359,500,2223.036873
-10.472897,500,2227.83987
-11.398221,500,2239.37763
-9.266389,500,2244.194969
-9.047744,500,2248.990964
-10.955089,500,2263.021698
-10.171705,500,2274.461434
-10.463936,500,2279.275206
-10.016623,500,2284.051546
-5.653057,500,2288.848501
-7.74641,500,2305.46639
-7.053103,500,2310.253697
-9.244776,500,2315.066484
-9.894876,500,2319.861073
-8.201299,500,2331.393144
-8.205294,500,2345.502581
-8.648305,500,2350.304499
-6.841359,500,2355.099946
-6.576699,500,2366.664939
-5.738624,500,2371.4604
-5.383397,500,2376.273405
-6.349732,500,2381.101039
-9.378953,500,2392.749612
-3.916419,500,2397.559777
-7.066323,500,2402.373198
-5.729333,500,2416.509105
-5.681639,500,2421.330076
-3.455377,500,2432.908893
-3.765715,500,2437.718737
-4.195307,500,2442.551262
-4.077917,500,2447.355183
-3.372915,500,2458.842724
-2.195327,500,2463.646448
-1.47435,500,2468.465488
-3.489256,500,2473.287698
-3.08354,500,2494.304013
