#{"t_start": 1744793511.1239026, "env_id": "None"}
r,l,t
-203.024306,500,7.258939
-189.732764,500,11.669095
-216.068013,500,16.062443
-234.870243,500,20.497651
-18.861026,43,20.896195
-243.099307,500,32.004701
-214.472086,500,36.503931
-223.305368,500,40.973109
-220.938442,500,45.437592
-188.162325,500,56.384967
-229.294351,500,69.344323
-202.361342,500,73.814344
-217.749392,500,78.329143
-173.87756,500,89.306732
-208.68548,500,93.780754
-237.230417,500,98.243324
-198.632786,500,102.771636
-187.791929,500,113.941166
-175.34479,500,118.428462
-200.154131,500,122.943745
-201.701694,500,136.502576
-167.419542,500,153.704637
-173.865499,500,158.237018
-210.182765,500,162.743966
-197.488639,500,167.249157
-172.38387,500,178.204041
-191.984184,500,182.699634
-205.76197,500,187.195285
-175.33166,500,191.710092
-190.251181,500,202.951741
-177.82526,500,215.989322
-179.929108,500,220.481147
-177.196632,500,224.957421
-179.110597,500,236.172173
-179.535238,500,240.684124
-202.029058,500,245.185629
-196.089343,500,249.695822
-170.44865,500,262.254742
-185.823775,500,266.818413
-171.793604,500,271.335511
-168.414385,500,284.22718
-173.370042,500,301.757689
-174.709373,500,306.310062
-171.153207,500,310.81871
-190.490931,500,315.329299
-188.410791,500,328.343143
-165.084385,500,332.878571
-234.43888,500,337.401862
-186.658971,500,341.919099
-177.478222,500,346.45444
-157.992324,500,365.901854
-195.046631,500,370.443024
-180.485058,500,374.973099
-196.920831,500,379.461116
-197.504545,500,390.624278
-173.620687,500,395.116974
-180.290189,500,399.61237
-171.206148,500,404.125607
-152.143286,500,415.289197
-167.597873,500,419.792352
-152.823297,500,432.840444
-162.345709,500,437.384336
-164.518212,500,448.444286
-187.816751,500,452.942689
-146.325932,500,457.458013
-158.018794,500,461.970141
-162.299481,500,477.118546
-155.003965,500,481.661434
-152.596615,500,486.218623
-160.09934,500,490.749892
-157.517594,500,509.72872
-156.46799,500,514.244421
-157.745845,500,518.800795
-151.431077,500,523.353693
-140.664062,500,534.370513
-151.846219,500,538.893582
-142.670351,500,543.412727
-179.217634,500,547.966041
-180.001098,500,559.946167
-154.253904,500,564.689538
-137.244016,500,578.289511
-146.965661,500,583.004314
-153.836372,500,595.136258
-154.466991,500,599.867545
-144.324173,500,604.553446
-187.34326,500,609.09793
-160.964982,500,620.267383
-152.068932,500,624.792425
-143.567959,500,629.329885
-162.073032,500,633.863936
-144.140435,500,646.718229
-153.573421,500,657.744257
-136.239264,500,662.26878
-150.358739,500,666.795689
-143.111267,500,671.333741
-160.546206,500,682.429214
-145.003912,500,686.950821
-134.164875,500,691.483538
-138.108383,500,695.985845
-128.152555,500,706.987653
-142.106881,500,720.053093
-143.16356,500,724.617918
-131.678233,500,729.131497
-131.442994,500,744.753846
-124.554904,500,749.278625
-129.146608,500,753.797956
-148.438543,500,758.325855
-135.348927,500,769.488226
-129.181352,500,774.033193
-115.753308,500,778.564061
-122.442725,500,791.62069
-125.191358,500,802.744279
-129.973161,500,807.275495
-132.342729,500,811.835684
-157.666272,500,816.371193
-131.606304,500,827.470445
-131.34213,500,831.998371
-129.768603,500,836.508207
-119.983876,500,841.023765
-126.202138,500,852.262815
-119.439543,500,865.478504
-119.328792,500,869.993053
-126.904833,500,874.561057
-125.845238,500,885.787538
-119.025163,500,890.360322
-126.195394,500,894.917369
-117.440612,500,899.424707
-137.261658,500,910.52483
-131.564586,500,915.033867
-110.918557,500,919.580534
-116.04589,500,932.847239
-109.471411,500,943.980052
-113.823149,500,948.516056
-110.426021,500,953.034151
-109.242749,500,957.585989
-116.947496,500,962.105817
-113.831992,500,973.264862
-109.008365,500,977.843665
-128.283811,500,982.384
-112.019301,500,986.925662
-116.187718,500,1006.804841
-110.709445,500,1011.311692
-109.645417,500,1015.857582
-106.067099,500,1020.395808
-107.265678,500,1031.719815
-110.535363,500,1036.3038
-106.663645,500,1040.854923
-119.15343,500,1045.3762
-100.14269,500,1056.550462
-105.606177,500,1061.092049
-112.742649,500,1074.49869
-116.866015,500,1079.042416
-104.338029,500,1090.228703
-96.818242,500,1094.805991
-106.585531,500,1099.374818
-106.955221,500,1103.920279
-122.963084,500,1115.136381
-111.735429,500,1119.742603
-114.627785,500,1124.293849
-112.534617,500,1128.843543
-106.404026,500,1149.077536
-107.408991,500,1153.684035
-101.080407,500,1158.242957
-108.574039,500,1162.782542
-105.787975,500,1175.905659
-94.806924,500,1180.473017
-98.887641,500,1185.037429
-100.684656,500,1189.637181
-103.65188,500,1204.297877
-103.475959,500,1208.904894
-121.852061,500,1222.441073
-97.054726,500,1227.060257
-100.326154,500,1238.375308
-92.626935,500,1242.974968
-94.980688,500,1247.51873
-99.247361,500,1252.121215
-98.415734,500,1256.681553
-90.691853,500,1267.90373
-88.600444,500,1272.483771
-102.039313,500,1277.072189
-94.058608,500,1290.556887
-90.442864,500,1301.767107
-101.817609,500,1306.359322
-91.741318,500,1310.953042
-86.220575,500,1315.534969
-86.996052,500,1326.759577
-99.440148,500,1331.367541
-92.864237,500,1335.953795
-91.108599,500,1340.567642
-98.569852,500,1351.859421
-87.428442,500,1365.466258
-98.093222,500,1370.079508
-81.262079,500,1374.67155
-91.21185,500,1385.809874
-81.618813,500,1390.407352
-83.148433,500,1395.003024
-85.326043,500,1399.649152
-90.358809,500,1410.808648
-83.149119,500,1415.391334
-75.182166,500,1419.992356
-87.239705,500,1433.63371
-82.66129,500,1444.791585
-83.962869,500,1449.409186
-79.770612,500,1454.031625
-92.593264,500,1458.619281
-86.714062,500,1469.923176
-79.702381,500,1474.514269
-78.741226,500,1479.135108
-98.671814,500,1483.74491
-104.50923,500,1494.974047
-80.786125,500,1508.542972
-85.784962,500,1513.239716
-86.432232,500,1518.103296
-80.717865,500,1534.669632
-81.833482,500,1539.483264
-78.110035,500,1544.287625
-80.346882,500,1549.104083
-74.991657,500,1553.962876
-74.955978,500,1567.095221
-76.405684,500,1571.744468
-92.845274,500,1585.32705
-77.691104,500,1589.962557
-71.861354,500,1602.837413
-77.732699,500,1607.480266
-75.351542,500,1612.127742
-70.588242,500,1616.772011
-72.055772,500,1627.970039
-66.754909,500,1632.620738
-87.807617,500,1637.267538
-84.849547,500,1641.899338
-81.274413,500,1661.983942
-79.898448,500,1666.624053
-81.306299,500,1671.271441
-72.270966,500,1675.888885
-81.81147,500,1689.015977
-75.490591,500,1693.662353
-73.1249,500,1698.295585
-66.496625,500,1702.923483
-67.674048,500,1714.109068
-77.258051,500,1718.768494
-70.520107,500,1732.310604
-79.275037,500,1736.961423
-80.024927,500,1752.701043
-69.749704,500,1757.382979
-75.371262,500,1762.013794
-91.09711,500,1766.717917
-73.235057,500,1781.175064
-73.809726,500,1785.804268
-72.670678,500,1790.463042
-69.738898,500,1795.106724
-64.479765,500,1815.349774
-73.696644,500,1820.043395
-67.412824,500,1824.728995
-89.910239,500,1829.370149
-65.096517,500,1848.620486
-72.294969,500,1853.308837
-63.659823,500,1857.954194
-68.498435,500,1862.61803
-68.133991,500,1874.003566
-70.931941,500,1878.683511
-78.040099,500,1892.353185
-60.019909,500,1897.004087
-74.561354,500,1901.675106
-76.769427,500,1917.542435
-62.598007,500,1922.208005
-68.769259,500,1926.878594
-83.349129,500,1931.535117
-76.104754,500,1942.897263
-68.069502,500,1947.574442
-55.524601,500,1952.240549
-69.613491,500,1965.864995
-71.72056,500,1977.255482
-60.634658,500,1981.938013
-65.138418,500,1986.592448
-58.893273,500,1991.289592
-62.384238,500,2002.528326
-64.307801,500,2007.215488
-67.868966,500,2011.874062
-57.089887,500,2016.514948
-71.099838,500,2027.898847
-66.888301,500,2041.428368
-63.975277,500,2046.112669
-58.16741,500,2050.763874
-59.859771,500,2062.074183
-67.205993,500,2066.74379
-56.032187,500,2071.455312
-56.444964,500,2076.172286
-57.092884,500,2087.502657
-59.310473,500,2092.22648
-62.549228,500,2096.912199
-68.973837,500,2110.452173
-60.066086,500,2121.777835
-63.242839,500,2126.44052
-64.4591,500,2131.105739
-57.508225,500,2135.805807
-75.707938,500,2148.476404
-52.41612,500,2153.165853
-60.924967,500,2157.841676
-57.761354,500,2162.538553
-51.701595,500,2173.832607
-59.189266,500,2187.375446
-60.61209,500,2192.07755
-56.195243,500,2196.762699
-67.644862,500,2201.4258
-50.64278,500,2212.690537
-51.253527,500,2217.365451
-58.470855,500,2222.067774
-55.757956,500,2226.743983
-63.586445,500,2238.187814
-62.88404,500,2242.859612
-48.092964,500,2256.401491
-59.635349,500,2261.131106
-54.589961,500,2272.457921
-54.385964,500,2277.154579
-49.019522,500,2281.864529
-62.040126,500,2286.545789
-50.335406,500,2297.910212
-51.379058,500,2302.607349
-46.255248,500,2307.287815
-55.880596,500,2312.000327
-53.40473,500,2332.423583
-46.564465,500,2337.093338
-47.97136,500,2341.78925
-55.671955,500,2346.475473
-47.61214,500,2357.972214
-51.890152,500,2362.672743
-64.858178,500,2367.346414
-52.829999,500,2372.016977
-66.630313,500,2388.060669
-51.49498,500,2392.771201
-51.982145,500,2406.360638
-45.668605,500,2411.074327
-60.570495,500,2422.361949
-52.320391,500,2427.068159
-41.491047,500,2431.776055
-37.027355,500,2436.504542
-51.687685,500,2449.652932
-41.751449,500,2454.334383
-48.301339,500,2459.03834
-47.5396,500,2463.748882
-35.52925,500,2485.89658
-45.876209,500,2490.830742
-44.753764,500,2495.744656
-44.104487,500,2500.706542
-37.260895,500,2512.626207
-38.574392,500,2517.355272
-47.845827,500,2522.054721
-55.256463,500,2526.795248
-39.571573,500,2531.480783
-40.444149,500,2542.975052
-31.460602,500,2556.546434
-39.555669,500,2561.252745
-37.326972,500,2565.971303
-39.583207,500,2577.349119
-38.714863,500,2582.07639
-42.003825,500,2586.78106
-47.007358,500,2591.466055
-36.971261,500,2603.304421
-42.91403,500,2608.025606
-33.657912,500,2612.735133
-39.980698,500,2626.350075
-38.06836,500,2637.705069
-45.1558,500,2642.451695
-37.531904,500,2647.164135
-43.344387,500,2651.883512
-40.128198,500,2663.186546
-35.487437,500,2667.888514
-43.214242,500,2672.599847
-31.559781,500,2677.331882
-33.147762,500,2688.616694
-38.801968,500,2702.219926
-30.206875,500,2706.939965
-42.281763,500,2711.686625
-46.266502,500,2723.069734
-35.719748,500,2727.805212
-40.198226,500,2732.547578
-32.153655,500,2737.273069
-34.343853,500,2748.684382
-50.576189,500,2753.429899
-45.25784,500,2758.154557
-48.251101,500,2771.82232
-51.093077,500,2783.149348
-29.786394,500,2787.864192
-28.197878,500,2792.564631
-35.423112,500,2797.289663
-30.77849,500,2808.656296
-31.665389,500,2813.396017
-24.626714,500,2818.0933
-34.90689,500,2822.867733
-36.654596,500,2827.624187
-29.950224,500,2847.890722
-27.58314,500,2852.642519
-34.749329,500,2857.359856
-24.608039,500,2862.10997
-25.35117,500,2873.503676
-36.312388,500,2878.236376
-26.317064,500,2882.962085
-29.524187,500,2887.705564
-24.87593,500,2899.052722
-30.286139,500,2903.80453
-31.423125,500,2917.503171
-33.872671,500,2922.272123
-26.481026,500,2941.881474
-37.163198,500,2946.588856
-23.769918,500,2951.352636
