#{"t_start": 1744699602.670915, "env_id": "None"}
r,l,t
-111.200313,500,6.998764
-20.709796,119,8.059042
-97.947514,500,12.452698
-81.956429,500,16.832422
-114.326929,500,27.783757
-93.159326,500,32.230652
-92.11571,500,36.633632
-114.584722,500,41.066278
-76.654965,500,52.071944
-85.842947,419,55.797478
-86.914733,500,69.22354
-123.398225,500,73.697947
-92.847987,500,78.16849
-103.437713,500,89.179721
-98.518828,500,93.656139
-85.522436,500,98.128623
-85.836737,500,102.592849
-99.839375,500,113.72803
-104.229038,500,118.207099
-81.869085,500,122.717602
-85.008342,500,135.666456
-87.154132,500,146.775938
-68.867861,500,151.287073
-96.248535,500,155.765719
-67.235686,500,160.252629
-93.002015,500,171.345402
-107.319605,500,175.801282
-81.800471,500,180.317051
-91.759111,500,184.7768
-94.326787,500,195.737086
-93.222928,500,208.746037
-64.450324,500,213.258779
-76.0823,500,217.905538
-76.314006,500,231.671716
-62.304605,500,236.352383
-99.491262,500,241.015903
-67.485567,500,245.695415
-71.377831,500,257.670293
-70.330033,500,262.355221
-63.957443,500,266.896038
-61.758235,500,279.841456
-97.621022,500,290.847832
-93.779717,500,295.36463
-78.322648,500,299.882092
-65.460994,500,304.360961
-56.74758,500,315.37621
-67.815867,500,319.883147
-69.753755,500,324.399004
-72.718129,500,328.879592
-71.624655,500,333.353219
-57.410271,500,352.695492
-67.975394,500,357.213486
-62.740617,500,361.76684
-61.458034,500,366.267427
-55.311577,500,377.330864
-54.778905,500,381.817682
-62.567734,500,386.30783
-47.306577,500,390.810115
-56.897348,500,401.903045
-49.415638,500,406.394404
-71.202131,500,419.342923
-56.316421,500,423.848485
-107.564751,500,434.943046
-48.203702,500,439.440208
-59.152946,500,443.96057
-63.931234,500,448.418975
-47.674747,500,459.396624
-39.085209,500,463.884305
-60.597822,500,468.384662
-49.775635,500,472.891038
-62.505313,500,492.309587
-49.527751,500,496.806509
-47.427301,500,501.294027
-57.365851,500,505.837735
-44.012704,500,516.867628
-43.125104,500,521.365795
-47.774185,500,525.863993
-46.918275,500,530.366702
-59.542581,500,541.523985
-38.425445,500,546.037454
-43.353983,500,558.758763
-40.223515,500,563.241601
-46.976445,500,574.248509
-39.51924,500,578.761959
-38.877579,500,583.281168
-41.029706,500,587.781817
-35.871918,500,598.864678
-41.739322,500,603.36178
-37.113848,500,607.88147
-33.689254,500,612.36522
-40.11867,500,625.137808
-37.423961,500,636.11669
-32.866117,500,640.641644
-39.167185,500,645.129872
-32.059892,500,649.610577
-34.465463,500,665.979216
-34.530638,500,670.465976
-35.240606,500,674.963969
-33.384033,500,679.450929
-34.122762,500,690.540035
-32.633173,500,703.321443
-36.058548,500,707.850158
-31.320892,500,712.358783
-25.591188,500,724.108127
-22.90018,500,728.661946
-30.607847,500,733.171121
-27.436102,500,737.667671
-30.853692,500,749.51111
-25.218996,500,754.033434
-24.522242,500,758.555336
-27.201808,500,771.375412
-22.056791,500,784.220545
-30.95475,500,788.714009
-26.171394,500,793.242535
-27.204256,500,797.755384
-22.149755,500,808.922036
-23.38308,500,813.473313
-20.511413,500,818.009049
-23.874642,500,822.534345
-20.281426,500,833.784798
-19.078596,500,846.662028
-21.25397,500,851.166663
-19.490038,500,855.683408
-23.584192,500,866.856005
-19.233374,500,871.380624
-19.994829,500,875.881312
-20.808077,500,880.416093
-20.224578,500,893.783919
-16.165285,500,898.338995
-16.760748,500,902.890173
-17.320342,500,915.783248
-20.903238,500,926.896275
-11.431727,500,931.413172
-14.855499,500,935.943371
-12.730139,500,940.463844
-14.268016,500,944.982462
-13.393478,500,956.081349
-11.472323,500,960.630325
-16.202781,500,965.167653
-13.190784,500,969.686965
-8.585882,500,989.270041
-12.650785,500,993.812306
-14.822818,500,998.363897
-10.870323,500,1002.87909
-8.556733,500,1014.068903
-11.648434,500,1018.610153
-8.781611,500,1023.172641
-11.298079,500,1027.708928
-12.649473,500,1038.842213
-9.575999,500,1043.384702
-11.686695,500,1056.283447
-9.279824,500,1060.84324
-6.320344,500,1072.196541
-6.297663,500,1076.700973
-7.872218,500,1081.259624
-3.16842,500,1085.788533
-3.936066,500,1096.906706
-7.817294,500,1101.455035
-9.157837,500,1106.022369
-5.594264,500,1110.55272
-4.008401,500,1130.204238
-5.879301,500,1134.745336
-6.260479,500,1139.327166
-3.551342,500,1143.879094
-6.429915,500,1154.981898
-3.529373,500,1159.518337
-2.214034,500,1164.104227
-1.908992,500,1168.826394
-2.995777,500,1180.801269
-3.426183,500,1185.600295
0.823688,500,1199.379905
-1.833681,500,1204.105051
1.706905,500,1217.749745
-0.400652,500,1222.329914
3.422475,500,1226.921175
-0.90683,500,1231.522005
-1.438567,500,1236.073175
2.139346,500,1247.163438
3.255868,500,1251.709382
3.445183,500,1256.256458
0.758644,500,1269.294734
3.733662,500,1280.601689
5.171157,500,1285.18658
3.262183,500,1289.722964
1.773653,500,1294.27076
9.463055,500,1305.768321
3.576122,500,1310.313959
-6.516086,355,1313.519009
2.887756,500,1318.100241
5.852144,500,1329.230457
6.491616,500,1333.779672
6.098093,500,1347.009123
6.84015,500,1351.570634
6.422693,500,1362.834352
9.238138,500,1367.395117
8.929557,500,1371.968245
9.101925,500,1376.513721
9.306619,500,1387.859417
8.243974,500,1392.44053
8.269643,500,1397.016872
12.417651,500,1401.559296
9.277694,500,1421.274261
14.301385,500,1425.858023
12.049296,500,1430.446338
12.685506,500,1435.056569
13.226173,500,1439.616608
12.848845,500,1450.759087
15.620484,500,1455.348385
13.92208,500,1459.948518
16.029729,500,1464.565816
14.584648,500,1475.740425
16.010834,500,1488.903785
16.083815,500,1493.495362
15.501871,500,1498.090396
16.483629,500,1509.255288
18.20519,500,1513.854019
13.651927,500,1518.435124
15.787608,500,1523.040369
18.87695,500,1534.279508
18.413836,500,1538.851678
16.97642,500,1543.438731
17.797527,500,1556.668203
22.235455,500,1567.775805
21.881832,500,1572.326194
19.72999,500,1576.906789
20.303956,500,1581.507077
20.608077,500,1592.84537
22.798709,500,1597.461204
21.188021,500,1602.061149
21.615696,500,1606.641811
22.492121,500,1620.096262
22.479073,500,1633.441957
21.516193,500,1638.058545
26.812844,500,1642.637132
23.598554,500,1654.919636
21.592903,500,1659.531185
25.461471,500,1664.106003
27.276397,500,1668.677469
26.102411,500,1680.049034
24.689376,500,1684.655873
28.9472,500,1689.243575
19.78819,500,1702.629356
24.267051,500,1720.124051
25.716661,500,1724.726954
25.899015,500,1729.302316
29.164673,500,1733.892267
26.363274,500,1745.057642
26.834242,500,1749.608033
28.114076,500,1754.191098
27.997886,500,1758.797237
27.503907,500,1763.382126
30.559587,500,1783.269336
30.366347,500,1787.886086
29.83542,500,1792.480195
28.32311,500,1797.078079
33.234681,500,1808.465907
33.499844,500,1813.074626
30.103276,500,1817.681061
32.703176,500,1822.305075
31.294241,500,1833.934622
33.583817,500,1838.549302
32.332,500,1852.012453
31.094688,500,1856.633952
33.917409,500,1870.468122
35.751706,500,1875.093479
35.465164,500,1879.701924
32.603523,500,1884.286422
35.057068,500,1895.4911
35.692239,500,1900.084457
35.399703,500,1904.706241
36.884827,500,1909.354193
34.592631,500,1929.466687
38.176468,500,1934.083054
34.98533,500,1938.722598
36.15322,500,1943.340215
38.737948,500,1954.564171
38.694546,500,1959.157245
39.146942,500,1963.762674
37.599158,500,1968.351292
38.481189,500,1979.502909
38.825599,500,1984.10443
35.82434,500,1997.496047
41.323571,500,2002.119827
42.47095,500,2013.234419
40.511675,500,2017.856405
38.93465,500,2022.457175
37.572744,500,2027.069423
41.33945,500,2038.284406
43.43345,500,2042.901635
41.146433,500,2066.310096
41.941645,500,2071.298305
43.259911,500,2084.538681
45.039408,500,2097.638013
42.752873,500,2102.216749
45.705451,500,2106.78234
44.317789,500,2111.376465
43.744765,500,2125.893336
43.032892,500,2130.667869
43.669075,500,2135.438481
44.445419,500,2140.215544
45.424291,500,2152.719459
43.948976,500,2166.761714
44.228573,500,2171.548918
44.600875,500,2176.183469
42.676819,500,2187.546576
42.81911,500,2192.181595
44.113252,500,2196.802843
46.020851,500,2201.379944
46.629252,500,2212.570918
45.865258,500,2217.158774
45.774314,500,2221.763778
46.973223,500,2234.983983
46.657269,500,2246.171584
46.774156,500,2250.760159
46.850987,500,2255.386304
48.115115,500,2259.997463
49.00317,500,2271.139584
45.881435,500,2275.740299
48.576212,500,2280.344365
45.380081,500,2284.949458
50.018409,500,2296.086524
47.493504,500,2309.428686
50.551289,500,2314.048677
49.631108,500,2318.647081
49.756702,500,2329.803807
49.618377,500,2334.3952
52.832516,500,2338.999917
48.331213,500,2343.5837
49.200607,500,2354.694822
54.737365,500,2359.284751
50.430353,500,2363.876408
49.565266,500,2377.120593
50.990612,500,2388.463347
50.599491,500,2393.064621
51.039684,500,2397.691799
51.44956,500,2402.28489
53.47386,500,2406.894316
51.791249,500,2418.282046
52.100152,500,2422.892365
54.038494,500,2427.537558
53.402113,500,2432.121367
54.084505,500,2452.078805
53.93915,500,2456.695013
55.272758,500,2461.320094
55.568676,500,2465.949974
53.589353,500,2477.128855
53.305418,500,2481.723512
54.516056,500,2486.309019
57.065468,500,2490.896641
53.066352,500,2502.065145
55.983378,500,2506.627366
56.750427,500,2519.864763
55.363437,500,2524.468982
56.135329,500,2535.692093
56.721457,500,2540.273966
54.863556,500,2544.927147
56.267756,500,2549.531392
54.034311,500,2560.73275
57.996869,500,2565.313098
58.338152,500,2569.937115
58.321684,500,2574.54508
58.838585,500,2603.023239
57.415316,500,2607.64974
58.237061,500,2612.233486
58.36522,500,2616.831534
57.299597,500,2628.030293
58.278377,500,2632.64355
56.134958,500,2637.265726
57.993095,500,2641.884144
58.120745,500,2653.228402
56.989018,500,2657.840966
60.429193,500,2671.111376
57.860869,500,2675.714347
