#{"t_start": 1744737952.5206358, "env_id": "None"}
r,l,t
-116.273782,500,5.967835
-109.076189,500,10.291369
-99.609363,500,14.680658
-118.547806,500,19.078447
-97.176764,500,34.604229
-101.231288,500,39.189037
-114.663707,500,43.750789
-95.866272,500,48.358826
-105.801802,500,69.257361
-123.996638,500,73.840204
-99.505669,500,86.662093
-103.698026,500,91.10143
-102.699281,500,102.017774
-122.907446,500,106.416144
-112.905742,500,110.857199
-95.314484,500,115.31772
-86.997657,500,126.261519
-86.74746,500,130.672424
-94.908116,500,135.135395
-104.520816,500,139.56136
-107.325651,500,158.941981
-85.222445,500,163.385395
-87.566352,500,167.795347
-101.240017,500,172.233775
-91.273843,500,183.414913
-79.194576,500,187.873688
-87.763551,500,192.315267
-105.074472,500,196.818915
-93.5703,500,207.834894
-88.898879,500,212.270153
-92.261762,500,225.327401
-81.617149,500,229.78172
-71.312124,500,240.875691
-89.705935,500,245.313762
-94.266674,500,249.791783
-67.320491,500,254.276973
-79.333421,500,265.257629
-67.557864,500,269.710501
-70.003218,500,274.145634
-71.53168,500,278.629999
-85.2495,500,298.72989
-88.732637,500,303.210276
-87.049782,500,307.650819
-81.822879,500,312.102885
-89.752927,500,316.598143
-48.632173,500,327.826791
-59.932516,500,332.292663
-55.281118,500,336.770577
-55.01511,500,341.255233
-75.119787,500,352.282403
-77.103511,500,365.067618
-75.014325,500,369.554107
-54.265012,500,374.041025
-59.796576,500,384.955128
-60.054549,500,389.416111
-57.224034,500,393.914389
-57.18355,500,398.419593
-56.966848,500,409.462647
-43.72578,500,413.926213
-52.558944,500,418.43113
-42.078664,500,431.46416
-41.3122,500,442.675214
-44.900365,500,447.167057
-51.460114,500,451.632542
-49.058978,500,456.115278
-49.747853,500,467.261577
-41.287827,500,471.792186
-46.808155,500,476.243207
-54.470724,500,480.753217
-44.707063,500,492.010886
-40.07297,500,504.94986
-40.160628,500,509.464685
-36.872592,500,513.966025
-36.857561,500,526.390349
