#{"t_start": 1744674642.1176958, "env_id": "None"}
r,l,t
-47.742013,500,7.50151
-45.173048,500,11.849241
0.806091,20,12.052635
-41.042188,500,16.426814
-24.55636,500,20.801201
-27.314207,500,31.811322
-32.717707,500,36.22022
-33.045022,500,40.658037
-53.527832,500,45.071523
-48.103866,500,58.519984
-20.846467,500,71.324243
-37.719669,500,75.742375
-43.604959,500,80.21273
-18.31484,500,95.547447
-30.487716,500,100.005987
-39.668643,500,104.457285
-20.055053,500,108.890412
-39.488039,500,120.113035
-20.017417,439,123.983897
-45.581691,500,128.418162
-34.684509,500,132.857485
-30.847813,500,152.527508
-37.499167,500,157.014973
-44.394508,500,161.520225
-35.251935,500,166.02201
-30.301772,500,177.365652
-17.023618,500,181.860559
-30.369367,500,186.367656
-19.060967,500,190.867554
-29.012209,500,202.003827
-48.602228,500,206.500513
-3.349148,187,216.580698
-22.136144,500,221.105335
-29.444345,500,225.617304
-26.21315,500,238.843993
-27.396647,500,243.366104
-22.810355,500,247.866119
-22.125526,500,252.369518
-25.271615,500,263.523158
-36.610789,500,268.036381
-15.72996,500,272.537262
-32.471918,500,285.609292
-10.45024,179,287.238941
-27.122436,500,298.985344
-39.604241,500,303.473635
-23.722762,500,307.97846
-37.657561,500,312.500445
-17.295752,500,323.664983
-19.44167,500,328.196348
-27.117381,500,332.731028
-20.701309,500,337.238204
-26.289871,500,348.414311
-14.3247,500,361.407997
-40.364699,500,365.903774
-36.523516,500,370.375396
-13.144379,500,381.672398
-15.15728,500,386.206086
-14.032412,500,390.720793
-38.893376,500,395.246414
-16.461464,500,406.579973
-17.447098,500,411.18927
-8.551135,500,415.938179
-6.557133,119,417.126317
-10.078232,500,431.259897
-6.594985,500,443.198515
-20.495008,500,447.947008
-15.468291,500,452.595505
-16.498384,500,457.122405
-13.510256,500,468.402149
-6.25064,500,472.905672
-15.811877,500,477.416504
-8.650719,500,481.920336
-17.299439,500,493.126729
-8.764958,500,506.310948
-10.093591,500,510.851629
-8.040407,500,515.415483
-3.886561,500,526.598745
-5.521165,500,531.128963
-10.70962,500,535.636305
-9.264151,500,540.163238
-7.032844,500,556.146488
-2.772353,500,560.652964
-11.198851,500,565.166142
-12.641641,500,578.130538
-5.363897,500,582.665911
-6.443091,500,593.914218
-9.551254,500,598.433178
-2.183607,500,602.94064
-1.871175,500,607.440603
-0.09413,500,618.74413
-3.469501,500,623.268018
-4.491547,500,627.831824
-12.902655,500,632.367427
-5.532294,500,651.935949
0.705787,500,656.452301
-0.590006,500,660.975211
-5.393562,500,665.533
-2.105357,500,676.849465
-1.255335,72,677.52845
3.508924,500,682.072276
1.423538,500,686.594753
2.60837,500,691.140413
3.955466,500,702.3893
-3.507775,500,715.224322
1.07274,500,719.745787
2.106796,500,724.256462
4.983918,500,735.441379
2.988475,500,739.933475
2.441403,500,744.454277
2.115706,500,748.97865
5.967974,500,760.252008
5.760809,500,764.782509
6.090248,500,769.293092
1.04995,500,782.124502
7.03867,500,793.65226
11.428112,500,798.156028
11.625401,500,802.660457
6.055732,500,807.190351
7.857707,500,818.322055
13.891416,500,822.828398
16.520275,500,827.33427
13.478361,500,831.870162
15.280985,500,845.092443
13.373194,500,857.854651
4.470671,290,860.485531
12.259341,500,865.032159
12.640535,500,869.546176
7.316393,276,878.57826
13.997136,500,883.084887
20.948381,500,887.640694
20.34609,500,892.116886
19.305117,500,904.765632
20.608648,500,909.308796
22.902583,500,913.815414
6.012164,179,915.445792
2.942436,114,916.520632
21.944744,500,929.256061
23.094913,500,940.490458
24.471589,500,945.029531
19.500206,500,949.548449
18.267788,500,954.090957
21.034246,500,971.089426
24.155264,500,975.613952
23.871269,500,980.153826
28.621098,500,984.69846
24.331409,500,997.631086
24.869152,500,1010.326373
27.172923,500,1014.847349
21.880215,500,1019.403845
29.328316,500,1030.55555
28.84107,500,1035.080941
28.287001,500,1039.605459
25.728551,500,1044.105244
30.887211,500,1057.506584
31.840341,500,1062.054462
31.742185,500,1066.57796
30.566172,500,1079.271522
29.167244,500,1090.458891
31.452018,500,1094.981339
34.246437,500,1099.503577
32.626896,500,1104.023907
34.989212,500,1115.126936
35.786999,500,1119.644568
37.837552,500,1124.157398
31.271362,500,1128.652447
41.496012,500,1139.754588
40.657282,500,1152.455656
32.638508,465,1156.653029
32.678154,500,1161.178151
25.118784,348,1164.338789
41.903559,500,1177.482068
43.278338,500,1182.043636
42.399467,500,1186.596757
43.676482,500,1191.129156
41.776927,500,1207.606761
44.193194,500,1212.161241
42.466288,500,1224.925383
41.12056,500,1229.439669
44.746807,500,1240.673893
40.377187,500,1245.180999
44.338728,500,1249.713734
41.204689,500,1254.259989
44.183362,500,1267.403641
44.998561,500,1271.925154
47.191261,500,1276.46097
49.215606,500,1280.976036
52.309389,500,1302.376671
47.903362,500,1306.909224
31.42639,344,1310.028498
50.322196,500,1314.553951
50.751852,500,1319.102062
50.933431,500,1330.130437
51.916542,500,1334.679071
54.582394,500,1339.221629
51.740665,500,1343.76997
51.272589,500,1355.015072
57.746466,500,1368.81623
50.488795,500,1373.576352
50.224987,500,1378.258007
51.956621,500,1390.389186
54.196726,500,1395.10094
50.224679,500,1399.844993
54.615545,500,1404.427286
57.147071,500,1415.717835
59.849514,500,1420.263944
55.600781,500,1424.80527
57.742578,500,1437.685992
56.98098,500,1448.779479
62.765844,500,1453.352981
59.403014,500,1457.907449
58.667897,500,1462.424606
38.907694,335,1465.507258
65.471644,500,1476.722007
60.661686,500,1481.272961
61.574619,500,1485.862171
63.472931,500,1490.390615
66.801732,500,1501.530355
66.421764,500,1514.464064
69.801379,500,1519.012281
71.002771,500,1523.5285
65.636603,500,1534.678368
67.253719,500,1539.272717
65.516174,500,1543.803548
71.135671,500,1548.328575
68.727823,500,1559.603387
70.815227,500,1564.172624
69.993624,500,1568.756573
70.033417,500,1581.74067
71.006224,500,1593.000318
72.995575,500,1597.593047
71.556078,500,1602.138522
71.744677,500,1606.707927
73.079667,500,1617.885833
74.276331,500,1622.467174
73.724656,500,1627.063201
72.412901,500,1631.597475
76.357534,500,1642.851992
78.088248,500,1655.913626
76.043285,500,1660.49401
76.303114,500,1665.05555
73.606292,500,1676.384651
