#{"t_start": 1744719564.9335713, "env_id": "None"}
r,l,t
-474.806834,500,6.827924
-461.752674,500,11.257008
-497.141961,500,15.672161
-432.490057,500,20.122561
-495.869834,500,31.165638
-434.003082,500,35.650081
-466.244412,500,40.135601
-499.89531,500,44.641297
-442.787808,500,59.256308
-455.653131,500,63.740999
-485.533053,500,76.677029
-485.248776,500,81.160954
-513.43027,500,94.015625
-454.196133,500,98.531852
-448.731614,500,103.008935
-477.646102,500,107.494409
-458.220739,500,118.416474
-450.300933,500,122.929857
-450.105692,500,127.414392
-441.083303,500,131.920258
-447.743198,500,153.606027
-458.750602,500,158.126769
-450.333918,500,162.645116
-430.649191,500,167.125832
-419.127664,500,178.419937
-444.432071,500,182.951832
-411.517064,500,187.456644
-429.119647,500,191.997823
-441.891902,500,203.115458
-395.622615,500,207.645838
-405.504567,500,220.629721
-423.640783,500,225.192762
-424.832063,500,236.350147
-396.248251,500,240.908742
-391.580867,500,245.473536
-384.421789,500,250.032886
-397.791244,500,261.244961
-380.129135,500,265.95466
-386.413393,500,270.71869
-388.22963,500,275.412063
-389.839308,500,296.916912
-389.748345,500,301.671632
-396.284343,500,306.390462
-387.521688,500,311.08068
-380.613618,500,315.673849
-377.19076,500,326.998836
-361.442691,500,331.563824
-366.056579,500,336.160032
-367.946477,500,340.740177
-366.818162,500,361.226849
-360.838695,500,374.276845
-362.333463,500,378.837309
-357.047838,500,383.424553
-349.592769,500,394.650683
-363.288428,500,399.220699
-377.374127,500,403.82577
-354.286167,500,408.406164
-350.444058,500,419.676977
-342.897335,500,424.231961
-351.127366,500,428.805902
-346.446778,500,441.919988
-332.94507,500,455.080763
-342.953704,500,459.653441
-385.770344,500,464.25425
-349.894655,500,468.831092
-340.177438,500,480.134974
-345.272728,500,484.733425
-337.439824,500,489.314042
-337.37871,500,493.923144
-329.607946,500,505.247546
-333.543291,500,518.448943
-333.77185,500,523.014283
-325.145121,500,527.64869
-330.378369,500,538.771971
-319.790658,500,543.362978
-324.538265,500,547.954293
-331.809841,500,552.571071
-321.192752,500,563.682775
-317.545142,500,568.255087
