#{"t_start": 1744641421.694189, "env_id": "None"}
r,l,t
94.611197,500,6.662889
187.1346,500,11.004283
202.361794,500,15.403181
109.877458,500,19.786087
145.786105,500,33.296078
46.124609,500,37.709241
60.579064,500,42.12439
64.656013,500,46.553071
55.238992,500,59.400721
83.832582,500,63.856086
118.094107,500,77.798145
71.682245,500,82.214081
11.987221,132,83.408014
54.550072,500,94.307611
133.647253,500,98.756814
199.568891,500,103.222575
230.400001,500,107.676217
199.273314,500,118.616443
69.009665,500,123.094603
58.148502,500,127.58915
79.108856,500,141.016105
143.523882,500,151.997821
45.222062,500,156.470001
37.193382,500,160.953166
62.991186,500,165.471787
121.641839,500,176.570117
142.017694,500,181.121195
46.059388,500,185.677356
161.965578,500,190.160028
176.227409,500,201.275732
57.834394,500,214.131254
137.380522,500,218.668656
209.745279,500,223.215489
142.092547,500,234.539035
168.196675,500,239.057698
93.241034,500,243.563723
220.564895,500,248.104572
11.855637,102,249.024059
201.165897,500,260.219488
65.673285,319,263.10248
128.86606,500,267.646271
85.161159,500,280.602202
211.587498,500,291.631879
216.164133,500,296.160742
5.846049,88,296.965454
121.442875,500,301.477723
130.680655,500,306.018176
174.155927,500,324.764874
189.370168,500,329.353733
244.593572,500,334.022181
69.985044,500,338.705428
179.452088,500,353.472519
357.635698,500,367.460378
104.734192,291,370.197943
315.399714,500,374.927193
110.205366,500,379.526294
185.857991,500,390.475456
385.321285,500,395.008076
272.955092,500,399.558861
349.912147,500,404.137486
248.452423,485,415.15712
411.551912,500,419.687655
261.539481,500,424.204919
148.302297,500,437.181187
253.571301,500,448.25918
455.000266,500,452.775243
322.44562,500,457.306767
398.884632,500,461.844289
430.113984,500,474.753477
388.065798,500,479.299376
419.406767,500,483.830062
343.542906,500,488.378481
401.840023,500,499.488105
393.596047,500,512.500139
26.736387,127,513.666355
300.886745,500,518.189964
550.740282,500,522.726479
414.037944,500,537.750258
484.687661,500,542.292455
355.43622,500,546.834749
575.789443,500,551.385981
405.202644,500,562.474099
525.351669,500,567.034314
512.562294,500,580.152926
347.037716,500,584.702553
476.589554,500,595.84958
410.125267,500,600.400735
468.817812,500,604.919834
404.822971,500,609.477563
467.959661,500,620.624166
106.614271,226,622.665515
560.690018,500,627.221181
488.096225,500,631.749003
690.429464,500,636.282192
620.524578,500,655.970007
559.01698,500,660.522882
524.331973,500,665.051452
613.64247,500,669.568544
638.25473,500,682.024828
551.752134,500,686.562607
58.939221,151,687.939328
10.758552,59,688.483126
512.690991,500,693.021782
695.369773,500,697.561369
620.891602,500,708.686163
546.740907,500,713.22993
605.143675,500,726.362942
575.993493,500,730.914992
605.821887,500,741.921546
715.230209,500,746.524095
639.63983,500,751.092792
604.901323,500,755.677523
718.745136,500,766.832743
4.815133,49,767.291877
17.080779,69,767.916178
35.524229,89,768.71992
738.669535,500,773.272099
656.166849,500,777.822323
667.337704,500,790.916317
740.576223,500,802.184993
24.457721,83,802.95104
676.671103,500,807.532242
751.425016,500,812.10608
635.757285,500,816.619924
633.712028,500,827.778443
10.866097,55,828.282561
683.222133,500,832.872851
733.94071,500,837.385504
703.419975,500,841.915384
758.723558,500,853.322488
600.640571,455,865.953057
772.845656,500,870.54833
787.156648,500,875.089607
27.51718,86,875.885306
814.214349,500,887.041115
832.504317,500,891.566063
799.303623,500,896.124542
810.184456,500,900.70617
723.97344,500,911.847891
759.205255,500,916.394653
808.401309,500,920.90224
832.614941,500,933.938788
214.172054,236,942.782839
828.945126,500,947.335059
828.158056,500,951.876649
799.014414,500,956.399362
759.4361,500,967.736448
976.778567,500,972.297171
122.900834,168,973.891685
96.58235,137,975.137235
864.634308,500,979.673675
885.423813,500,984.227972
923.607129,500,995.317681
9.344892,43,995.716312
8.568815,39,996.067545
1032.316787,500,1009.083534
2.173122,21,1009.31126
878.006996,500,1013.854342
974.561534,500,1018.4257
113.4024,145,1019.727764
931.282938,500,1031.063499
843.066403,500,1035.60918
1024.39454,500,1040.142363
915.408718,500,1044.687063
906.393829,500,1056.177675
1014.282533,500,1060.735315
904.755058,500,1073.780044
901.365578,500,1078.348224
969.694467,500,1089.529687
238.507436,212,1091.505007
994.361387,500,1096.081808
1020.343797,500,1100.662683
1067.979873,500,1111.828118
1027.045606,500,1116.385534
1004.048364,500,1120.971595
1041.384488,500,1125.603749
1015.740124,500,1130.152825
1073.685732,500,1151.102311
201.129301,202,1152.949864
1050.8612,500,1157.519007
1050.125871,500,1162.101063
973.638761,500,1174.5767
6.259727,32,1174.87157
1215.509059,500,1179.473221
11.711533,39,1179.824042
1196.900589,500,1184.37167
1191.330501,500,1188.932055
594.665873,349,1198.680349
1076.951427,500,1203.246574
1319.811581,500,1207.799933
1208.512186,500,1220.689876
1164.444286,500,1225.236463
1148.462396,500,1236.360078
1222.413475,500,1240.943168
1230.956104,500,1245.552813
1141.285606,500,1250.165514
1189.883877,500,1261.330871
6.587661,37,1261.698575
1219.409205,500,1266.272196
1299.332351,500,1270.845025
1271.000104,500,1284.396406
1202.611607,500,1297.077754
1215.775555,500,1301.854776
1276.190433,500,1306.592602
1335.829058,500,1311.37696
1231.18165,500,1323.396888
1297.190023,500,1328.138513
1347.622989,500,1332.704974
1351.078728,500,1337.260818
1395.394828,500,1350.57733
1194.639121,500,1363.503058
1361.721831,500,1368.06278
1302.869463,500,1372.631313
1331.170978,500,1383.714023
1373.303298,500,1388.291925
1460.888217,500,1392.868432
1343.272845,500,1397.445695
1275.424149,500,1408.601203
1442.125993,500,1413.17152
1304.041916,500,1417.726845
1397.11422,500,1430.659625
1388.697745,500,1441.748885
1406.200736,500,1446.352381
1505.998323,500,1450.931261
1358.744848,500,1455.518313
1391.644329,500,1466.565035
1460.742694,500,1471.149209
1451.177131,500,1475.743879
1480.898124,500,1480.284144
1520.252517,500,1491.283237
1466.841956,500,1504.298683
1454.94277,500,1508.841424
1458.856939,500,1513.413214
1569.748091,500,1524.488293
1617.3063,500,1529.066295
1466.303762,500,1533.645603
1582.416646,500,1538.226781
1483.81854,500,1542.821659
1587.790238,500,1553.957399
1491.256405,500,1558.586577
1634.603068,500,1571.573659
1535.257763,500,1576.168812
1498.711218,500,1591.377486
1499.051388,500,1595.945716
1458.625364,500,1600.524565
1607.151495,500,1605.114211
1578.480796,500,1616.164948
1721.466035,500,1620.686365
1673.953976,500,1625.260771
1568.516228,500,1629.826485
1618.163399,500,1649.354136
1611.324161,500,1653.925999
1677.658379,500,1658.54582
1638.703538,500,1663.162066
1651.20642,500,1674.340873
1654.027873,500,1678.930239
1710.901113,500,1683.548085
1676.802039,500,1688.162996
1691.961685,500,1699.33166
1662.808702,500,1703.9172
1745.21797,500,1717.128983
1660.545675,500,1721.737136
1686.659807,500,1732.910692
1727.814739,500,1737.507766
1808.614019,500,1742.103862
1697.350615,500,1746.693584
1741.263512,500,1758.36568
1784.500649,500,1762.954425
1681.677311,500,1767.536778
1692.023573,500,1772.113766
1817.139177,500,1791.907804
1795.410851,500,1796.536527
1656.799815,500,1801.176093
1902.037552,500,1805.827265
1807.361454,500,1816.939208
1675.90263,500,1821.523012
1798.585713,500,1826.173134
1772.85936,500,1830.738841
1797.18032,500,1843.790219
1859.015436,500,1848.394849
1941.739604,500,1861.635407
1887.485092,500,1866.228306
1805.081651,500,1870.810947
1768.237655,500,1881.979702
1755.916637,500,1886.578872
1845.015323,500,1891.198439
1910.995151,500,1895.787953
1878.132038,500,1906.935791
1911.506174,500,1911.570279
1877.752086,500,1916.131701
1902.702116,500,1929.612553
1937.656737,500,1940.862126
1856.706866,500,1945.48436
1966.456252,500,1950.119755
1944.425681,500,1954.726726
1873.877321,500,1965.822661
1927.37759,500,1970.428787
1913.587626,500,1975.012075
1960.947159,500,1979.628401
1889.344992,500,1993.415141
1992.740247,500,2006.721491
2002.159076,500,2011.317669
2087.23993,500,2015.906047
2027.839632,500,2027.231899
189.306769,138,2028.53618
2047.024315,500,2033.163357
2021.419563,500,2037.749107
2045.682619,500,2042.350689
2045.636945,500,2053.526135
2102.508976,500,2058.12577
2008.243801,500,2062.69102
2034.246974,500,2075.85949
2071.090845,500,2091.824299
1949.827736,500,2096.472214
2119.687181,500,2101.072837
2134.872855,500,2105.665268
2036.376104,500,2116.81557
2079.936648,500,2121.420841
2061.868352,500,2125.983715
2098.455823,500,2130.591544
2171.404563,500,2141.801407
2049.434927,500,2155.038932
2068.024158,500,2159.646496
2158.52869,500,2164.257147
1034.051256,330,2167.292941
2188.035704,500,2178.431729
2175.502604,500,2183.015686
2201.615077,500,2187.632512
2220.270493,500,2192.233395
2145.773824,500,2203.350843
2144.401272,500,2207.94886
4.486279,22,2208.153969
2056.520841,500,2221.23695
2144.718176,500,2225.826832
2186.83949,500,2237.488543
2211.227551,500,2242.315123
2149.193645,500,2247.125795
2212.459653,500,2251.901831
2191.221043,500,2264.383169
2214.752262,500,2269.152927
2229.564274,500,2273.946883
2281.467536,500,2278.760346
2300.651869,500,2298.658841
2218.839125,500,2303.232419
2321.998368,500,2307.850532
2270.549305,500,2312.478071
2196.044088,500,2323.606918
1684.095349,421,2327.491211
2205.814985,500,2332.120602
2314.782971,500,2336.715251
2313.531235,500,2347.87685
1018.481853,320,2350.848369
2304.566518,500,2355.468074
2327.032614,500,2368.642488
2342.130601,500,2373.282274
2399.411627,500,2384.418501
2371.324093,500,2389.051382
2349.067599,500,2393.686286
2359.662117,500,2398.281111
2358.864973,500,2409.480612
2326.560704,500,2414.069096
2413.457769,500,2418.694097
2401.192733,500,2423.310031
2295.376121,500,2443.147934
2336.506874,500,2447.748251
2304.834963,500,2452.382263
2362.679546,500,2457.000519
2410.845724,500,2467.939582
2361.727287,500,2472.547403
2396.292507,500,2477.172639
2420.327956,500,2481.790475
2438.974533,500,2492.857454
2394.43589,500,2497.439708
2498.8521,500,2510.475022
2381.63123,500,2515.098939
2485.571323,500,2526.35768
2463.773374,500,2530.962756
2403.302541,500,2535.562849
2418.482218,500,2540.205028
2340.651838,500,2553.116877
2436.15731,500,2557.703454
2467.947202,500,2562.309576
2457.49245,500,2566.945467
2422.892332,500,2587.295725
2442.600566,500,2591.976309
2485.197902,500,2596.608345
2479.612094,500,2601.236326
2457.214277,500,2605.857656
2460.568379,500,2617.773342
2579.313628,500,2622.366101
2507.167782,500,2626.957122
2440.034622,500,2631.563362
2561.814031,500,2642.99317
2531.761746,500,2656.035733
2548.881924,500,2660.647991
2580.730863,500,2665.233438
2513.698079,500,2676.393189
2632.958986,500,2680.954188
2639.557499,500,2685.543236
2578.750924,500,2690.137233
2644.514446,500,2701.41973
2666.271875,500,2705.982127
2676.818954,500,2710.553022
2639.180835,500,2723.58996
2575.217155,500,2734.847736
2302.934179,458,2739.056401
2674.623141,500,2743.656448
2608.676689,500,2748.238193
2649.635069,500,2759.507019
2506.723559,500,2764.092099
2704.312364,500,2768.727526
2697.495166,500,2773.333362
2632.368825,500,2784.438658
2665.618281,500,2797.542818
2626.112833,500,2802.156519
2654.321233,500,2806.756955
2615.815803,500,2820.001506
2607.057345,500,2824.615673
2727.898942,500,2829.239006
2388.353816,470,2833.566118
2670.37155,500,2844.981924
2742.179392,500,2849.566117
1731.371066,384,2853.0629
2640.316982,500,2866.181202
2726.148391,500,2870.761623
2831.165879,500,2882.062576
2609.756898,495,2886.659542
2758.095726,500,2891.251105
2729.865551,500,2895.842907
2722.841761,500,2906.949702
2786.092167,500,2911.569953
2711.626375,500,2916.187062
2784.855724,500,2920.804064
2769.44432,500,2940.496936
2707.027134,500,2945.121317
2738.403028,500,2949.715798
2785.593469,500,2954.309792
2835.05218,500,2965.384724
2759.186957,500,2970.009767
2759.939108,500,2974.621214
2813.480556,500,2979.22436
2803.358763,500,2990.310359
2774.133205,500,2994.910687
2875.130294,500,3007.996401
2862.229953,500,3012.584893
2782.548182,500,3026.870189
2855.152169,500,3031.489798
2930.776149,500,3036.057313
2818.797229,500,3040.673637
2776.801825,500,3051.738411
2810.316618,500,3056.374917
2815.846795,500,3060.96992
2875.145955,500,3065.571945
2831.901412,500,3087.298042
2915.945313,500,3091.89427
2862.470691,500,3096.50333
2907.076676,500,3101.096561
2887.596203,500,3105.70025
2836.007128,500,3116.822367
2852.985878,500,3121.43596
2922.19104,500,3126.075707
2893.348508,500,3130.685982
2912.177373,500,3142.762906
2937.225418,500,3155.969232
2996.827778,500,3160.625524
2786.790079,500,3165.262202
2927.014167,500,3176.477958
2893.987495,500,3181.114625
2899.578906,500,3185.751932
2910.316279,500,3190.424355
2934.956571,500,3202.628983
2961.389802,500,3207.458402
2962.680971,500,3212.299428
2974.283204,500,3226.522534
3033.347175,500,3239.71748
2922.465538,500,3244.333266
2966.830896,500,3249.025476
3050.002619,500,3253.662493
3040.098456,500,3264.782826
3019.361569,500,3269.394145
2998.307681,500,3274.003777
2955.393516,500,3278.630929
3077.266894,500,3289.750665
3016.411393,500,3303.016623
3099.910097,500,3307.649365
3001.570331,500,3312.272506
3017.005232,500,3323.439741
3086.847647,500,3328.070683
3076.779272,500,3332.663682
2966.588071,500,3337.253858
3021.233482,500,3348.376762
3059.442716,500,3352.994161
3108.766346,500,3357.6136
3038.919871,500,3370.862847
2963.982639,500,3387.294104
3080.415063,500,3391.897919
3018.108545,500,3396.511076
3052.74137,500,3401.129282
3007.793548,500,3405.743311
3127.118507,500,3417.025395
3087.817494,500,3421.596694
3101.293535,500,3426.203189
2963.50444,500,3430.837832
3117.195883,500,3450.564818
3133.386343,500,3455.211192
3094.582098,500,3459.861692
2015.031907,390,3463.496472
3166.59132,500,3474.741506
3085.829339,500,3479.360492
3120.8107,500,3483.990515
3196.869163,500,3488.640829
3202.125637,500,3505.166098
3085.284969,500,3509.793164
3171.399237,500,3514.392173
3153.902447,500,3527.606695
3200.886143,500,3538.850257
3116.592213,500,3543.483741
3184.790524,500,3548.086729
3120.351901,500,3552.715238
3135.797516,500,3563.901421
3198.184611,500,3568.516785
3119.263602,500,3573.155366
3153.481312,500,3577.762966
3178.812519,500,3588.986591
3195.875616,500,3602.260947
3191.250452,500,3606.913805
3141.207943,500,3611.530429
3171.587802,500,3622.763427
