#{"t_start": 1744656696.3830352, "env_id": "None"}
r,l,t
-1.492241,325,5.293598
-0.380192,500,9.66668
-1.652801,244,11.83205
-1.100489,500,16.26859
-2.695095,500,27.207165
-0.079968,500,31.598929
0.022999,500,35.980906
-2.746469,500,40.386588
0.19189,500,44.817722
2.160334,500,55.770322
-1.328018,321,58.628574
-0.954482,500,71.477858
-1.029214,500,75.922853
5.306527,500,86.846745
4.504945,500,91.33357
3.208938,500,95.807097
3.695343,500,100.260214
1.984402,500,111.362669
3.450392,500,115.859334
4.05268,500,120.343626
5.29364,500,124.818688
7.326989,500,144.267453
10.624501,500,148.75749
6.744348,500,153.253828
8.110192,500,157.718073
2.829645,500,168.797327
9.016976,500,173.322495
7.154851,500,177.806342
-0.839569,93,178.665587
8.494924,500,183.161893
10.310762,500,194.16046
9.228804,500,198.684604
9.707425,500,211.636914
4.955292,453,215.776639
10.59945,500,228.991617
18.263985,500,233.528104
14.049148,500,238.041313
15.508731,500,242.603385
11.66579,500,253.67542
14.216229,500,258.212105
7.414591,291,260.838028
14.192524,500,265.372013
14.401389,500,278.725052
17.023505,500,292.09542
13.228401,449,296.45647
16.356922,500,301.326261
22.15595,500,306.097878
18.759923,500,319.246379
17.626026,500,323.839799
20.332282,500,328.380485
18.315714,500,332.952931
21.379585,500,343.891742
20.450323,500,356.727638
24.620818,500,361.266647
18.808644,407,364.991698
20.028304,500,369.535967
25.860149,500,380.706728
27.596611,500,385.26545
26.959248,500,389.826665
28.03,500,394.362651
29.917128,500,405.507017
24.883223,500,410.052884
26.564951,500,422.865015
-0.436183,30,423.153241
25.488508,495,427.666407
19.525769,353,437.335244
31.461321,494,441.837497
28.777278,500,446.364301
29.473465,500,450.91931
38.945467,500,461.997512
35.061877,500,466.569766
32.265787,500,471.140429
27.322792,500,475.704335
36.753748,500,488.756971
34.576833,500,501.543012
35.603024,500,506.076216
36.271907,500,510.647886
38.175765,500,521.756507
42.483779,500,526.314269
40.250619,500,530.894039
41.895836,500,535.471119
42.476931,500,546.560294
38.340809,500,551.117978
36.853854,500,555.72621
38.155672,500,568.592788
38.009818,500,573.179907
37.705432,500,584.20701
40.888186,500,588.745844
42.373039,500,593.320009
43.799176,500,597.877807
48.192702,500,608.946108
47.049815,500,613.519984
48.787951,500,618.086304
38.610537,427,622.001114
46.927094,500,641.419602
31.14313,367,644.802951
46.937682,500,649.408858
47.676694,500,653.993244
53.012762,500,665.074296
52.710961,500,669.658781
51.457179,500,674.253039
51.992421,500,678.807182
51.04351,500,689.909072
53.544978,500,694.509171
53.630833,500,707.40941
55.008147,500,711.999349
54.19792,500,723.176118
54.584404,500,727.76285
56.361029,500,732.345207
61.846507,500,736.925967
59.268657,500,748.071068
62.635805,500,752.633695
64.165829,500,757.229659
61.79046,500,761.8322
61.617377,500,774.789875
64.524836,500,786.087481
62.020248,500,790.665096
63.813329,500,795.239216
64.192495,500,799.826387
65.290433,500,810.97675
63.889176,500,815.557063
65.718653,500,820.123719
67.856293,500,824.671896
67.046365,500,835.77951
67.630794,500,848.76895
63.354397,500,853.361689
66.046519,500,857.943136
66.395738,500,868.995862
68.90526,500,873.589862
69.764836,500,878.171475
68.126053,500,882.775873
72.202603,500,894.032288
67.966685,500,898.638598
69.198665,479,903.035799
72.327558,500,916.097665
76.135163,500,927.306045
73.83514,500,931.969276
70.974853,500,936.549328
72.634006,500,941.120911
73.656687,500,952.189363
74.38436,500,956.789192
75.913668,500,961.377266
76.440053,500,966.019855
75.93208,500,977.158694
76.086361,500,990.208948
79.155653,500,994.810315
79.251562,500,999.381333
75.326896,500,1010.792099
80.321938,500,1015.375358
78.211023,500,1019.974183
80.858667,500,1024.55653
79.055021,500,1029.131748
82.93925,500,1040.495756
79.1407,500,1045.114894
79.710084,500,1058.218553
83.034578,500,1062.838856
85.382113,500,1075.432329
81.665411,500,1080.001319
86.220143,500,1084.56021
85.096617,500,1089.122295
87.423947,500,1100.31647
87.645323,500,1104.91536
87.618727,500,1109.500695
88.061569,500,1114.097037
87.856797,500,1134.087774
90.174964,500,1138.692631
87.385738,500,1143.292057
90.556492,500,1147.873767
89.260926,500,1159.047923
91.273577,500,1163.666883
88.927668,500,1168.248035
90.22647,500,1172.870559
90.417642,500,1186.040061
90.687144,500,1190.623765
91.29711,500,1203.748633
93.781569,500,1208.350574
89.907461,500,1219.612303
93.492387,500,1224.325098
93.736433,500,1229.15149
94.498834,500,1233.976371
94.032929,500,1246.865114
95.315866,500,1251.671491
93.872877,500,1256.493835
92.120661,500,1261.304968
94.387774,500,1281.515653
98.415187,500,1286.142612
98.593385,500,1290.769758
97.899481,500,1295.390022
95.680542,500,1306.474588
100.078269,500,1311.074572
100.096702,500,1315.675267
98.053696,500,1320.312852
98.426512,500,1331.431436
99.812272,500,1336.059314
100.070242,500,1349.283224
98.293636,500,1353.881737
99.094224,500,1358.478956
103.67873,500,1369.738561
100.449371,500,1374.324708
101.200713,500,1378.960426
102.084852,500,1383.559297
103.012239,500,1394.683521
104.633034,500,1399.284738
100.261457,500,1403.900079
106.392786,500,1417.141818
105.145927,500,1428.297159
103.80073,500,1432.95526
105.350836,500,1437.57841
103.1802,500,1442.176607
105.060382,500,1453.483344
106.681744,500,1458.12251
104.389908,500,1462.705906
105.241513,500,1467.308867
106.399327,500,1478.544371
108.163276,500,1491.750357
105.131337,500,1496.380399
108.100555,500,1501.046321
104.5673,500,1512.32091
108.545674,500,1516.963844
107.883161,500,1521.572735
105.087198,500,1526.198804
111.3066,500,1539.378672
110.167583,500,1544.002216
110.059808,500,1548.615011
108.635844,500,1561.858317
109.997788,500,1573.314103
108.716159,500,1577.938132
109.741593,500,1582.560715
108.589661,500,1587.211337
108.423545,500,1598.372053
108.554931,500,1602.973003
108.674226,500,1607.600989
108.959264,500,1612.226837
111.402577,500,1623.420854
111.990647,500,1636.664514
109.833194,500,1641.292703
110.104959,500,1645.920769
109.471506,500,1650.561697
112.08892,500,1663.531367
111.828563,500,1668.172515
112.713042,500,1672.795722
111.390402,500,1677.396466
