#{"t_start": 1744753209.0259578, "env_id": "None"}
r,l,t
-189.916901,500,6.943164
-212.137705,500,11.551722
-185.768623,500,16.144383
-197.964762,500,20.726579
-190.928447,500,33.01812
-189.329224,500,37.643382
-194.753568,500,42.305311
-188.709635,500,46.974796
-190.589762,500,58.271439
-185.690526,500,62.772051
-177.934221,500,75.897393
-181.211546,500,80.401212
-194.207685,500,97.923281
-213.648602,500,102.436604
-197.819619,500,106.914074
-191.147818,500,111.415793
-182.294997,500,122.548938
-189.122567,500,127.087341
-195.306289,500,131.568196
-180.612161,500,136.026494
-193.887509,500,155.612759
-181.667357,500,160.121255
-168.029388,500,164.634327
-180.006814,500,169.112654
-176.835648,500,180.291043
-197.736948,500,184.7921
-177.424225,500,189.268756
-180.084389,500,193.759052
-181.330777,500,205.057439
-166.571767,500,209.592131
-172.489909,500,222.653214
-185.867336,500,227.19423
-209.281757,500,238.296263
-165.252637,500,242.816805
-197.892317,500,247.352174
-193.990709,500,251.844445
-166.294198,500,262.87296
-179.398383,500,267.372144
-191.283135,500,271.855036
-155.430459,500,276.361086
-156.970252,500,296.193112
-175.13422,500,300.752508
-172.53239,500,305.240693
-165.667344,500,309.765566
-156.008654,500,314.29169
-174.929846,500,327.595183
-163.43996,500,332.107676
-167.646344,500,336.617899
-219.534634,500,341.134262
-147.286915,500,352.205302
-148.617656,500,365.307936
-174.094444,500,369.833535
-161.435169,500,374.355721
-149.995833,500,385.46202
-164.928034,500,389.973504
-177.358026,500,394.463723
-149.731369,500,398.9832
-152.499138,500,412.191572
-162.781886,500,416.708987
-163.569151,500,421.231786
-148.481109,500,434.064543
-144.687954,500,445.137464
-160.999327,500,449.634087
-166.205247,500,454.130173
-146.464102,500,458.635714
-184.203003,500,469.745893
-151.715172,500,474.273303
-148.731414,500,478.758141
-141.071256,500,483.267309
-139.327504,500,494.403655
-152.484421,500,507.15419
-146.205896,500,511.689281
-144.455511,500,516.221762
-134.449379,500,527.706706
-133.605491,500,532.240685
-140.789826,500,536.743846
-142.047711,500,541.266582
-144.571424,500,554.505793
-130.022027,500,559.049226
-150.450378,500,563.585611
-143.015336,500,576.446324
-127.99933,500,587.656591
-138.07142,500,592.195429
-129.725437,500,596.711429
-127.97839,500,601.252889
-131.440149,500,605.771165
-146.435463,500,618.428583
-126.324109,500,622.970933
-124.331697,500,627.487914
-131.766694,500,632.015012
-132.400131,500,657.243536
-123.35696,500,661.773148
-116.730951,500,666.26234
-124.589572,500,670.787463
-124.607638,500,682.009907
-122.312953,500,686.517849
-121.741382,500,691.029016
-117.591056,500,695.556917
-119.789558,500,707.021275
-132.875177,500,711.574733
-119.342578,500,724.444724
-118.430891,500,728.969848
-113.672174,500,740.209946
-121.303766,500,744.740238
-131.727,500,749.25627
-117.952374,500,753.786848
-115.737687,500,764.993402
-111.597041,500,769.552756
-106.86836,500,774.097398
-114.420242,500,778.630322
-118.753297,500,798.143926
-111.93304,500,802.662223
-113.344657,500,807.157557
-109.61151,500,811.700041
-109.700856,500,822.969174
-109.084618,500,827.540112
-116.134873,500,832.055311
-106.570989,500,836.617233
-105.942504,500,847.82494
-104.243963,500,852.355746
-103.448029,500,865.460623
-103.974049,500,869.989523
-106.669711,500,881.549066
-102.842709,500,886.08669
-106.194228,500,890.610768
-106.841067,500,895.138545
-109.157143,500,906.327244
-105.054132,500,910.88424
-95.855262,500,915.42144
-99.432018,500,919.972593
-96.752143,500,933.086531
-95.834254,500,945.368917
-92.338538,500,949.933992
-93.027177,500,954.510038
-97.941636,500,959.259019
-97.962585,500,971.522891
-100.220998,500,976.162879
-89.772124,500,980.810534
-88.729588,500,985.510995
-88.195857,500,996.99791
-92.5702,500,1010.958087
-92.559846,500,1015.737966
-92.147604,500,1020.538667
-90.684199,500,1036.119195
-87.296786,500,1040.930483
-87.312744,500,1045.693888
-94.351897,500,1050.445168
-85.974148,500,1061.845317
-85.877302,500,1066.402733
-85.650796,500,1070.993452
-85.784831,500,1084.295825
-83.392454,500,1097.672747
-86.890525,500,1102.250249
-82.517725,500,1106.827827
-84.040411,500,1111.411648
-81.759812,500,1124.691316
-79.813649,500,1129.251704
-83.704337,500,1133.843119
-78.663327,500,1138.431085
-82.036755,500,1150.269605
-75.267813,500,1163.688739
-77.778529,500,1168.283713
-75.795046,500,1172.889152
-72.16759,500,1184.128115
-73.356728,500,1188.710803
-71.68377,500,1193.303144
-72.451155,500,1197.896219
-82.931344,500,1211.127993
-73.231496,500,1215.749534
-75.0415,500,1220.376085
-73.698573,500,1233.86754
-71.483105,500,1238.477211
-65.579482,500,1249.87526
-67.239578,500,1254.510548
-69.819833,500,1259.152719
-66.796685,500,1263.748761
-71.242695,500,1275.025546
-69.01759,500,1279.65777
-67.320789,500,1284.260039
-67.463777,500,1288.913734
-67.912484,500,1309.204131
-67.813311,500,1313.818535
-67.853946,500,1318.450946
-63.294325,500,1323.11319
-63.561989,500,1335.602777
-59.17833,500,1340.227666
-63.848651,500,1344.884341
-62.615228,500,1349.544445
-64.849732,500,1360.865438
-60.343776,500,1365.510973
-56.989823,500,1379.200044
-62.399705,500,1383.832585
-57.967284,500,1395.21829
-55.709763,500,1399.9087
-62.799689,500,1404.582232
-56.877215,500,1409.20037
-56.343526,500,1420.546452
-56.798841,500,1425.200501
-54.638628,500,1429.88288
-55.738355,500,1434.589204
-54.289876,500,1455.016749
-55.534226,500,1459.693352
-54.612666,500,1464.389111
-52.049052,500,1469.048994
-52.695249,500,1480.459914
-54.395748,500,1485.153112
-50.16622,500,1489.835129
-49.454924,500,1494.539677
-49.641369,500,1505.936345
-49.343371,500,1510.626132
-53.179286,500,1524.436917
-52.474495,500,1529.150147
-46.964211,500,1540.445559
-49.534788,500,1545.143563
-43.431521,500,1549.840624
-44.96191,500,1554.561862
-47.204503,500,1559.24914
-43.307521,500,1570.547366
-48.933837,500,1575.239752
-43.209796,500,1579.953211
-44.733589,500,1593.854366
-42.482136,500,1606.492687
-47.234542,500,1611.23437
-44.375033,500,1615.943798
-41.844354,500,1620.688562
-44.055499,500,1632.191268
-39.162528,500,1636.920324
-42.817605,500,1641.628773
-41.196242,500,1646.322801
-34.906038,500,1657.724905
-38.708486,500,1671.624029
-38.008651,500,1676.32082
-37.428375,500,1681.048678
-37.324117,500,1696.334383
-36.380707,500,1701.052725
-33.733347,500,1705.764203
-37.092767,500,1710.46771
-33.331711,500,1721.798196
-33.515636,500,1726.523077
-35.673215,500,1731.255026
-35.030154,500,1745.243362
-33.241986,500,1756.546737
-33.210911,500,1761.269563
-29.034916,500,1766.011848
-33.299084,500,1770.770575
-27.85956,500,1782.148365
-26.710167,500,1786.886804
-31.856977,500,1791.626591
-29.701491,500,1796.392312
-28.783082,500,1807.902126
-28.84894,500,1821.863738
-30.122575,500,1826.599826
-30.683012,500,1831.318012
-31.391735,500,1842.852082
-28.443331,500,1847.603024
-26.905173,500,1852.361848
-24.900952,500,1857.129159
-24.112784,500,1861.881422
-25.85667,500,1873.507223
-25.743587,500,1878.298118
-25.153685,500,1892.335959
-25.253596,500,1897.088974
-26.077831,500,1908.597377
