#{"t_start": 1744699603.1605604, "env_id": "None"}
r,l,t
-89.831689,500,6.506078
-93.64071,500,10.887455
-95.607756,500,15.255015
-97.198625,500,19.625534
-86.10388,500,30.64472
-49.578433,282,33.161803
-94.287638,500,37.603855
-105.991472,500,42.027547
-87.049042,500,53.033762
-99.025213,500,57.507514
-90.2801,500,70.91795
-85.229273,500,75.391222
-91.259277,500,86.388558
-96.019299,500,90.892535
-86.853371,500,95.345228
-97.604018,500,99.819249
-112.919096,500,110.953978
-92.826117,500,115.413786
-81.641724,500,119.919671
-102.080651,500,124.425006
-82.758143,500,143.967609
-89.402949,500,148.483245
-73.414712,500,152.985902
-82.203631,500,157.479779
-79.767938,500,161.961903
-98.815294,500,173.033394
-70.946349,500,177.50182
-87.903004,500,181.997991
-81.540016,500,186.485576
-63.563705,500,197.445878
-86.887071,500,210.449123
-72.152668,500,215.029831
-89.358611,500,219.680938
-71.106267,500,233.479403
-87.88726,500,238.150521
-118.564264,500,242.81423
-88.590728,500,247.485324
-104.339117,500,259.491111
-69.409915,500,264.119709
-63.797463,500,268.616224
-66.545589,500,281.562425
-60.259065,500,292.570695
-62.717012,500,297.098584
-61.274857,500,301.595752
-76.185652,500,306.070981
-76.840374,500,317.103718
-64.208738,500,321.616182
-58.874803,500,326.115169
-77.712946,500,330.59354
-69.137425,500,341.703157
-54.595368,500,354.422719
-61.864685,500,358.958302
-52.988951,500,363.483914
-61.778595,500,374.559842
-61.421791,500,379.048851
-51.776899,500,383.5356
-77.748644,500,388.030789
-53.750012,500,399.11061
-61.296495,500,403.617189
-57.087706,500,408.109123
-69.374169,500,421.066019
-74.08966,500,432.160069
-64.760123,500,436.666727
-63.7174,500,441.184079
-52.288429,500,445.674085
-50.747883,500,456.630467
-56.28538,500,461.121586
-53.14076,500,465.610632
-57.326164,500,470.130427
-63.941228,500,474.606263
-42.553036,500,494.043127
-42.585045,500,498.525136
-54.916964,500,503.04479
-62.377807,500,507.573153
-49.176499,500,518.584232
-39.043793,500,523.075781
-62.942084,500,527.579798
-48.729033,500,532.09198
-46.231374,500,543.235382
-39.336237,500,547.758916
-50.04105,500,560.477583
-43.639056,500,564.958225
-54.173496,500,575.979746
-40.169022,500,580.486317
-36.030117,500,585.00356
-57.071035,500,589.506586
-38.469868,500,600.579245
-42.3107,500,605.0952
-41.604651,500,609.603125
-39.894637,500,614.088778
-42.208775,500,633.353155
-36.465312,500,637.859654
-34.357196,500,642.360386
-37.538855,500,646.842509
-32.857465,500,663.19976
-34.440278,500,667.6998
-34.758752,500,672.185818
-31.820596,500,676.678982
-31.519866,500,687.731169
-36.129138,500,692.25118
-23.846138,500,705.06821
-35.422259,500,709.568363
-33.280361,500,721.337995
-28.86846,500,725.855886
-31.409183,500,730.396026
-26.678887,500,734.895349
-24.346391,500,746.735184
-25.37649,500,751.238949
-26.70137,500,755.755519
-23.908647,500,760.26318
-30.705524,500,773.10946
-24.174758,500,785.951202
-25.605235,500,790.464154
-24.566892,500,794.958346
-23.989155,500,799.487245
-26.158898,500,810.686934
-21.087403,500,815.234624
-20.11209,500,819.743014
-21.656632,500,824.365474
-21.723893,500,835.505584
-24.024679,500,848.377369
-21.376685,500,852.906631
-27.098924,500,857.426868
-20.459918,500,868.593393
-17.126057,500,873.097782
-15.659807,500,877.627972
-17.994852,500,882.149576
-20.095895,500,895.521451
-17.785189,500,900.088451
-14.708249,500,904.639426
-12.874493,500,917.517636
-17.698084,500,928.621182
-15.683918,500,933.143683
-11.471561,500,937.691036
-11.157467,500,942.194071
-14.748436,500,953.285993
-12.920409,500,957.821919
-10.775212,500,962.3565
-13.018691,500,966.903916
-12.164274,500,978.015913
-13.781207,500,991.032811
-13.03752,500,995.545836
-10.577749,500,1000.086904
-15.509867,500,1011.275135
-10.781334,500,1015.815242
-10.031515,500,1020.372868
-12.651978,500,1024.902764
-7.175016,500,1036.034911
-11.559555,500,1040.588826
-10.593135,500,1045.116188
-8.222611,500,1058.034894
-9.925402,500,1069.397485
-8.090698,500,1073.929551
-8.617903,500,1078.446165
-8.24263,500,1082.991162
-9.862965,500,1087.549347
-5.963757,500,1098.661032
-4.94348,500,1103.201883
-8.084286,500,1107.751355
-7.243555,500,1112.303417
-5.102385,500,1131.947635
-3.854251,500,1136.507994
-5.595226,500,1141.073655
-0.618788,500,1145.62281
-2.310708,500,1156.725455
-5.129328,500,1161.272883
-1.786289,500,1165.905481
-3.517459,500,1170.670799
0.326033,500,1182.670125
0.794171,500,1187.448438
-1.034144,500,1201.178684
-0.881516,500,1205.965991
0.889286,500,1219.501409
2.515082,500,1224.081933
6.138075,500,1228.688941
-1.928307,500,1233.258985
3.129829,500,1244.353005
5.327756,500,1248.903016
5.210933,500,1253.443748
2.694068,500,1257.994428
4.799777,500,1277.779406
2.814334,500,1282.356276
4.473008,500,1286.911665
5.766313,500,1291.456201
3.272114,500,1302.956564
6.967438,500,1307.515656
3.487681,500,1312.035665
6.276651,500,1316.609738
6.471205,500,1327.716121
8.685459,500,1332.281982
6.100486,500,1345.523046
5.120778,500,1350.078778
4.822038,500,1361.331085
11.036831,500,1365.899142
10.630134,500,1370.477016
8.207239,500,1375.022326
6.919768,500,1379.585562
13.585045,500,1390.93659
6.339574,500,1395.516426
6.902679,500,1400.068009
6.670264,500,1413.208101
8.183722,500,1424.363364
9.359319,500,1428.943917
8.847851,500,1433.554317
12.198949,500,1438.128306
13.647438,500,1449.257224
13.791717,500,1453.833571
12.968643,500,1458.445831
14.341183,500,1463.053812
15.222819,500,1474.237732
13.86684,500,1487.415646
15.567723,500,1492.002707
14.016213,500,1496.595791
15.614166,500,1507.752144
15.659909,500,1512.345254
16.467814,500,1516.935184
17.932354,500,1521.534587
16.854194,500,1532.778992
19.530221,500,1537.354378
19.842778,500,1541.94333
19.325823,500,1555.162972
23.424516,500,1566.28711
17.573304,500,1570.836362
19.606152,500,1575.412508
20.554696,500,1579.998346
18.950817,500,1591.348875
21.347112,500,1595.962327
22.288283,500,1600.56695
21.039561,500,1605.14888
22.840717,500,1618.584455
20.619711,500,1631.936143
25.169803,500,1636.541779
23.950006,500,1641.137134
21.545268,500,1653.409119
23.030784,500,1658.022891
24.336441,500,1662.605742
26.093212,500,1667.188553
26.046399,500,1671.790949
26.801109,500,1683.152463
24.265398,500,1687.759037
26.353689,500,1701.117163
25.85656,500,1705.744101
25.247316,500,1723.226655
25.317752,500,1727.80238
28.044793,500,1732.400483
28.47012,500,1737.004125
27.845331,500,1748.115346
32.059098,500,1752.697618
31.192654,500,1757.298409
31.276634,500,1761.885546
27.490793,500,1781.774093
29.554552,500,1786.371717
28.230227,500,1790.964742
30.10833,500,1795.572971
26.144927,500,1806.941303
31.288009,500,1811.575781
32.733921,500,1816.175821
