#{"t_start": 1744737952.5366182, "env_id": "None"}
r,l,t
-11.264724,57,2.113336
-129.113147,500,6.466911
-105.196323,500,10.793095
-91.83824,500,15.185107
-111.863911,500,30.586574
-119.464764,500,35.140468
-91.969404,500,39.716362
-92.106188,500,44.285267
-115.457266,500,48.880727
-101.113268,500,69.77844
-102.80381,500,82.742372
-92.034027,500,87.163463
-103.578115,500,91.595274
-146.767544,500,102.514427
-85.717784,500,106.912474
-132.433406,500,111.362359
-95.136767,500,115.822616
-90.259316,500,126.754754
-87.693343,500,131.182576
-110.504553,500,135.64843
-91.638562,500,148.474603
-92.184803,500,159.458362
-82.892067,500,163.903726
-82.785262,500,168.318773
-76.712815,500,172.756688
-85.189056,500,183.940525
-84.419134,500,188.398858
-82.020673,500,192.855414
-84.876809,500,197.336661
-97.945234,500,208.364065
-79.181526,500,221.385802
-85.796882,500,225.86339
-89.82091,500,230.304058
-88.144778,500,241.40486
-87.3048,500,245.836396
-96.749831,500,250.322316
-75.841503,500,254.797578
-71.251519,500,265.784452
-67.698747,500,270.229079
-73.64804,500,274.68082
-89.10408,500,287.399274
-66.378349,500,299.26234
-94.101935,500,303.732725
-74.275476,500,308.168379
-76.242674,500,312.630249
-70.844694,500,323.880805
-86.787614,500,328.353163
-77.261156,500,332.81984
-59.941111,500,337.290056
-68.105921,500,341.779872
-67.531897,500,361.068084
-57.363406,500,365.601867
-59.083221,500,370.080956
-50.618562,500,374.568447
-64.305278,500,385.48566
-68.572734,500,389.930523
-53.750949,500,394.442164
-49.019043,500,398.94539
-61.985367,500,409.99438
-67.537589,500,414.454985
-67.296135,500,427.481712
-66.550618,500,431.993904
-53.72483,500,443.199625
-52.249232,500,447.696847
-52.279122,500,452.15848
-54.422855,500,456.650741
-54.514653,500,467.789069
-44.755309,500,472.321155
-44.520923,500,476.771105
-37.736677,500,481.290458
-49.155293,500,500.934559
-40.845338,500,505.470336
-42.553726,500,509.987461
-42.219105,500,514.495333
-36.839502,500,526.911589
-40.960929,500,531.425685
-35.88661,500,535.941123
-47.313782,500,540.432784
-34.966925,500,551.538538
-37.334544,500,556.078745
-56.256274,500,568.918734
-33.829195,500,573.452843
-47.811391,500,584.75467
-33.768188,500,589.258259
-34.809885,500,593.764194
-33.199099,500,598.247991
-35.574345,500,609.261681
-33.688185,500,613.756895
-32.198182,500,618.261778
-34.188679,500,622.781429
-28.037577,500,642.460121
-29.616328,500,646.962488
-30.737179,500,651.454098
-26.432581,500,655.944084
-29.722784,500,660.419569
-24.803694,500,671.475061
-25.220236,500,675.964954
-29.480014,500,680.470111
-25.253059,500,684.961828
-24.611952,500,696.623826
-24.401611,500,709.424743
-26.631518,500,713.921335
-24.977481,500,718.445012
-27.850023,500,729.600422
-22.089268,500,734.103984
-17.08138,500,738.608763
-16.913999,500,743.086039
-23.415273,500,754.247783
-20.248978,500,758.736742
-21.448098,500,763.214797
-24.998523,500,775.97877
-19.240731,500,787.000493
-17.065827,500,791.500883
-19.241715,500,796.027767
-16.638223,500,800.527715
-17.716688,500,811.5605
-12.469925,500,816.074509
-16.239899,500,820.572243
-13.614242,500,825.072009
-17.431583,500,836.089906
-9.633128,500,848.863259
-13.649391,500,853.368096
-13.165854,500,857.873076
-10.276549,500,869.041182
-11.390206,500,873.54604
-11.028444,500,878.059441
-13.028829,500,882.561836
-6.228308,500,893.686925
-13.21446,500,898.173375
-5.669921,500,902.668579
-5.599346,500,915.454873
-13.705455,500,926.705388
-5.282023,500,931.208113
-2.796953,500,935.710834
-11.783555,500,940.205704
-7.086223,500,944.71724
-4.996467,500,955.761963
-8.199669,500,960.264565
-5.227143,500,964.758181
-7.759688,500,969.25858
-1.772747,500,991.651371
-1.178092,500,996.355619
-3.440578,500,1001.006317
-0.484058,500,1005.674227
-0.439583,500,1019.039205
1.93678,500,1023.632851
-0.441691,500,1028.130209
-5.093036,500,1032.631444
3.214146,500,1043.65859
-1.787443,500,1048.141302
1.17342,500,1060.972973
6.582375,500,1065.455337
4.012838,500,1076.688114
2.540898,500,1081.194678
2.844623,500,1085.698302
4.881515,500,1090.165155
3.410357,500,1101.367732
8.392949,500,1105.82995
2.251926,500,1110.32613
4.209174,500,1114.824839
6.290674,500,1134.298369
7.967449,500,1138.809835
5.12967,500,1143.291153
9.936764,500,1147.810896
13.200882,500,1158.961791
11.257163,500,1163.475013
13.090903,500,1167.986779
5.125222,500,1172.493798
9.757654,500,1183.636305
15.005469,500,1188.149648
14.756284,500,1201.104244
13.109997,500,1205.585378
9.500446,500,1216.620065
16.078137,500,1221.125038
15.479086,500,1225.580919
15.600942,500,1230.085946
14.745421,500,1234.578085
19.066084,500,1245.661727
19.70646,500,1250.16401
16.608026,500,1254.649767
15.894179,500,1267.616485
18.409601,500,1278.897352
17.953452,500,1283.382905
20.29742,500,1287.888274
18.780889,500,1292.376072
18.474399,500,1305.999226
20.897788,500,1310.507569
19.227968,500,1315.005811
22.466199,500,1319.489419
23.766229,500,1330.667103
21.334827,500,1343.658685
23.315823,500,1348.141585
18.222897,500,1352.635505
20.451421,500,1363.629149
26.896151,500,1368.159059
28.484885,500,1372.656578
29.542162,500,1377.158533
24.307055,500,1388.326095
27.285761,500,1392.816226
29.269238,500,1397.2874
30.830366,500,1410.25407
29.132566,500,1424.918783
32.954038,500,1429.412692
29.880798,500,1433.876516
37.10708,500,1438.354324
31.191648,500,1449.52067
33.015963,500,1453.997946
34.334121,500,1458.465155
34.278388,500,1462.960847
33.718481,500,1474.009292
37.338292,500,1486.991467
38.142787,500,1491.481886
32.929009,500,1495.960895
36.098144,500,1507.085969
40.311839,500,1511.590639
37.583455,500,1516.084877
39.032267,500,1520.583959
39.532564,500,1531.642156
38.442744,500,1536.123057
39.606519,500,1540.589998
39.737405,500,1553.553005
41.948106,500,1558.045613
44.358572,500,1569.108955
42.740005,500,1573.610649
40.93722,500,1578.107191
43.330976,500,1582.591843
44.310277,500,1593.739447
42.92075,500,1598.237715
45.226293,500,1602.714898
44.702269,500,1607.177481
44.749911,500,1627.778733
46.777869,500,1632.272604
47.330103,500,1636.786284
46.527439,500,1641.263422
47.998794,500,1652.464532
47.831831,500,1656.994504
47.833375,500,1661.507405
50.788864,500,1666.032855
50.397418,500,1677.170983
48.497782,500,1681.640929
50.472889,500,1694.599585
50.437795,500,1699.112121
46.794522,500,1710.217879
52.92755,500,1714.698537
51.31063,500,1719.171826
50.326605,500,1723.645329
49.698952,500,1742.728488
54.073372,500,1747.213727
53.626688,500,1751.734796
52.454336,500,1756.231982
53.06515,500,1775.845853
52.817747,500,1780.319969
54.328677,500,1784.793932
53.795671,500,1789.24833
53.117393,500,1800.408403
53.392387,500,1804.8868
51.239695,500,1809.382265
57.592665,500,1813.883382
54.754782,500,1825.055431
56.135043,500,1829.522199
55.690566,500,1842.504543
61.416779,500,1847.003106
54.093751,500,1851.487912
61.797602,500,1862.626775
61.067836,500,1867.106296
57.211189,500,1871.579513
58.736219,500,1876.090553
57.224917,500,1887.259127
57.568712,500,1891.746374
61.214491,500,1896.231934
59.326202,500,1909.183669
61.810397,500,1920.465421
59.860071,500,1924.961576
58.331958,500,1929.598169
59.491301,500,1934.26181
60.821523,500,1946.29756
63.689329,500,1950.998723
62.545995,500,1955.626043
60.710135,500,1960.271138
61.603925,500,1972.525981
63.164815,500,1985.591069
64.608559,500,1990.076071
60.898786,500,1994.621967
61.42133,500,2005.785586
60.91157,500,2010.282926
65.17826,500,2014.798249
62.006426,500,2019.259969
62.21509,500,2031.159473
63.656525,500,2035.658127
65.168519,500,2040.104491
64.72477,500,2053.051874
65.31283,500,2064.154894
65.165579,500,2068.637409
68.063884,500,2073.060206
66.063133,500,2077.535573
65.451022,500,2088.647284
67.047252,500,2093.138222
66.858529,500,2097.612721
67.047436,500,2102.079394
67.880022,500,2120.238399
65.754166,500,2133.171378
69.242969,500,2137.705575
66.777782,500,2142.189965
67.061614,500,2153.308427
68.919261,500,2157.797465
71.276866,500,2162.284145
71.075526,500,2166.735436
67.098659,500,2171.218725
70.343578,500,2183.572479
69.835582,500,2188.072912
69.626244,500,2201.001384
70.014514,500,2205.492429
70.762341,500,2218.459417
71.196025,500,2222.913892
67.810387,500,2227.410576
70.246306,500,2231.8893
71.462183,500,2243.258713
70.146887,500,2247.771746
72.165854,500,2252.241524
71.342215,500,2256.747327
72.918781,500,2276.315315
71.100389,500,2280.820595
70.236846,500,2285.288742
72.826312,500,2289.736614
71.227455,500,2301.146053
72.207596,500,2305.633405
74.799066,500,2310.11457
72.276828,500,2314.590904
74.220981,500,2325.847781
75.254769,500,2330.356877
72.177642,500,2343.264164
74.838941,500,2347.72433
73.321652,500,2359.960015
75.504257,500,2364.438949
74.963325,500,2368.917542
76.564194,500,2373.403511
74.570443,500,2384.532132
76.487141,500,2388.963074
71.27115,500,2393.471788
74.80365,500,2397.986094
76.235267,500,2417.634322
75.841441,500,2422.138122
75.01182,500,2426.628095
76.180077,500,2431.117289
75.837264,500,2442.20385
75.289461,500,2446.672457
75.514034,500,2451.125643
78.126272,500,2455.565831
77.305584,500,2460.039515
78.091318,500,2471.16596
77.301456,500,2484.093282
76.781184,500,2488.592419
76.967631,500,2493.076519
76.421989,500,2504.964938
77.117961,500,2509.446441
78.522703,500,2513.899452
77.506219,500,2518.381219
79.085574,500,2532.984072
79.182263,500,2537.482968
78.056627,500,2541.996341
81.005882,500,2554.914105
79.017349,500,2566.422904
78.278274,500,2570.912793
77.830271,500,2575.377272
81.311967,500,2579.845577
79.039171,500,2591.045959
77.095596,500,2595.551657
79.273538,500,2600.048311
80.408081,500,2604.57494
78.979302,500,2616.701977
80.054205,500,2629.619863
79.439578,500,2634.092585
81.656243,500,2638.561951
78.003949,500,2649.827352
79.916997,500,2654.290868
79.46224,500,2658.774601
79.962328,500,2663.273566
79.940476,500,2674.37027
80.392377,500,2678.873437
78.982992,500,2683.330535
82.50698,500,2696.252164
82.479233,500,2707.389375
82.662229,500,2711.88788
83.578637,500,2716.403776
81.604946,500,2720.90711
80.000106,500,2732.131336
81.583358,500,2736.631438
79.024199,500,2741.127011
81.187168,500,2745.63664
81.082968,500,2750.107479
81.81737,500,2769.547307
81.762847,500,2774.056159
81.908915,500,2778.554091
80.179906,500,2783.063184
82.833451,500,2794.368758
85.05839,500,2798.82896
81.614328,500,2803.318436
82.452845,500,2807.824028
83.982679,500,2818.892365
84.188203,500,2823.365672
83.428208,500,2836.341685
82.953351,500,2840.820801
83.529205,500,2851.9617
82.568359,500,2856.422567
84.596657,500,2860.920636
82.767224,500,2865.409318
82.801469,500,2876.620139
84.590255,500,2881.260038
83.774653,500,2885.929812
82.349004,500,2890.645879
84.039667,500,2911.927964
85.68715,500,2916.591272
84.524102,500,2921.265332
83.640556,500,2925.903972
83.686906,500,2937.086898
86.886046,500,2941.596561
85.02877,500,2946.114538
85.284462,500,2950.614107
85.454135,500,2961.89267
85.289286,500,2966.354111
83.91331,500,2979.270182
83.715736,500,2983.757518
85.472389,500,2996.7168
87.384096,500,3001.193048
83.973104,500,3005.703418
84.869213,500,3010.180722
86.255986,500,3021.258903
85.959923,500,3025.74225
85.780443,500,3030.210751
87.329174,500,3034.713518
86.576104,500,3054.282416
85.206849,500,3058.788286
85.200961,500,3063.273811
87.889632,500,3067.781744
87.621774,500,3072.231213
85.761001,500,3089.298284
88.06021,500,3093.785972
87.677078,500,3098.281174
86.633489,500,3102.714414
86.904292,500,3115.021377
86.108046,500,3127.9469
85.188786,500,3132.445529
85.927398,500,3136.946622
87.405252,500,3150.099337
87.860494,500,3154.576709
85.855674,500,3159.058485
87.342213,500,3163.525306
88.442535,500,3178.733136
86.006039,500,3183.235265
87.842939,500,3187.737576
88.058307,500,3200.706678
88.36075,500,3211.924747
87.482017,500,3216.439876
89.291351,500,3220.920126
88.768161,500,3225.434385
89.626663,500,3246.032927
