#{"t_start": 1744656696.2252514, "env_id": "None"}
r,l,t
-0.115888,500,6.960675
0.3265,500,11.354326
-6.078653,474,15.558443
-0.117643,500,19.993748
1.308956,500,30.897715
1.182971,500,35.277716
0.660834,500,39.680832
0.275476,500,44.117975
0.848735,500,55.067756
2.804664,500,59.528799
2.959157,500,72.367237
0.700811,500,76.814542
2.936389,500,87.76609
7.477676,500,92.261
4.210081,500,96.731182
2.134582,500,101.180044
2.933813,500,112.27804
5.229746,500,116.776115
6.120951,500,121.254228
7.931538,500,125.745235
6.57242,500,145.208297
8.882424,500,149.659584
9.298652,500,154.180052
3.847729,500,158.63029
8.16256,500,169.740632
-1.215431,16,169.891675
10.149145,500,174.387591
10.387499,500,178.901847
7.08287,500,183.390361
6.73984,500,194.392355
12.382688,500,198.92089
9.889722,500,211.866336
9.193885,500,216.412882
8.458375,500,229.645281
10.282417,500,234.163049
9.654104,469,238.412067
3.036009,150,239.791113
14.086877,500,244.349624
12.997334,500,255.361586
12.122013,500,259.9203
14.542024,500,264.413096
14.86537,500,277.706119
15.444012,500,291.04563
20.668754,500,295.962315
19.806602,500,300.799018
15.887607,474,305.363799
17.536927,500,318.51835
20.488124,500,323.15191
22.030081,500,327.70196
4.262898,192,329.425168
19.718021,500,333.988937
19.86442,500,344.93281
26.460962,500,357.801468
21.130677,500,362.325542
10.053491,233,364.461494
23.727416,500,369.01099
22.164898,500,380.176338
24.116269,479,384.523932
22.234464,500,389.093371
24.557618,500,393.631613
28.196912,500,404.766779
8.679344,163,406.296893
27.162525,500,410.823376
26.636229,500,423.659651
27.76017,500,428.212104
27.421028,500,439.227414
9.610479,207,441.102212
29.117872,500,445.620461
28.213188,500,450.166079
30.593766,500,461.242517
32.242582,500,465.817448
28.648232,500,470.368456
35.749241,500,474.927156
28.511981,479,487.800267
33.781121,500,500.610761
37.069051,500,505.140339
35.516069,500,509.705349
18.039705,288,512.33635
41.402202,500,523.457752
38.156054,500,528.009816
34.750654,500,532.608401
38.976374,500,537.201782
39.732521,500,548.289408
40.16817,500,552.874051
42.069454,500,565.754513
31.347653,420,569.5743
40.278106,500,580.657957
43.184874,500,585.188295
46.431567,500,589.725585
40.369966,500,594.288982
44.58956,500,605.364035
51.063277,500,609.940255
44.606838,500,614.497158
44.753693,500,619.074066
44.463574,474,631.72386
49.841878,500,642.845012
47.631863,500,647.420506
50.458084,500,652.044524
50.057293,500,656.589055
53.984449,500,667.681667
50.219098,487,672.16971
53.518369,500,676.72609
49.764433,500,681.263556
54.845973,500,692.42454
54.195225,500,705.378112
56.45294,500,709.930216
57.045694,500,714.507822
58.017299,500,725.67732
58.508704,500,730.260387
58.700308,500,734.850869
53.836762,500,739.422679
58.714741,500,750.577099
61.600132,500,755.153545
59.128727,500,759.749357
59.946661,490,764.25841
60.341321,500,783.915413
62.943146,500,788.501557
62.051317,500,793.064772
22.467595,195,794.831036
60.929064,500,799.421621
64.728782,500,810.557852
62.734137,500,815.13974
65.759842,500,819.717354
4.91866,58,820.261723
63.931314,500,824.805913
66.388535,500,835.916889
62.644467,500,848.902014
65.903531,500,853.498286
66.844707,500,858.080223
71.884347,500,869.130642
71.388751,500,873.727116
68.871138,500,878.304047
73.715721,500,882.912973
72.821043,500,894.164765
45.591489,330,897.242182
14.273992,121,898.338168
73.490256,500,902.921306
72.657649,500,915.981318
76.024875,500,927.201952
72.951895,500,931.862832
73.283415,500,936.442659
75.489977,500,941.015768
70.813976,500,952.087272
76.440295,500,956.689404
72.556383,500,961.270398
74.857246,500,965.91089
76.434619,500,977.043417
78.368717,500,990.105283
78.062905,500,994.707185
74.127835,500,999.271973
77.050285,500,1010.688288
82.462508,500,1015.26531
82.263746,500,1019.86798
78.902639,500,1024.442848
57.830528,372,1027.861969
80.921365,500,1039.22956
80.682622,500,1043.832606
84.449167,500,1056.939067
84.800552,500,1061.563098
81.173878,500,1074.160722
87.324854,500,1078.739262
68.860881,412,1082.481031
83.92687,500,1087.054599
83.717775,500,1098.233634
89.019938,500,1102.849736
89.829338,500,1107.435367
87.981538,500,1112.031367
86.366908,500,1123.541957
90.376612,500,1136.612289
88.403154,500,1141.205984
90.494055,500,1145.789653
89.046231,500,1156.960846
54.010013,312,1159.831386
88.662191,500,1164.440727
89.12507,500,1169.034154
87.596277,500,1173.65829
92.201823,500,1186.818736
95.729875,500,1191.414325
92.184026,500,1204.527626
90.573856,500,1209.138056
85.817644,500,1220.410868
95.278369,500,1225.161361
97.40094,500,1229.973441
94.181424,500,1234.796671
96.542591,500,1247.70795
95.813491,500,1252.498278
97.792653,500,1257.326054
95.288389,500,1262.153703
98.380373,500,1282.323043
99.083041,500,1286.944786
101.34871,500,1291.573281
94.08461,500,1296.183958
69.781777,370,1306.031952
100.348653,500,1310.632774
99.699671,500,1315.233352
98.411154,500,1319.867401
97.718534,500,1324.499681
101.772775,500,1335.611452
101.152226,500,1348.827664
102.677617,500,1353.429177
100.395139,500,1358.049597
101.333967,500,1369.300686
101.434846,500,1373.879659
99.591576,500,1378.50983
98.60867,500,1383.114146
106.695328,500,1394.240635
102.674815,500,1398.838409
100.160487,500,1403.457671
102.771655,500,1416.691559
102.412998,500,1427.85513
104.391592,500,1432.513922
105.868637,500,1437.127527
106.158735,500,1441.724895
102.34264,500,1453.038122
104.65753,500,1457.678485
105.222479,500,1462.27823
107.650461,500,1466.869573
105.428628,500,1478.089572
107.66626,500,1491.297042
105.984437,500,1495.923728
107.237695,500,1500.590189
106.220483,500,1511.874672
106.326267,500,1516.513501
108.591341,500,1521.1285
108.757868,500,1525.740188
105.778811,500,1538.939533
112.172439,500,1543.540301
108.787084,500,1548.176725
108.66766,500,1561.396157
109.072154,500,1572.872108
108.173119,500,1577.485152
108.974023,500,1582.117157
109.822999,500,1586.75339
109.713367,500,1597.926206
110.532199,500,1602.526073
110.390572,500,1607.144717
111.891089,500,1611.786174
109.226173,500,1616.421384
111.355064,500,1636.21658
111.412955,500,1640.846827
110.35197,500,1645.473845
109.277585,500,1650.098045
112.839932,500,1663.078805
111.299254,500,1667.729178
109.59293,500,1672.359104
111.185243,500,1676.96882
112.485003,500,1688.074037
110.499747,500,1692.700088
113.031782,500,1705.929359
112.140145,500,1710.559659
113.853004,500,1721.689157
111.240391,500,1726.336952
113.12526,500,1730.994808
115.480745,500,1735.614719
114.051091,500,1746.799695
113.893382,500,1751.409262
112.306901,500,1756.078631
114.851013,500,1760.684648
115.479625,500,1780.36868
115.726278,500,1785.048039
114.813082,500,1789.698062
115.775873,500,1794.330296
114.389901,500,1805.415959
116.455778,500,1810.05375
116.196695,500,1814.662045
113.093833,500,1819.304358
115.153695,500,1830.414114
115.57452,500,1835.074049
116.191813,500,1848.328996
113.911793,500,1852.984011
114.197657,500,1864.051459
116.644301,500,1868.684526
116.593505,500,1873.306056
117.025992,500,1877.937176
115.830839,500,1889.010511
115.815977,500,1893.667801
116.739266,500,1898.289093
116.352561,500,1902.92688
117.963394,500,1916.194244
118.089004,500,1927.335223
118.728862,500,1932.014469
117.27432,500,1936.655156
117.292367,500,1941.2635
116.867136,500,1952.469609
118.361815,500,1957.110912
34.129587,157,1958.593887
118.150943,500,1963.207021
118.090192,500,1981.507351
118.611334,500,1986.133704
119.863175,500,1999.39846
119.067242,500,2004.008886
117.585747,500,2015.340273
120.437584,500,2019.964951
118.706591,500,2024.604263
120.666662,500,2029.210843
119.749577,500,2033.847952
119.841937,500,2045.10283
119.01243,500,2049.753502
120.413353,500,2054.394694
118.460355,500,2067.661676
120.596188,500,2078.740853
120.598715,500,2083.363471
119.495192,500,2088.001346
119.380591,500,2092.620027
120.297981,500,2103.748248
120.677939,500,2108.38981
122.014092,500,2113.019187
119.76078,500,2117.619175
120.345925,500,2128.795263
121.844713,500,2142.128935
121.847327,500,2146.741802
120.163199,500,2151.358037
120.460802,500,2164.812582
120.676151,500,2169.43996
120.162549,500,2174.09864
121.626917,500,2178.719707
121.551104,500,2189.891122
122.167151,500,2194.535997
122.077631,500,2199.150543
121.074987,500,2213.308415
122.275704,500,2225.849651
123.373983,500,2230.708426
121.893084,500,2235.551841
121.371406,500,2240.382112
121.654971,500,2254.211297
122.612217,500,2258.855152
122.431171,500,2263.527554
121.936306,500,2268.151695
123.460392,500,2281.290252
121.000021,500,2294.627141
123.172349,500,2299.263496
122.223373,500,2303.861224
124.466554,500,2316.842544
124.807969,500,2321.45139
123.748201,500,2326.060514
123.828126,500,2330.677399
124.184285,500,2335.272722
123.563671,500,2346.494455
122.998804,500,2351.110995
124.242771,500,2364.379001
124.434503,500,2369.021791
125.18676,500,2380.255437
123.497756,500,2384.899654
122.933263,500,2389.532484
123.821345,500,2394.163915
124.143576,500,2407.234639
125.170282,500,2411.875549
125.446643,500,2416.50337
125.371867,500,2421.158149
123.6576,500,2443.023155
123.556365,500,2447.662876
125.580757,500,2452.306806
123.812169,500,2456.97877
125.392463,500,2468.234177
124.895726,500,2472.852251
124.715091,500,2477.480538
