#{"t_start": 1744674642.766446, "env_id": "None"}
r,l,t
-3.234708,46,2.950899
-23.951152,290,5.432472
-68.674694,500,9.782163
-18.95193,500,14.141235
-20.832033,500,18.515005
-36.372533,500,29.513858
-27.982481,500,33.926361
-63.262753,500,38.354375
-28.830726,387,41.786159
-34.586979,500,55.237765
-39.235982,500,59.658606
-50.50186,500,72.476224
-30.378982,500,76.905747
-24.030495,500,92.221065
-52.914456,500,96.67711
-16.889692,349,99.82467
-37.195038,500,104.280738
-21.150826,500,108.712542
-29.084771,500,119.928535
-8.105428,164,121.376915
-26.309498,500,125.806578
-26.275258,500,130.22969
-54.037496,500,143.097958
-24.362883,500,154.381099
-22.05423,500,158.886436
-17.710722,500,163.398717
-23.045185,500,167.922511
-25.919618,500,179.223998
-23.462813,500,183.740244
-20.638189,500,188.233991
-19.364575,500,192.742027
-36.611082,500,203.851471
-46.509263,500,216.733926
-7.527699,179,218.340986
-11.718876,231,220.456171
-11.921386,419,224.226486
-34.135037,500,237.44411
-24.127455,500,241.968463
-4.938502,61,242.530605
-18.519663,500,247.033136
-20.041311,500,251.538969
-44.875995,500,262.689411
-4.798134,95,263.557419
-18.247907,500,268.059113
-28.731143,500,272.568414
-25.48265,500,285.639759
-26.53105,500,297.392838
-16.973798,500,301.885266
-31.430066,500,306.398302
-21.996173,500,310.911801
-18.636494,500,322.082427
-18.65116,500,326.634513
-52.074846,500,331.16164
-14.916233,500,335.659827
-24.595323,500,346.815461
-12.297395,500,359.798937
-9.349769,172,361.373716
-14.987516,500,365.854211
-19.39589,500,370.334876
-8.529519,500,381.642336
-17.553644,500,386.175357
-37.633968,500,390.679733
-23.180512,500,395.202926
-20.181939,500,406.556643
-17.612503,500,411.204386
-25.374547,500,415.947511
-18.073875,500,430.083529
-27.639693,500,442.043224
-24.493357,500,446.786234
-9.976903,500,451.432747
-14.295088,500,455.991192
-5.669165,293,458.672802
-22.017865,500,469.936962
-13.486813,500,474.462649
-13.289556,500,478.949231
-9.032363,500,483.469612
-12.804856,500,503.301087
-11.564732,500,507.862316
-11.175351,500,512.453941
-3.462585,154,513.823031
-13.617912,500,518.320534
-6.055521,192,526.756936
-3.999855,500,531.29271
-5.899853,500,535.799583
-3.703161,500,540.341081
-14.698254,500,556.301202
-3.773588,500,560.818313
-12.86707,500,573.794437
-8.19978,500,578.302141
-3.544438,500,589.584569
-9.050355,500,594.0931
-12.201409,267,596.479309
-16.246285,500,600.982041
-0.22426,500,605.491635
-4.530028,500,616.788139
-7.05699,500,621.294274
-9.278634,500,625.8575
-1.614173,500,630.404226
-3.605825,500,649.979946
0.20112,500,654.493738
-3.600509,500,659.023558
-6.995352,500,663.578419
-1.627994,500,674.882372
0.970938,500,679.441491
1.168958,500,683.968979
-4.209729,500,688.51849
-5.038244,193,690.263139
-0.86674,500,701.503814
1.170209,500,706.057245
-0.046457,500,718.877017
-2.351515,500,723.368862
2.071179,500,734.560087
4.32282,500,739.047672
4.207102,500,743.565665
4.535461,500,748.096205
7.204593,500,759.372178
2.625819,139,760.664849
3.913464,500,765.178079
9.701919,500,769.706737
9.016361,500,782.523038
9.233551,500,794.072121
11.362638,500,798.569052
7.557914,500,803.076701
9.855591,500,807.619515
6.760355,500,818.735984
9.082483,500,823.22206
9.917615,500,827.753301
8.10272,500,832.27065
9.366201,500,845.498202
10.348149,500,858.23452
14.857726,500,862.75409
15.304139,500,867.316277
12.618645,500,878.41241
14.902451,500,882.918404
13.642523,500,887.468745
11.847314,456,891.522799
15.120638,500,904.177368
19.736916,500,908.727144
16.777885,500,913.223906
8.667359,269,915.685389
18.836751,500,928.425091
3.257306,166,929.916317
24.01406,500,941.148203
23.728264,500,945.679708
16.342146,500,950.22184
21.007416,500,954.741653
25.354809,500,971.766076
24.184803,500,976.290845
25.040016,500,980.8388
26.368823,500,985.400157
22.838398,500,1006.469465
28.964975,500,1010.993581
26.477278,500,1015.518439
29.619749,500,1020.060037
30.407799,500,1031.23057
28.996919,500,1035.762934
29.616623,500,1040.281414
29.475883,500,1044.785617
29.151257,500,1058.205481
31.885966,500,1062.730591
33.991231,500,1075.420863
31.228445,500,1079.953482
34.840234,500,1091.145264
32.34859,500,1095.666799
37.008315,500,1100.199554
19.843062,331,1103.153612
33.100413,500,1114.282896
34.177242,500,1118.791308
38.639632,500,1123.30401
36.023916,500,1127.802092
38.163779,500,1132.337025
34.789889,500,1151.604444
36.18323,500,1156.129864
43.518984,500,1160.654928
37.836914,500,1165.184817
39.318817,500,1178.329598
37.44077,500,1182.876765
16.342524,229,1184.988542
37.491004,500,1189.523385
41.779272,500,1205.997627
39.032247,500,1210.546788
36.928106,500,1223.278702
44.161873,500,1227.834761
42.197376,500,1239.063132
47.316263,500,1243.576707
41.524171,500,1248.102413
43.480696,500,1252.652741
44.613043,500,1265.791922
43.854958,500,1270.297997
47.048604,500,1274.846699
49.350623,500,1279.354381
48.53509,500,1292.127897
47.134958,500,1305.280047
46.990149,500,1309.853407
47.179207,500,1314.367345
49.850902,500,1318.917607
50.629662,500,1329.944928
48.901929,500,1334.489941
23.976598,265,1336.902721
50.425562,500,1341.42869
47.39355,500,1352.674101
52.915569,500,1357.301029
55.070615,500,1371.143078
51.073433,500,1375.845748
56.772999,500,1387.939063
53.473574,500,1392.667919
57.38123,500,1397.427968
55.097085,500,1402.095787
53.893619,500,1413.350565
58.250529,500,1417.92682
55.648575,500,1422.455282
56.939905,500,1426.990757
57.082072,500,1439.894549
56.506023,500,1450.974865
61.12197,500,1455.5486
63.395619,500,1460.074432
63.069813,500,1464.632718
63.856055,500,1475.85605
63.81308,500,1480.410968
60.600434,500,1484.998237
60.459295,500,1489.530394
67.291685,500,1500.661164
60.570397,500,1513.600714
64.738163,500,1518.142416
34.556595,294,1520.801818
36.79466,297,1523.51515
67.221209,500,1534.679004
69.933318,500,1539.262362
65.122133,500,1543.800728
68.900231,500,1548.33465
70.910791,500,1559.6173
71.260024,500,1564.178774
68.242369,500,1568.761625
67.13713,500,1581.754187
70.328425,500,1593.006015
70.366421,500,1597.606126
69.966781,500,1602.140093
73.847419,500,1606.714005
74.893423,500,1617.891483
75.946408,500,1622.481461
74.117417,500,1627.083157
72.857269,500,1631.611037
78.86015,500,1642.882513
76.230224,500,1655.929186
72.499171,500,1660.506121
74.971769,500,1665.063777
75.164381,500,1676.40232
76.621665,500,1680.969409
76.454707,500,1685.541612
76.655112,500,1690.098844
78.788902,500,1701.284022
79.745202,500,1705.868759
78.687259,500,1710.456537
79.723295,500,1723.490632
81.222146,500,1734.688607
79.031444,500,1739.295529
81.775773,500,1743.872127
83.52136,500,1748.41272
83.549565,500,1759.716112
79.86419,500,1764.29793
88.443804,500,1768.882563
79.139659,500,1773.43978
78.896034,500,1786.926124
84.107932,500,1800.01785
83.180006,500,1804.619388
81.503215,500,1809.209564
88.195001,500,1813.781076
86.525731,500,1825.060814
84.127924,500,1829.643025
81.655462,500,1834.225059
85.978602,500,1838.806835
85.507824,500,1849.968235
86.235917,500,1854.536492
88.796286,500,1867.637238
90.184323,500,1872.238115
89.51559,500,1883.399424
88.843322,500,1887.98315
88.080018,500,1892.574491
89.291826,500,1897.164795
89.958252,500,1908.351467
87.904444,500,1912.934602
90.522673,500,1917.528159
89.436881,500,1922.107827
92.208821,500,1941.848118
91.573875,500,1946.431429
89.240093,500,1951.03563
91.645461,500,1955.626126
91.600213,500,1966.6855
90.77961,500,1971.26717
93.522151,500,1975.855805
92.83786,500,1980.42051
94.890093,500,1991.528409
93.695235,500,1996.119763
95.378609,500,2009.259355
92.844579,500,2013.840596
91.483741,500,2025.036223
94.43229,500,2029.601385
98.772176,500,2034.210715
95.001206,500,2038.826617
97.58299,500,2050.076934
98.511077,500,2054.631824
99.100692,500,2059.228967
96.67993,500,2063.806429
98.847925,500,2084.585416
96.504401,500,2089.194443
100.519345,500,2093.804199
99.102891,500,2098.410923
96.306478,500,2103.024334
100.426098,500,2114.197206
98.533623,500,2118.778759
99.994392,500,2123.39223
97.43874,500,2128.01118
99.157547,500,2139.201538
98.968827,500,2152.381084
101.050263,500,2157.009396
99.944317,500,2161.614736
99.803615,500,2172.840707
103.521945,500,2177.429705
101.331222,500,2182.041877
100.788303,500,2186.677323
103.298073,500,2197.840769
104.510921,500,2202.45714
102.382598,500,2207.052086
106.475071,500,2220.296537
102.141135,500,2231.405601
105.300282,500,2235.980718
104.472056,500,2240.599663
102.905579,500,2245.164219
103.3689,500,2256.449841
104.38152,500,2261.031893
106.636193,500,2265.609851
104.936004,500,2270.209471
106.224801,500,2282.283936
105.958652,500,2295.481659
103.758481,500,2300.100765
105.400728,500,2304.833022
104.217026,500,2318.841576
104.351564,500,2323.638238
106.089825,500,2328.420529
105.745526,500,2333.234563
106.195473,500,2345.680684
104.745948,500,2350.490256
106.041182,500,2355.29335
105.497209,500,2368.758066
103.519174,500,2380.12198
106.705951,500,2384.735816
107.840395,500,2389.340373
107.331069,500,2393.952115
105.974415,500,2405.295946
108.731202,500,2409.88266
109.326557,500,2414.522162
107.203412,500,2419.144628
109.125021,500,2423.731477
108.320945,500,2443.864781
108.728986,500,2448.502602
107.749507,500,2453.103251
108.342015,500,2457.718377
109.859216,500,2469.041536
110.291006,500,2473.625549
104.313624,500,2478.221414
110.178385,500,2482.805729
108.864576,500,2496.399384
109.731662,500,2501.024539
110.147671,500,2514.277241
111.102655,500,2518.900791
109.648055,500,2530.212712
110.277594,500,2534.819574
109.88389,500,2539.420889
112.9016,500,2544.053631
111.697194,500,2555.352046
111.66874,500,2559.958387
112.1538,500,2564.570848
109.585089,500,2569.177242
110.749264,500,2589.137406
111.208135,500,2593.756944
111.828882,500,2598.355921
113.869416,500,2602.988937
111.44899,500,2614.479734
111.89484,500,2619.113412
111.975202,500,2623.720236
112.34486,500,2628.383021
114.404863,500,2639.753203
111.522395,500,2644.381407
113.242643,500,2657.674479
113.084829,500,2662.275388
110.486108,500,2673.601525
114.160311,500,2678.230968
112.766617,500,2682.840283
112.241821,500,2687.499464
115.608133,500,2698.824105
115.026,500,2703.426642
113.294089,500,2708.051174
112.119391,500,2712.693706
115.537889,500,2725.985531
113.591979,500,2737.334992
114.579189,500,2741.950856
115.066636,500,2746.582804
113.380426,500,2751.17434
114.865382,500,2762.524363
114.327609,500,2767.151437
114.629041,500,2771.759487
113.968051,500,2776.374924
115.940869,500,2787.760642
114.484602,500,2801.02528
114.97724,500,2805.628654
115.828675,500,2810.253795
114.521053,500,2821.550575
115.38094,500,2826.193461
117.777802,500,2830.823002
117.993272,500,2835.444032
115.85752,500,2846.684675
116.321086,500,2851.329191
115.660191,500,2855.985187
116.9546,500,2869.280634
115.626641,500,2881.043834
115.023778,500,2885.610044
116.676003,500,2890.217483
114.749106,500,2894.856576
116.599936,500,2906.209903
116.931737,500,2910.826202
