#{"t_start": 1747613973.4552405, "env_id": "None"}
r,l,t
-98.591344,278,26.766077
-92.444761,500,34.835106
-149.114995,500,42.940028
-146.266963,500,51.291746
-124.540475,500,72.940065
-134.301544,500,81.169068
-173.08418,500,89.602846
-153.230122,500,98.061373
-77.3824,363,117.687412
-116.09393,467,125.378239
-40.359095,201,128.763624
-173.208265,500,137.276242
-38.144771,141,139.588267
-168.915058,500,147.910201
-203.462117,500,161.69922
-103.141622,500,169.933699
-117.38896,500,178.345453
-138.509772,422,185.405177
-115.567531,500,207.29719
-52.030008,500,215.747923
-213.674613,500,224.530771
-176.27016,500,233.275857
-144.550951,500,268.444728
-79.722465,500,276.825979
-102.607689,500,285.38657
-141.770704,500,293.913824
-99.480313,500,315.39428
-251.148515,500,324.00509
-140.075681,500,332.478006
-187.603075,500,340.852768
-76.812508,500,363.087398
-143.703979,500,371.783874
-184.308786,500,380.466038
-130.709953,500,388.916064
-74.773766,500,397.299213
-164.206827,500,420.758455
-110.632096,500,429.173434
-180.864391,500,437.93681
-107.29635,500,446.525318
-210.350132,500,469.74181
-133.325468,500,477.874116
-124.596849,500,486.335345
-172.802321,500,509.679619
-68.762445,500,531.455669
-67.021261,500,539.853177
-119.665191,500,548.402224
-129.608426,500,556.824556
-138.731124,500,578.987857
-125.026067,500,587.457436
-140.662129,500,595.984728
-59.197583,311,601.323754
-89.272471,500,623.158525
-99.363714,500,631.505103
-91.83816,500,639.734874
-94.400426,500,648.273464
-59.799591,500,670.596327
-117.485548,500,678.821166
-112.891988,500,687.18722
-98.580726,500,695.607228
-142.044498,500,718.214692
-154.127481,500,726.606353
-165.464366,500,735.007106
-40.227616,500,757.176279
-184.039725,500,765.486588
-139.881938,500,787.159676
-119.066217,500,795.626047
-94.850495,500,803.930034
-97.154182,500,812.377891
-43.512241,500,834.516567
-93.619049,500,842.89712
-211.052098,500,851.248417
-161.433389,500,859.514393
-104.150321,500,881.663727
-94.136986,500,890.081089
-175.297908,500,898.368876
-158.546675,500,907.021729
-95.504471,500,929.414359
-60.335431,500,937.89201
-65.493826,500,946.419563
-83.546173,500,955.002088
-124.150909,500,977.411738
-126.166358,500,986.07432
